,date,Coldplay,Alphabet
0,2015-01-04,11,19
1,2015-01-11,9,18
2,2015-01-18,3,21
3,2015-01-25,3,26
4,2015-02-01,2,18
5,2015-02-08,5,13
6,2015-02-15,6,25
7,2015-02-22,6,12
8,2015-03-01,4,21
9,2015-03-08,5,21
10,2015-03-15,4,22
11,2015-03-22,8,15
12,2015-03-29,5,22
13,2015-04-05,0,20
14,2015-04-12,4,22
15,2015-04-19,3,16
16,2015-04-26,3,16
17,2015-05-03,0,26
18,2015-05-10,7,17
19,2015-05-17,8,17
20,2015-05-24,10,21
21,2015-05-31,0,25
22,2015-06-07,6,22
23,2015-06-14,9,13
24,2015-06-21,7,24
25,2015-06-28,7,25
26,2015-07-05,4,23
27,2015-07-12,7,16
28,2015-07-19,0,25
29,2015-07-26,12,28
30,2015-08-02,0,21
31,2015-08-09,6,40
32,2015-08-16,10,26
33,2015-08-23,5,20
34,2015-08-30,6,26
35,2015-09-06,0,32
36,2015-09-13,0,21
37,2015-09-20,4,29
38,2015-09-27,0,24
39,2015-10-04,0,36
40,2015-10-11,0,27
41,2015-10-18,8,26
42,2015-10-25,0,22
43,2015-11-01,0,18
44,2015-11-08,9,25
45,2015-11-15,5,27
46,2015-11-22,7,20
47,2015-11-29,13,17
48,2015-12-06,3,34
49,2015-12-13,3,24
50,2015-12-20,0,16
51,2015-12-27,8,15
52,2016-01-03,7,34
53,2016-01-10,8,21
54,2016-01-17,5,23
55,2016-01-24,11,32
56,2016-01-31,22,23
57,2016-02-07,100,25
58,2016-02-14,11,21
59,2016-02-21,13,27
60,2016-02-28,9,20
61,2016-03-06,9,24
62,2016-03-13,6,29
63,2016-03-20,6,19
64,2016-03-27,0,32
65,2016-04-03,10,29
66,2016-04-10,0,38
67,2016-04-17,4,26
68,2016-04-24,5,27
69,2016-05-01,3,21
70,2016-05-08,4,26
71,2016-05-15,11,32
72,2016-05-22,9,23
73,2016-05-29,8,20
74,2016-06-05,0,18
75,2016-06-12,7,26
76,2016-06-19,9,20
77,2016-06-26,8,26
78,2016-07-03,0,22
79,2016-07-10,15,23
80,2016-07-17,7,17
81,2016-07-24,6,26
82,2016-07-31,12,19
83,2016-08-07,7,33
84,2016-08-14,0,26
85,2016-08-21,5,26
86,2016-08-28,4,24
87,2016-09-04,5,21
88,2016-09-11,3,35
89,2016-09-18,7,6
90,2016-09-25,4,25
91,2016-10-02,13,27
92,2016-10-09,11,13
93,2016-10-16,10,19
94,2016-10-23,3,14
95,2016-10-30,0,26
96,2016-11-06,6,16
97,2016-11-13,8,24
98,2016-11-20,7,17
99,2016-11-27,6,24
100,2016-12-04,4,30
101,2016-12-11,3,26
102,2016-12-18,3,17
103,2016-12-25,12,13
104,2017-01-01,6,14
105,2017-01-08,4,21
106,2017-01-15,3,12
107,2017-01-22,5,24
108,2017-01-29,7,21
109,2017-02-05,5,21
110,2017-02-12,6,22
111,2017-02-19,9,27
112,2017-02-26,6,28
113,2017-03-05,6,28
114,2017-03-12,13,20
115,2017-03-19,6,23
116,2017-03-26,7,14
117,2017-04-02,10,22
118,2017-04-09,6,19
119,2017-04-16,8,16
120,2017-04-23,12,25
121,2017-04-30,11,23
122,2017-05-07,5,21
123,2017-05-14,4,11
124,2017-05-21,0,22
125,2017-05-28,4,21
126,2017-06-04,8,28
127,2017-06-11,7,13
128,2017-06-18,6,31
129,2017-06-25,6,20
130,2017-07-02,9,15
131,2017-07-09,5,18
132,2017-07-16,5,17
133,2017-07-23,3,24
134,2017-07-30,0,17
135,2017-08-06,4,34
136,2017-08-13,4,26
137,2017-08-20,4,28
138,2017-08-27,4,22
139,2017-09-03,4,27
140,2017-09-10,4,26
141,2017-09-17,6,25
142,2017-09-24,8,25
143,2017-10-01,4,23
144,2017-10-08,4,18
145,2017-10-15,9,24
146,2017-10-22,0,30
147,2017-10-29,6,35
148,2017-11-05,5,25
149,2017-11-12,9,29
150,2017-11-19,0,26
151,2017-11-26,6,26
