,date,Ed Sheeran,Alphabet
0,2015-01-04,52,20
1,2015-01-11,41,18
2,2015-01-18,47,23
3,2015-01-25,55,28
4,2015-02-01,61,19
5,2015-02-08,100,14
6,2015-02-15,69,27
7,2015-02-22,74,13
8,2015-03-01,40,22
9,2015-03-08,41,23
10,2015-03-15,22,24
11,2015-03-22,28,16
12,2015-03-29,24,23
13,2015-04-05,22,21
14,2015-04-12,20,23
15,2015-04-19,16,17
16,2015-04-26,23,17
17,2015-05-03,21,27
18,2015-05-10,23,18
19,2015-05-17,29,18
20,2015-05-24,23,22
21,2015-05-31,27,27
22,2015-06-07,10,23
23,2015-06-14,39,13
24,2015-06-21,33,25
25,2015-06-28,8,27
26,2015-07-05,23,24
27,2015-07-12,9,17
28,2015-07-19,29,26
29,2015-07-26,11,30
30,2015-08-02,14,22
31,2015-08-09,28,42
32,2015-08-16,35,27
33,2015-08-23,15,21
34,2015-08-30,24,27
35,2015-09-06,21,33
36,2015-09-13,18,22
37,2015-09-20,12,31
38,2015-09-27,16,26
39,2015-10-04,0,38
40,2015-10-11,9,29
41,2015-10-18,15,27
42,2015-10-25,16,23
43,2015-11-01,9,19
44,2015-11-08,21,26
45,2015-11-15,18,29
46,2015-11-22,14,21
47,2015-11-29,8,18
48,2015-12-06,0,35
49,2015-12-13,10,25
50,2015-12-20,0,17
51,2015-12-27,13,16
52,2016-01-03,13,36
53,2016-01-10,17,22
54,2016-01-17,17,25
55,2016-01-24,0,34
56,2016-01-31,4,25
57,2016-02-07,15,26
58,2016-02-14,16,22
59,2016-02-21,6,28
60,2016-02-28,6,21
61,2016-03-06,18,25
62,2016-03-13,0,31
63,2016-03-20,9,20
64,2016-03-27,0,33
65,2016-04-03,12,31
66,2016-04-10,9,40
67,2016-04-17,6,28
68,2016-04-24,9,29
69,2016-05-01,10,22
70,2016-05-08,10,27
71,2016-05-15,0,34
72,2016-05-22,4,24
73,2016-05-29,10,21
74,2016-06-05,7,19
75,2016-06-12,11,27
76,2016-06-19,9,21
77,2016-06-26,6,28
78,2016-07-03,11,24
79,2016-07-10,10,25
80,2016-07-17,7,17
81,2016-07-24,16,27
82,2016-07-31,4,20
83,2016-08-07,0,35
84,2016-08-14,0,28
85,2016-08-21,10,28
86,2016-08-28,5,26
87,2016-09-04,3,22
88,2016-09-11,4,37
89,2016-09-18,10,6
90,2016-09-25,7,27
91,2016-10-02,9,29
92,2016-10-09,0,14
93,2016-10-16,6,20
94,2016-10-23,10,15
95,2016-10-30,0,27
96,2016-11-06,6,17
97,2016-11-13,5,26
98,2016-11-20,0,18
99,2016-11-27,0,25
100,2016-12-04,6,32
101,2016-12-11,8,27
102,2016-12-18,0,18
103,2016-12-25,7,13
104,2017-01-01,23,15
105,2017-01-08,27,22
106,2017-01-15,10,13
107,2017-01-22,25,26
108,2017-01-29,16,22
109,2017-02-05,18,23
110,2017-02-12,48,23
111,2017-02-19,25,29
112,2017-02-26,27,30
113,2017-03-05,68,29
114,2017-03-12,59,21
115,2017-03-19,23,24
116,2017-03-26,28,14
117,2017-04-02,25,23
118,2017-04-09,33,20
119,2017-04-16,16,17
120,2017-04-23,28,26
121,2017-04-30,29,24
122,2017-05-07,21,22
123,2017-05-14,14,12
124,2017-05-21,20,24
