,date,Pink,Alphabet
0,2015-01-04,8,43
1,2015-01-11,21,41
2,2015-01-18,10,50
3,2015-01-25,20,61
4,2015-02-01,8,42
5,2015-02-08,21,31
6,2015-02-15,16,59
7,2015-02-22,7,29
8,2015-03-01,6,49
9,2015-03-08,0,50
10,2015-03-15,20,52
11,2015-03-22,21,36
12,2015-03-29,32,51
13,2015-04-05,14,46
14,2015-04-12,13,51
15,2015-04-19,5,37
16,2015-04-26,0,37
17,2015-05-03,6,60
18,2015-05-10,13,40
19,2015-05-17,16,41
20,2015-05-24,0,48
21,2015-05-31,0,59
22,2015-06-07,14,50
23,2015-06-14,36,29
24,2015-06-21,11,55
25,2015-06-28,0,59
26,2015-07-05,0,52
27,2015-07-12,0,37
28,2015-07-19,17,57
29,2015-07-26,9,65
30,2015-08-02,0,48
31,2015-08-09,0,93
32,2015-08-16,16,60
33,2015-08-23,0,47
34,2015-08-30,0,60
35,2015-09-06,19,74
36,2015-09-13,30,49
37,2015-09-20,12,67
38,2015-09-27,17,57
39,2015-10-04,0,85
40,2015-10-11,8,63
41,2015-10-18,0,60
42,2015-10-25,0,51
43,2015-11-01,0,43
44,2015-11-08,0,57
45,2015-11-15,0,64
46,2015-11-22,40,46
47,2015-11-29,28,40
48,2015-12-06,11,78
49,2015-12-13,11,56
50,2015-12-20,0,37
51,2015-12-27,0,35
52,2016-01-03,0,79
53,2016-01-10,17,50
54,2016-01-17,0,54
55,2016-01-24,0,74
56,2016-01-31,24,54
57,2016-02-07,11,58
58,2016-02-14,9,50
59,2016-02-21,0,62
60,2016-02-28,0,46
61,2016-03-06,0,56
62,2016-03-13,17,68
63,2016-03-20,8,44
64,2016-03-27,0,73
65,2016-04-03,10,68
66,2016-04-10,7,89
67,2016-04-17,9,61
68,2016-04-24,28,63
69,2016-05-01,17,49
70,2016-05-08,14,59
71,2016-05-15,7,75
72,2016-05-22,22,54
73,2016-05-29,11,47
74,2016-06-05,19,43
75,2016-06-12,14,60
76,2016-06-19,0,46
77,2016-06-26,22,61
78,2016-07-03,0,52
79,2016-07-10,0,55
80,2016-07-17,22,38
81,2016-07-24,20,59
82,2016-07-31,10,44
83,2016-08-07,0,76
84,2016-08-14,8,61
85,2016-08-21,15,61
86,2016-08-28,15,56
87,2016-09-04,14,48
88,2016-09-11,22,81
89,2016-09-18,13,13
90,2016-09-25,14,59
91,2016-10-02,0,63
92,2016-10-09,0,30
93,2016-10-16,0,43
94,2016-10-23,0,33
95,2016-10-30,7,60
96,2016-11-06,22,37
97,2016-11-13,17,57
98,2016-11-20,0,41
99,2016-11-27,0,55
100,2016-12-04,0,70
101,2016-12-11,0,59
102,2016-12-18,0,39
103,2016-12-25,14,29
104,2017-01-01,0,32
105,2017-01-08,9,48
106,2017-01-15,0,28
107,2017-01-22,0,57
108,2017-01-29,0,48
109,2017-02-05,0,50
110,2017-02-12,0,51
111,2017-02-19,0,63
112,2017-02-26,7,65
113,2017-03-05,11,64
114,2017-03-12,20,47
115,2017-03-19,0,53
116,2017-03-26,0,32
117,2017-04-02,0,50
118,2017-04-09,5,45
119,2017-04-16,14,37
120,2017-04-23,27,58
121,2017-04-30,19,53
122,2017-05-07,0,48
123,2017-05-14,9,27
124,2017-05-21,0,52
125,2017-05-28,6,49
126,2017-06-04,0,64
127,2017-06-11,0,30
128,2017-06-18,6,72
129,2017-06-25,0,46
130,2017-07-02,0,35
131,2017-07-09,7,42
132,2017-07-16,21,39
133,2017-07-23,7,57
134,2017-07-30,10,39
135,2017-08-06,24,78
136,2017-08-13,14,60
137,2017-08-20,20,65
138,2017-08-27,38,51
139,2017-09-03,25,64
140,2017-09-10,0,60
141,2017-09-17,7,58
142,2017-09-24,0,58
143,2017-10-01,9,53
144,2017-10-08,39,42
145,2017-10-15,42,56
146,2017-10-22,0,71
147,2017-10-29,19,81
148,2017-11-05,30,58
149,2017-11-12,0,67
150,2017-11-19,45,61
151,2017-11-26,11,61
152,2017-12-03,6,73
153,2017-12-10,31,42
154,2017-12-17,0,30
155,2017-12-24,20,67
156,2017-12-31,33,65
157,2018-01-07,8,75
158,2018-01-14,9,53
159,2018-01-21,22,46
160,2018-01-28,31,51
161,2018-02-04,79,70
162,2018-02-11,13,61
163,2018-02-18,25,45
164,2018-02-25,47,73
165,2018-03-04,39,45
166,2018-03-11,6,76
167,2018-03-18,39,62
168,2018-03-25,7,61
169,2018-04-01,25,46
170,2018-04-08,17,51
171,2018-04-15,24,73
172,2018-04-22,34,39
173,2018-04-29,31,53
174,2018-05-06,19,53
175,2018-05-13,7,72
176,2018-05-20,26,75
177,2018-05-27,26,64
178,2018-06-03,18,52
179,2018-06-10,16,43
180,2018-06-17,16,73
181,2018-06-24,21,60
182,2018-07-01,13,19
183,2018-07-08,13,44
184,2018-07-15,0,35
185,2018-07-22,20,54
186,2018-07-29,18,49
187,2018-08-05,7,46
188,2018-08-12,8,65
189,2018-08-19,11,32
190,2018-08-26,0,74
191,2018-09-02,21,56
192,2018-09-09,11,74
193,2018-09-16,5,84
194,2018-09-23,0,57
195,2018-09-30,11,47
196,2018-10-07,18,50
197,2018-10-14,21,58
198,2018-10-21,29,52
199,2018-10-28,13,61
200,2018-11-04,23,63
201,2018-11-11,18,52
202,2018-11-18,0,40
203,2018-11-25,7,58
204,2018-12-02,10,68
205,2018-12-09,0,34
206,2018-12-16,0,58
207,2018-12-23,8,62
