,date,The Rolling Stones,Alphabet
0,2015-01-04,16,43
1,2015-01-11,19,41
2,2015-01-18,16,50
3,2015-01-25,5,61
4,2015-02-01,19,42
5,2015-02-08,13,31
6,2015-02-15,0,59
7,2015-02-22,9,29
8,2015-03-01,0,49
9,2015-03-08,24,50
10,2015-03-15,28,52
11,2015-03-22,0,36
12,2015-03-29,30,51
13,2015-04-05,42,46
14,2015-04-12,34,51
15,2015-04-19,7,37
16,2015-04-26,23,37
17,2015-05-03,10,60
18,2015-05-10,13,40
19,2015-05-17,51,41
20,2015-05-24,88,48
21,2015-05-31,43,59
22,2015-06-07,21,50
23,2015-06-14,20,29
24,2015-06-21,0,55
25,2015-06-28,0,59
26,2015-07-05,0,52
27,2015-07-12,10,37
28,2015-07-19,9,57
29,2015-07-26,14,65
30,2015-08-02,0,48
31,2015-08-09,36,93
32,2015-08-16,15,60
33,2015-08-23,15,47
34,2015-08-30,0,60
35,2015-09-06,10,74
36,2015-09-13,26,49
37,2015-09-20,0,67
38,2015-09-27,0,57
39,2015-10-04,0,85
40,2015-10-11,0,63
41,2015-10-18,0,60
42,2015-10-25,0,51
43,2015-11-01,8,43
44,2015-11-08,0,57
45,2015-11-15,19,64
46,2015-11-22,14,46
47,2015-11-29,0,40
48,2015-12-06,9,78
49,2015-12-13,0,56
50,2015-12-20,33,37
51,2015-12-27,9,35
52,2016-01-03,19,79
53,2016-01-10,15,50
54,2016-01-17,0,54
55,2016-01-24,9,74
56,2016-01-31,14,54
57,2016-02-07,9,58
58,2016-02-14,12,50
59,2016-02-21,12,62
60,2016-02-28,0,46
61,2016-03-06,0,56
62,2016-03-13,16,68
63,2016-03-20,46,44
64,2016-03-27,17,73
65,2016-04-03,13,68
66,2016-04-10,0,89
67,2016-04-17,12,61
68,2016-04-24,16,63
69,2016-05-01,29,49
70,2016-05-08,28,59
71,2016-05-15,12,75
72,2016-05-22,10,54
73,2016-05-29,0,47
74,2016-06-05,0,43
75,2016-06-12,10,60
76,2016-06-19,31,46
77,2016-06-26,11,61
78,2016-07-03,17,52
79,2016-07-10,12,55
80,2016-07-17,15,38
81,2016-07-24,7,59
82,2016-07-31,15,44
83,2016-08-07,11,76
84,2016-08-14,16,61
85,2016-08-21,11,61
86,2016-08-28,0,56
87,2016-09-04,0,48
88,2016-09-11,23,81
89,2016-09-18,16,13
90,2016-09-25,8,59
91,2016-10-02,0,63
92,2016-10-09,46,30
93,2016-10-16,14,43
94,2016-10-23,7,33
95,2016-10-30,17,60
96,2016-11-06,25,37
97,2016-11-13,11,57
98,2016-11-20,12,41
99,2016-11-27,17,55
100,2016-12-04,8,70
101,2016-12-11,0,59
102,2016-12-18,9,39
103,2016-12-25,19,29
104,2017-01-01,15,32
105,2017-01-08,10,48
106,2017-01-15,12,28
107,2017-01-22,7,57
108,2017-01-29,15,48
109,2017-02-05,0,50
110,2017-02-12,9,51
111,2017-02-19,10,63
112,2017-02-26,12,65
113,2017-03-05,0,64
114,2017-03-12,19,47
115,2017-03-19,13,53
116,2017-03-26,19,32
117,2017-04-02,12,50
118,2017-04-09,9,45
119,2017-04-16,6,37
120,2017-04-23,25,58
121,2017-04-30,0,53
122,2017-05-07,0,48
123,2017-05-14,6,27
124,2017-05-21,10,52
125,2017-05-28,0,49
126,2017-06-04,0,64
127,2017-06-11,9,30
128,2017-06-18,0,72
129,2017-06-25,10,46
130,2017-07-02,8,35
131,2017-07-09,12,42
132,2017-07-16,10,39
133,2017-07-23,0,57
134,2017-07-30,13,39
135,2017-08-06,25,78
136,2017-08-13,19,60
137,2017-08-20,5,65
138,2017-08-27,12,51
139,2017-09-03,0,64
140,2017-09-10,18,60
141,2017-09-17,8,58
142,2017-09-24,12,58
143,2017-10-01,0,53
144,2017-10-08,8,42
145,2017-10-15,23,56
146,2017-10-22,25,71
147,2017-10-29,31,81
148,2017-11-05,21,58
149,2017-11-12,16,67
150,2017-11-19,11,61
151,2017-11-26,0,61
152,2017-12-03,6,73
153,2017-12-10,11,42
154,2017-12-17,18,30
155,2017-12-24,20,67
156,2017-12-31,12,65
157,2018-01-07,25,75
158,2018-01-14,12,53
159,2018-01-21,8,46
160,2018-01-28,12,51
161,2018-02-04,7,70
162,2018-02-11,10,61
163,2018-02-18,13,45
164,2018-02-25,9,73
165,2018-03-04,0,45
166,2018-03-11,29,76
167,2018-03-18,6,62
168,2018-03-25,13,61
169,2018-04-01,7,46
170,2018-04-08,16,51
171,2018-04-15,15,73
172,2018-04-22,0,39
173,2018-04-29,0,53
174,2018-05-06,12,53
175,2018-05-13,12,72
176,2018-05-20,18,75
177,2018-05-27,30,64
178,2018-06-03,21,52
179,2018-06-10,16,43
180,2018-06-17,10,73
181,2018-06-24,17,60
182,2018-07-01,0,19
183,2018-07-08,18,44
184,2018-07-15,8,35
185,2018-07-22,7,54
186,2018-07-29,12,49
187,2018-08-05,12,46
188,2018-08-12,5,65
189,2018-08-19,15,32
190,2018-08-26,5,74
191,2018-09-02,0,56
192,2018-09-09,23,74
193,2018-09-16,5,84
194,2018-09-23,11,57
195,2018-09-30,0,47
196,2018-10-07,0,50
197,2018-10-14,15,58
198,2018-10-21,12,52
199,2018-10-28,0,61
200,2018-11-04,6,63
201,2018-11-11,15,52
202,2018-11-18,29,40
203,2018-11-25,31,58
204,2018-12-02,23,68
205,2018-12-09,8,34
206,2018-12-16,11,58
207,2018-12-23,11,62
208,2018-12-30,10,33
209,2019-01-06,6,44
210,2019-01-13,14,58
211,2019-01-20,0,46
212,2019-01-27,21,52
213,2019-02-03,0,86
214,2019-02-10,22,38
215,2019-02-17,16,63
216,2019-02-24,0,56
217,2019-03-03,10,69
218,2019-03-10,16,61
219,2019-03-17,11,59
220,2019-03-24,15,27
221,2019-03-31,0,61
222,2019-04-07,17,55
223,2019-04-14,24,52
224,2019-04-21,18,46
225,2019-04-28,8,51
226,2019-05-05,27,48
227,2019-05-12,21,58
228,2019-05-19,14,68
229,2019-05-26,0,54
230,2019-06-02,15,43
231,2019-06-09,10,58
232,2019-06-16,11,48
233,2019-06-23,13,41
234,2019-06-30,7,24
235,2019-07-07,15,56
236,2019-07-14,9,79
237,2019-07-21,25,51
238,2019-07-28,40,38
239,2019-08-04,22,93
240,2019-08-11,24,55
241,2019-08-18,31,57
242,2019-08-25,14,37
243,2019-09-01,0,56
244,2019-09-08,19,70
245,2019-09-15,15,47
246,2019-09-22,11,66
247,2019-09-29,0,62
248,2019-10-06,21,36
249,2019-10-13,12,53
250,2019-10-20,15,100
251,2019-10-27,9,85
252,2019-11-03,5,70
253,2019-11-10,14,47
254,2019-11-17,14,74
255,2019-11-24,21,64
256,2019-12-01,16,55
257,2019-12-08,22,51
258,2019-12-15,25,45
259,2019-12-22,0,58
260,2019-12-29,17,59
