,date,Bruno Mars,Alphabet
0,2015-01-04,20,34
1,2015-01-11,38,28
2,2015-01-18,35,25
3,2015-01-25,30,34
4,2015-02-01,33,33
5,2015-02-08,26,33
6,2015-02-15,33,25
7,2015-02-22,23,42
8,2015-03-01,19,34
9,2015-03-08,20,28
10,2015-03-15,11,25
11,2015-03-22,19,35
12,2015-03-29,11,24
13,2015-04-05,16,29
14,2015-04-12,11,28
15,2015-04-19,19,26
16,2015-04-26,9,25
17,2015-05-03,16,29
18,2015-05-10,15,35
19,2015-05-17,14,29
20,2015-05-24,8,25
21,2015-05-31,21,31
22,2015-06-07,12,26
23,2015-06-14,17,19
24,2015-06-21,4,24
25,2015-06-28,11,21
26,2015-07-05,13,18
27,2015-07-12,9,18
28,2015-07-19,13,25
29,2015-07-26,13,20
30,2015-08-02,8,24
31,2015-08-09,5,38
32,2015-08-16,10,30
33,2015-08-23,10,43
34,2015-08-30,17,42
35,2015-09-06,12,39
36,2015-09-13,3,30
37,2015-09-20,12,32
38,2015-09-27,9,27
39,2015-10-04,5,39
40,2015-10-11,11,35
41,2015-10-18,10,38
42,2015-10-25,6,33
43,2015-11-01,6,31
44,2015-11-08,6,31
45,2015-11-15,5,37
46,2015-11-22,10,28
47,2015-11-29,3,33
48,2015-12-06,4,25
49,2015-12-13,5,30
50,2015-12-20,11,8
51,2015-12-27,5,20
52,2016-01-03,3,32
53,2016-01-10,4,24
54,2016-01-17,6,26
55,2016-01-24,8,34
56,2016-01-31,9,31
57,2016-02-07,83,22
58,2016-02-14,19,25
59,2016-02-21,11,26
60,2016-02-28,5,23
61,2016-03-06,6,30
62,2016-03-13,10,24
63,2016-03-20,7,22
64,2016-03-27,4,27
65,2016-04-03,4,30
66,2016-04-10,8,28
67,2016-04-17,0,33
68,2016-04-24,6,23
69,2016-05-01,13,31
70,2016-05-08,8,31
71,2016-05-15,7,21
72,2016-05-22,9,28
73,2016-05-29,14,24
74,2016-06-05,6,18
75,2016-06-12,7,22
76,2016-06-19,8,26
77,2016-06-26,0,21
78,2016-07-03,9,16
79,2016-07-10,4,12
80,2016-07-17,5,23
81,2016-07-24,11,21
82,2016-07-31,12,35
83,2016-08-07,8,20
84,2016-08-14,6,22
85,2016-08-21,4,31
86,2016-08-28,5,47
87,2016-09-04,7,35
88,2016-09-11,2,33
89,2016-09-18,7,29
90,2016-09-25,6,24
91,2016-10-02,21,31
92,2016-10-09,13,23
93,2016-10-16,21,30
94,2016-10-23,15,34
95,2016-10-30,14,29
96,2016-11-06,17,27
97,2016-11-13,21,26
98,2016-11-20,48,19
99,2016-11-27,19,23
100,2016-12-04,27,28
101,2016-12-11,49,26
102,2016-12-18,33,29
103,2016-12-25,24,27
104,2017-01-01,19,20
105,2017-01-08,18,20
106,2017-01-15,16,28
107,2017-01-22,19,28
108,2017-01-29,19,28
109,2017-02-05,29,24
110,2017-02-12,100,27
111,2017-02-19,30,23
112,2017-02-26,29,28
113,2017-03-05,41,29
114,2017-03-12,22,20
115,2017-03-19,26,27
116,2017-03-26,16,27
117,2017-04-02,23,24
118,2017-04-09,24,29
119,2017-04-16,28,29
120,2017-04-23,26,28
121,2017-04-30,31,31
122,2017-05-07,27,37
123,2017-05-14,34,24
124,2017-05-21,35,27
125,2017-05-28,24,26
126,2017-06-04,19,24
127,2017-06-11,23,22
128,2017-06-18,26,21
129,2017-06-25,44,23
130,2017-07-02,18,19
131,2017-07-09,22,21
132,2017-07-16,22,18
133,2017-07-23,16,17
134,2017-07-30,32,19
135,2017-08-06,40,17
136,2017-08-13,30,13
137,2017-08-20,17,29
138,2017-08-27,12,36
139,2017-09-03,13,36
140,2017-09-10,10,30
141,2017-09-17,11,39
142,2017-09-24,9,33
143,2017-10-01,16,26
144,2017-10-08,10,36
145,2017-10-15,16,28
146,2017-10-22,13,36
147,2017-10-29,12,39
148,2017-11-05,7,35
149,2017-11-12,12,30
150,2017-11-19,9,29
151,2017-11-26,22,34
152,2017-12-03,14,28
153,2017-12-10,10,24
154,2017-12-17,10,25
155,2017-12-24,10,12
156,2017-12-31,23,27
157,2018-01-07,18,27
158,2018-01-14,21,29
159,2018-01-21,33,31
160,2018-01-28,78,37
161,2018-02-04,35,28
162,2018-02-11,38,26
163,2018-02-18,19,36
164,2018-02-25,17,34
165,2018-03-04,17,27
166,2018-03-11,19,20
167,2018-03-18,11,27
168,2018-03-25,19,23
169,2018-04-01,10,18
170,2018-04-08,13,37
171,2018-04-15,17,32
172,2018-04-22,14,21
173,2018-04-29,12,22
174,2018-05-06,12,23
175,2018-05-13,11,32
176,2018-05-20,9,33
177,2018-05-27,10,23
178,2018-06-03,15,18
179,2018-06-10,5,22
180,2018-06-17,5,23
181,2018-06-24,7,18
182,2018-07-01,14,18
183,2018-07-08,11,17
184,2018-07-15,4,21
185,2018-07-22,9,18
186,2018-07-29,13,18
187,2018-08-05,4,19
188,2018-08-12,7,25
189,2018-08-19,10,25
190,2018-08-26,8,35
191,2018-09-02,6,31
192,2018-09-09,22,35
193,2018-09-16,11,35
194,2018-09-23,14,33
195,2018-09-30,10,37
196,2018-10-07,11,34
197,2018-10-14,4,43
198,2018-10-21,5,30
