,date,Metallica,Alphabet
0,2015-01-04,6,23
1,2015-01-11,6,19
2,2015-01-18,5,17
3,2015-01-25,4,23
4,2015-02-01,3,22
5,2015-02-08,6,22
6,2015-02-15,3,17
7,2015-02-22,5,28
8,2015-03-01,7,23
9,2015-03-08,8,19
10,2015-03-15,6,17
11,2015-03-22,5,24
12,2015-03-29,7,17
13,2015-04-05,5,20
14,2015-04-12,7,19
15,2015-04-19,8,18
16,2015-04-26,7,17
17,2015-05-03,8,20
18,2015-05-10,9,24
19,2015-05-17,11,20
20,2015-05-24,6,17
21,2015-05-31,5,21
22,2015-06-07,8,17
23,2015-06-14,8,13
24,2015-06-21,10,16
25,2015-06-28,6,15
26,2015-07-05,0,12
27,2015-07-12,8,12
28,2015-07-19,7,17
29,2015-07-26,6,14
30,2015-08-02,3,17
31,2015-08-09,3,26
32,2015-08-16,5,20
33,2015-08-23,3,29
34,2015-08-30,7,28
35,2015-09-06,6,27
36,2015-09-13,10,21
37,2015-09-20,0,22
38,2015-09-27,6,19
39,2015-10-04,10,26
40,2015-10-11,4,24
41,2015-10-18,5,26
42,2015-10-25,6,23
43,2015-11-01,9,21
44,2015-11-08,10,21
45,2015-11-15,4,25
46,2015-11-22,8,19
47,2015-11-29,0,23
48,2015-12-06,7,17
49,2015-12-13,7,20
50,2015-12-20,9,6
51,2015-12-27,5,13
52,2016-01-03,10,22
53,2016-01-10,7,16
54,2016-01-17,6,18
55,2016-01-24,4,23
56,2016-01-31,7,21
57,2016-02-07,12,15
58,2016-02-14,4,17
59,2016-02-21,8,18
60,2016-02-28,5,16
61,2016-03-06,3,21
62,2016-03-13,17,16
63,2016-03-20,25,15
64,2016-03-27,15,18
65,2016-04-03,8,20
66,2016-04-10,6,19
67,2016-04-17,9,23
68,2016-04-24,3,16
69,2016-05-01,9,21
70,2016-05-08,4,21
71,2016-05-15,8,15
72,2016-05-22,4,19
73,2016-05-29,6,16
74,2016-06-05,8,12
75,2016-06-12,2,15
76,2016-06-19,6,18
77,2016-06-26,6,14
78,2016-07-03,7,11
79,2016-07-10,6,8
80,2016-07-17,6,16
81,2016-07-24,10,15
82,2016-07-31,13,24
83,2016-08-07,9,14
84,2016-08-14,26,15
85,2016-08-21,14,21
86,2016-08-28,8,32
87,2016-09-04,13,24
88,2016-09-11,9,23
89,2016-09-18,7,20
90,2016-09-25,13,17
91,2016-10-02,6,21
92,2016-10-09,7,15
93,2016-10-16,10,21
94,2016-10-23,7,23
95,2016-10-30,7,20
96,2016-11-06,7,18
97,2016-11-13,20,18
98,2016-11-20,16,13
99,2016-11-27,11,15
100,2016-12-04,7,19
101,2016-12-11,9,17
102,2016-12-18,9,20
103,2016-12-25,7,18
104,2017-01-01,7,14
105,2017-01-08,12,14
106,2017-01-15,7,19
107,2017-01-22,12,19
108,2017-01-29,6,19
109,2017-02-05,11,17
110,2017-02-12,54,18
111,2017-02-19,13,16
112,2017-02-26,9,19
113,2017-03-05,10,19
114,2017-03-12,12,13
115,2017-03-19,8,18
116,2017-03-26,8,19
117,2017-04-02,8,16
118,2017-04-09,9,20
119,2017-04-16,87,19
120,2017-04-23,30,19
121,2017-04-30,17,21
122,2017-05-07,15,25
123,2017-05-14,21,16
124,2017-05-21,22,19
125,2017-05-28,24,18
126,2017-06-04,100,16
127,2017-06-11,33,15
128,2017-06-18,14,14
129,2017-06-25,6,16
130,2017-07-02,9,13
131,2017-07-09,9,15
132,2017-07-16,3,13
133,2017-07-23,9,12
134,2017-07-30,11,13
135,2017-08-06,10,12
136,2017-08-13,8,9
137,2017-08-20,6,20
138,2017-08-27,4,25
139,2017-09-03,8,25
140,2017-09-10,5,21
141,2017-09-17,7,27
142,2017-09-24,7,22
143,2017-10-01,6,18
144,2017-10-08,5,25
145,2017-10-15,6,19
146,2017-10-22,3,24
147,2017-10-29,5,26
148,2017-11-05,7,24
149,2017-11-12,4,20
150,2017-11-19,3,20
151,2017-11-26,6,23
152,2017-12-03,8,19
153,2017-12-10,10,17
154,2017-12-17,5,17
155,2017-12-24,2,8
156,2017-12-31,4,18
157,2018-01-07,7,18
158,2018-01-14,4,20
159,2018-01-21,6,21
160,2018-01-28,5,25
161,2018-02-04,7,19
162,2018-02-11,6,18
163,2018-02-18,8,24
164,2018-02-25,30,23
165,2018-03-04,8,18
166,2018-03-11,7,14
167,2018-03-18,4,19
168,2018-03-25,5,16
169,2018-04-01,8,13
170,2018-04-08,12,25
171,2018-04-15,7,22
172,2018-04-22,4,14
173,2018-04-29,6,15
174,2018-05-06,6,15
175,2018-05-13,7,22
176,2018-05-20,7,22
177,2018-05-27,5,16
178,2018-06-03,5,13
179,2018-06-10,6,15
180,2018-06-17,7,16
181,2018-06-24,11,12
182,2018-07-01,5,13
183,2018-07-08,10,11
184,2018-07-15,5,14
185,2018-07-22,8,12
186,2018-07-29,11,12
187,2018-08-05,5,13
188,2018-08-12,5,17
189,2018-08-19,12,17
190,2018-08-26,8,24
191,2018-09-02,17,21
192,2018-09-09,7,24
193,2018-09-16,6,24
194,2018-09-23,7,23
195,2018-09-30,5,26
196,2018-10-07,7,23
197,2018-10-14,8,29
198,2018-10-21,7,21
199,2018-10-28,5,25
200,2018-11-04,7,14
201,2018-11-11,6,24
202,2018-11-18,6,19
203,2018-11-25,4,20
204,2018-12-02,8,25
205,2018-12-09,9,19
206,2018-12-16,6,18
