,date,Pink,Alphabet
0,2015-01-04,0,54
1,2015-01-11,4,45
2,2015-01-18,12,40
3,2015-01-25,9,54
4,2015-02-01,18,52
5,2015-02-08,3,53
6,2015-02-15,6,40
7,2015-02-22,16,67
8,2015-03-01,0,55
9,2015-03-08,11,44
10,2015-03-15,10,40
11,2015-03-22,17,56
12,2015-03-29,13,39
13,2015-04-05,9,47
14,2015-04-12,18,45
15,2015-04-19,12,42
16,2015-04-26,0,39
17,2015-05-03,6,47
18,2015-05-10,12,57
19,2015-05-17,5,47
20,2015-05-24,5,40
21,2015-05-31,0,50
22,2015-06-07,9,41
23,2015-06-14,9,31
24,2015-06-21,5,38
25,2015-06-28,17,34
26,2015-07-05,12,29
27,2015-07-12,8,29
28,2015-07-19,6,41
29,2015-07-26,4,33
30,2015-08-02,6,39
31,2015-08-09,9,62
32,2015-08-16,9,47
33,2015-08-23,12,68
34,2015-08-30,7,67
35,2015-09-06,16,63
36,2015-09-13,11,48
37,2015-09-20,0,52
38,2015-09-27,19,44
39,2015-10-04,3,62
40,2015-10-11,7,57
41,2015-10-18,14,62
42,2015-10-25,8,53
43,2015-11-01,10,49
44,2015-11-08,10,50
45,2015-11-15,10,59
46,2015-11-22,14,45
47,2015-11-29,0,54
48,2015-12-06,8,41
49,2015-12-13,8,48
50,2015-12-20,0,13
51,2015-12-27,5,31
52,2016-01-03,12,51
53,2016-01-10,9,38
54,2016-01-17,0,42
55,2016-01-24,6,55
56,2016-01-31,14,50
57,2016-02-07,8,36
58,2016-02-14,4,40
59,2016-02-21,14,42
60,2016-02-28,0,38
61,2016-03-06,0,48
62,2016-03-13,12,38
63,2016-03-20,0,35
64,2016-03-27,7,43
65,2016-04-03,4,48
66,2016-04-10,15,45
67,2016-04-17,5,53
68,2016-04-24,10,37
69,2016-05-01,16,50
70,2016-05-08,7,50
71,2016-05-15,21,34
72,2016-05-22,32,46
73,2016-05-29,23,39
74,2016-06-05,16,29
75,2016-06-12,11,36
76,2016-06-19,12,42
77,2016-06-26,15,34
78,2016-07-03,9,25
79,2016-07-10,17,20
80,2016-07-17,20,37
81,2016-07-24,19,34
82,2016-07-31,19,56
83,2016-08-07,20,32
84,2016-08-14,12,36
85,2016-08-21,11,50
86,2016-08-28,12,75
87,2016-09-04,7,56
88,2016-09-11,3,53
89,2016-09-18,10,47
90,2016-09-25,11,39
91,2016-10-02,8,49
92,2016-10-09,10,36
93,2016-10-16,5,49
94,2016-10-23,14,54
95,2016-10-30,9,47
96,2016-11-06,9,43
97,2016-11-13,13,42
98,2016-11-20,12,31
99,2016-11-27,10,36
100,2016-12-04,9,44
101,2016-12-11,14,41
102,2016-12-18,10,47
103,2016-12-25,16,44
104,2017-01-01,20,32
105,2017-01-08,14,33
106,2017-01-15,12,44
107,2017-01-22,7,44
108,2017-01-29,13,45
109,2017-02-05,11,39
110,2017-02-12,11,43
111,2017-02-19,10,38
112,2017-02-26,5,45
113,2017-03-05,9,46
114,2017-03-12,6,32
115,2017-03-19,7,43
116,2017-03-26,4,44
117,2017-04-02,11,38
118,2017-04-09,11,46
119,2017-04-16,5,46
120,2017-04-23,9,46
121,2017-04-30,18,49
122,2017-05-07,0,59
123,2017-05-14,5,39
124,2017-05-21,14,44
125,2017-05-28,11,42
126,2017-06-04,0,38
127,2017-06-11,3,36
128,2017-06-18,18,34
129,2017-06-25,5,37
130,2017-07-02,13,30
131,2017-07-09,8,35
132,2017-07-16,9,30
133,2017-07-23,7,27
134,2017-07-30,11,30
135,2017-08-06,11,28
136,2017-08-13,13,20
137,2017-08-20,11,47
138,2017-08-27,47,58
139,2017-09-03,25,58
140,2017-09-10,22,49
141,2017-09-17,20,63
142,2017-09-24,20,52
143,2017-10-01,46,42
144,2017-10-08,71,58
145,2017-10-15,62,45
146,2017-10-22,32,57
147,2017-10-29,25,62
148,2017-11-05,40,56
149,2017-11-12,34,47
150,2017-11-19,56,47
151,2017-11-26,30,55
152,2017-12-03,19,45
153,2017-12-10,9,39
154,2017-12-17,17,40
155,2017-12-24,26,20
156,2017-12-31,23,43
157,2018-01-07,20,43
158,2018-01-14,29,47
159,2018-01-21,19,50
160,2018-01-28,54,59
161,2018-02-04,100,45
162,2018-02-11,19,42
163,2018-02-18,27,57
164,2018-02-25,50,55
