,date,U2,Alphabet
0,2015-01-04,16,72
1,2015-01-11,28,60
2,2015-01-18,8,53
3,2015-01-25,14,71
4,2015-02-01,9,69
5,2015-02-08,0,70
6,2015-02-15,30,53
7,2015-02-22,9,89
8,2015-03-01,12,73
9,2015-03-08,26,59
10,2015-03-15,16,53
11,2015-03-22,17,74
12,2015-03-29,19,52
13,2015-04-05,12,62
14,2015-04-12,0,59
15,2015-04-19,0,56
16,2015-04-26,10,52
17,2015-05-03,30,62
18,2015-05-10,35,75
19,2015-05-17,18,63
20,2015-05-24,37,53
21,2015-05-31,23,67
22,2015-06-07,40,54
23,2015-06-14,24,41
24,2015-06-21,28,51
25,2015-06-28,26,45
26,2015-07-05,19,39
27,2015-07-12,0,39
28,2015-07-19,21,54
29,2015-07-26,26,44
30,2015-08-02,0,52
31,2015-08-09,12,82
32,2015-08-16,9,63
33,2015-08-23,21,91
34,2015-08-30,0,89
35,2015-09-06,20,84
36,2015-09-13,13,64
37,2015-09-20,9,68
38,2015-09-27,15,58
39,2015-10-04,9,82
40,2015-10-11,9,75
41,2015-10-18,4,82
42,2015-10-25,11,71
43,2015-11-01,13,65
44,2015-11-08,8,67
45,2015-11-15,14,78
46,2015-11-22,7,60
47,2015-11-29,0,71
48,2015-12-06,19,54
49,2015-12-13,20,64
50,2015-12-20,18,17
51,2015-12-27,6,42
52,2016-01-03,6,67
53,2016-01-10,11,51
54,2016-01-17,12,56
55,2016-01-24,10,73
56,2016-01-31,18,66
57,2016-02-07,11,47
58,2016-02-14,7,53
59,2016-02-21,8,56
60,2016-02-28,7,50
61,2016-03-06,7,64
62,2016-03-13,5,50
63,2016-03-20,5,47
64,2016-03-27,15,57
65,2016-04-03,8,63
66,2016-04-10,11,60
67,2016-04-17,9,70
68,2016-04-24,18,49
69,2016-05-01,8,67
70,2016-05-08,18,66
71,2016-05-15,6,46
72,2016-05-22,0,61
73,2016-05-29,8,52
74,2016-06-05,14,39
75,2016-06-12,0,47
76,2016-06-19,7,56
77,2016-06-26,10,45
78,2016-07-03,13,33
79,2016-07-10,5,26
80,2016-07-17,17,49
81,2016-07-24,10,45
82,2016-07-31,10,74
83,2016-08-07,0,43
84,2016-08-14,10,47
85,2016-08-21,10,66
86,2016-08-28,6,100
87,2016-09-04,12,74
88,2016-09-11,0,70
89,2016-09-18,12,63
90,2016-09-25,14,52
91,2016-10-02,11,66
92,2016-10-09,4,48
93,2016-10-16,13,65
94,2016-10-23,8,72
95,2016-10-30,6,62
96,2016-11-06,0,57
