,date,Metallica,Alphabet
0,2015-01-04,7,16
1,2015-01-11,8,11
2,2015-01-18,3,15
3,2015-01-25,6,22
4,2015-02-01,8,6
5,2015-02-08,0,25
6,2015-02-15,8,15
7,2015-02-22,0,10
8,2015-03-01,0,28
9,2015-03-08,12,15
10,2015-03-15,6,17
11,2015-03-22,0,13
12,2015-03-29,6,19
13,2015-04-05,5,16
14,2015-04-12,6,17
15,2015-04-19,8,13
16,2015-04-26,0,5
17,2015-05-03,6,19
18,2015-05-10,7,18
19,2015-05-17,4,23
20,2015-05-24,6,19
21,2015-05-31,7,13
22,2015-06-07,0,15
23,2015-06-14,13,14
24,2015-06-21,3,12
25,2015-06-28,12,12
26,2015-07-05,3,13
27,2015-07-12,12,10
28,2015-07-19,5,8
29,2015-07-26,6,12
30,2015-08-02,3,13
31,2015-08-09,0,29
32,2015-08-16,0,17
33,2015-08-23,0,21
34,2015-08-30,8,21
35,2015-09-06,3,25
36,2015-09-13,6,19
37,2015-09-20,10,13
38,2015-09-27,15,21
39,2015-10-04,6,17
40,2015-10-11,5,21
41,2015-10-18,3,23
42,2015-10-25,2,31
43,2015-11-01,7,21
44,2015-11-08,5,23
45,2015-11-15,8,22
46,2015-11-22,13,11
47,2015-11-29,0,28
48,2015-12-06,5,29
49,2015-12-13,0,17
50,2015-12-20,6,12
51,2015-12-27,21,11
52,2016-01-03,7,17
53,2016-01-10,7,18
54,2016-01-17,5,18
55,2016-01-24,4,19
56,2016-01-31,0,21
57,2016-02-07,12,15
58,2016-02-14,3,14
59,2016-02-21,5,20
60,2016-02-28,0,22
61,2016-03-06,7,15
62,2016-03-13,6,16
63,2016-03-20,6,11
64,2016-03-27,8,12
65,2016-04-03,6,17
66,2016-04-10,7,21
67,2016-04-17,8,23
68,2016-04-24,11,13
69,2016-05-01,4,29
70,2016-05-08,0,18
71,2016-05-15,5,17
72,2016-05-22,7,17
73,2016-05-29,4,17
74,2016-06-05,8,15
75,2016-06-12,0,12
76,2016-06-19,6,12
77,2016-06-26,6,16
78,2016-07-03,0,7
79,2016-07-10,5,14
80,2016-07-17,6,9
81,2016-07-24,7,13
82,2016-07-31,3,13
83,2016-08-07,5,14
84,2016-08-14,11,11
85,2016-08-21,19,24
86,2016-08-28,12,21
87,2016-09-04,0,25
88,2016-09-11,6,14
89,2016-09-18,4,12
90,2016-09-25,9,18
91,2016-10-02,11,13
92,2016-10-09,9,17
93,2016-10-16,6,18
94,2016-10-23,7,21
95,2016-10-30,9,22
96,2016-11-06,0,18
97,2016-11-13,24,21
98,2016-11-20,20,15
99,2016-11-27,11,19
100,2016-12-04,11,16
101,2016-12-11,10,18
102,2016-12-18,2,20
103,2016-12-25,5,13
104,2017-01-01,7,21
105,2017-01-08,6,18
106,2017-01-15,4,23
107,2017-01-22,8,18
108,2017-01-29,9,12
109,2017-02-05,13,15
110,2017-02-12,43,15
111,2017-02-19,17,20
112,2017-02-26,12,14
113,2017-03-05,7,15
114,2017-03-12,9,16
115,2017-03-19,8,17
116,2017-03-26,7,17
117,2017-04-02,8,19
118,2017-04-09,10,16
119,2017-04-16,6,18
120,2017-04-23,6,18
121,2017-04-30,10,17
122,2017-05-07,7,16
123,2017-05-14,7,21
124,2017-05-21,11,15
125,2017-05-28,9,15
126,2017-06-04,14,17
127,2017-06-11,14,17
128,2017-06-18,8,13
129,2017-06-25,11,13
130,2017-07-02,11,14
131,2017-07-09,4,10
132,2017-07-16,8,8
133,2017-07-23,8,9
134,2017-07-30,3,8
135,2017-08-06,7,8
136,2017-08-13,8,13
137,2017-08-20,6,14
