,date,Coldplay,Alphabet
0,2015-01-04,6,19
1,2015-01-11,5,20
2,2015-01-18,4,21
3,2015-01-25,3,20
4,2015-02-01,5,19
5,2015-02-08,5,24
6,2015-02-15,6,20
7,2015-02-22,5,21
8,2015-03-01,4,21
9,2015-03-08,5,20
10,2015-03-15,5,15
11,2015-03-22,4,18
12,2015-03-29,4,19
13,2015-04-05,4,19
14,2015-04-12,4,20
15,2015-04-19,6,18
16,2015-04-26,4,19
17,2015-05-03,5,19
18,2015-05-10,5,18
19,2015-05-17,4,17
20,2015-05-24,7,17
21,2015-05-31,5,18
22,2015-06-07,5,16
23,2015-06-14,4,15
24,2015-06-21,3,14
25,2015-06-28,5,14
26,2015-07-05,5,15
27,2015-07-12,6,15
28,2015-07-19,4,17
29,2015-07-26,5,15
30,2015-08-02,4,13
31,2015-08-09,5,37
32,2015-08-16,4,21
33,2015-08-23,4,23
34,2015-08-30,4,26
35,2015-09-06,4,20
36,2015-09-13,4,22
37,2015-09-20,6,22
38,2015-09-27,5,22
39,2015-10-04,6,25
40,2015-10-11,5,24
41,2015-10-18,5,23
42,2015-10-25,4,19
43,2015-11-01,8,21
44,2015-11-08,8,21
45,2015-11-15,7,21
46,2015-11-22,14,19
47,2015-11-29,22,22
48,2015-12-06,17,22
49,2015-12-13,13,19
50,2015-12-20,9,19
51,2015-12-27,8,16
52,2016-01-03,8,16
53,2016-01-10,8,18
54,2016-01-17,7,17
55,2016-01-24,25,20
56,2016-01-31,38,25
57,2016-02-07,100,18
58,2016-02-14,14,18
59,2016-02-21,11,19
60,2016-02-28,11,21
61,2016-03-06,6,15
62,2016-03-13,10,19
63,2016-03-20,8,17
64,2016-03-27,8,13
65,2016-04-03,7,20
66,2016-04-10,9,18
67,2016-04-17,8,16
68,2016-04-24,11,19
69,2016-05-01,9,18
70,2016-05-08,7,18
71,2016-05-15,10,22
72,2016-05-22,9,18
73,2016-05-29,9,15
74,2016-06-05,9,15
75,2016-06-12,9,13
76,2016-06-19,7,13
77,2016-06-26,8,16
78,2016-07-03,11,14
79,2016-07-10,15,14
80,2016-07-17,59,15
81,2016-07-24,91,16
82,2016-07-31,11,20
83,2016-08-07,9,15
84,2016-08-14,8,17
85,2016-08-21,8,23
86,2016-08-28,8,22
87,2016-09-04,7,22
88,2016-09-11,5,21
89,2016-09-18,5,20
90,2016-09-25,5,20
91,2016-10-02,10,18
92,2016-10-09,13,17
93,2016-10-16,7,20
94,2016-10-23,6,19
95,2016-10-30,6,19
96,2016-11-06,5,17
97,2016-11-13,8,22
98,2016-11-20,7,17
99,2016-11-27,4,19
100,2016-12-04,5,19
101,2016-12-11,5,18
102,2016-12-18,5,18
103,2016-12-25,6,15
104,2017-01-01,5,18
105,2017-01-08,5,20
106,2017-01-15,4,19
107,2017-01-22,5,19
108,2017-01-29,6,19
109,2017-02-05,5,18
110,2017-02-12,5,18
111,2017-02-19,8,20
112,2017-02-26,9,19
113,2017-03-05,10,18
114,2017-03-12,7,18
115,2017-03-19,8,18
116,2017-03-26,8,19
117,2017-04-02,7,19
118,2017-04-09,8,18
119,2017-04-16,7,18
120,2017-04-23,9,20
121,2017-04-30,8,21
122,2017-05-07,8,20
123,2017-05-14,7,18
124,2017-05-21,7,21
125,2017-05-28,9,19
126,2017-06-04,14,18
127,2017-06-11,8,17
128,2017-06-18,9,16
129,2017-06-25,8,16
130,2017-07-02,7,13
131,2017-07-09,10,18
132,2017-07-16,9,14
133,2017-07-23,11,16
134,2017-07-30,11,14
135,2017-08-06,19,15
136,2017-08-13,68,18
137,2017-08-20,11,22
138,2017-08-27,6,22
139,2017-09-03,6,22
140,2017-09-10,4,21
141,2017-09-17,5,23
