,date,Guns N' Roses,Alphabet
0,2015-01-04,4,24
1,2015-01-11,3,25
2,2015-01-18,2,26
3,2015-01-25,3,26
4,2015-02-01,3,24
5,2015-02-08,3,30
6,2015-02-15,4,25
7,2015-02-22,4,26
8,2015-03-01,5,27
9,2015-03-08,4,26
10,2015-03-15,4,19
11,2015-03-22,5,23
12,2015-03-29,3,24
13,2015-04-05,4,24
14,2015-04-12,3,25
15,2015-04-19,4,23
16,2015-04-26,3,24
17,2015-05-03,4,23
18,2015-05-10,5,23
19,2015-05-17,4,22
20,2015-05-24,3,22
21,2015-05-31,3,23
22,2015-06-07,2,20
23,2015-06-14,4,19
24,2015-06-21,5,18
25,2015-06-28,4,17
26,2015-07-05,4,19
27,2015-07-12,4,18
28,2015-07-19,4,22
29,2015-07-26,5,18
30,2015-08-02,5,16
31,2015-08-09,4,47
32,2015-08-16,3,27
33,2015-08-23,6,29
34,2015-08-30,5,33
35,2015-09-06,6,25
36,2015-09-13,4,28
37,2015-09-20,4,28
38,2015-09-27,5,28
39,2015-10-04,5,31
40,2015-10-11,4,30
41,2015-10-18,5,28
42,2015-10-25,5,24
43,2015-11-01,4,27
44,2015-11-08,10,26
45,2015-11-15,6,27
46,2015-11-22,9,23
47,2015-11-29,7,28
48,2015-12-06,4,28
49,2015-12-13,5,24
50,2015-12-20,4,23
51,2015-12-27,17,20
52,2016-01-03,19,20
53,2016-01-10,10,22
54,2016-01-17,11,22
55,2016-01-24,9,25
56,2016-01-31,8,32
57,2016-02-07,8,23
58,2016-02-14,9,22
59,2016-02-21,7,24
60,2016-02-28,8,26
61,2016-03-06,7,19
62,2016-03-13,9,24
63,2016-03-20,18,22
64,2016-03-27,40,17
65,2016-04-03,58,25
66,2016-04-10,27,23
67,2016-04-17,24,20
68,2016-04-24,22,24
69,2016-05-01,12,23
70,2016-05-08,12,23
71,2016-05-15,11,27
72,2016-05-22,11,22
73,2016-05-29,13,19
74,2016-06-05,11,19
75,2016-06-12,14,16
76,2016-06-19,23,16
77,2016-06-26,100,20
78,2016-07-03,61,17
79,2016-07-10,21,18
80,2016-07-17,12,18
81,2016-07-24,11,20
82,2016-07-31,9,25
83,2016-08-07,7,19
84,2016-08-14,9,21
85,2016-08-21,8,29
86,2016-08-28,5,28
87,2016-09-04,6,28
88,2016-09-11,5,27
89,2016-09-18,6,25
90,2016-09-25,6,25
91,2016-10-02,4,22
92,2016-10-09,5,21
93,2016-10-16,5,25
94,2016-10-23,6,24
95,2016-10-30,5,24
96,2016-11-06,5,22
97,2016-11-13,5,28
