,date,U2,Alphabet
0,2015-01-04,10,22
1,2015-01-11,7,23
2,2015-01-18,5,24
3,2015-01-25,6,24
4,2015-02-01,8,23
5,2015-02-08,9,28
6,2015-02-15,5,23
7,2015-02-22,6,24
8,2015-03-01,7,25
9,2015-03-08,7,24
10,2015-03-15,7,17
11,2015-03-22,6,21
12,2015-03-29,7,22
13,2015-04-05,5,22
14,2015-04-12,6,23
15,2015-04-19,7,21
16,2015-04-26,7,22
17,2015-05-03,11,22
18,2015-05-10,14,21
19,2015-05-17,12,20
20,2015-05-24,15,20
21,2015-05-31,10,21
22,2015-06-07,10,18
23,2015-06-14,11,18
24,2015-06-21,52,16
25,2015-06-28,56,16
26,2015-07-05,11,17
27,2015-07-12,8,17
28,2015-07-19,9,20
29,2015-07-26,11,17
30,2015-08-02,6,15
31,2015-08-09,6,44
32,2015-08-16,4,25
33,2015-08-23,6,27
34,2015-08-30,6,30
35,2015-09-06,5,23
36,2015-09-13,5,26
37,2015-09-20,5,26
38,2015-09-27,4,26
39,2015-10-04,4,29
40,2015-10-11,4,28
41,2015-10-18,4,26
42,2015-10-25,5,23
43,2015-11-01,5,25
44,2015-11-08,8,24
45,2015-11-15,7,25
46,2015-11-22,6,22
47,2015-11-29,5,26
48,2015-12-06,12,26
49,2015-12-13,7,22
50,2015-12-20,5,22
51,2015-12-27,3,18
52,2016-01-03,5,19
53,2016-01-10,5,20
54,2016-01-17,6,20
55,2016-01-24,5,23
56,2016-01-31,7,30
57,2016-02-07,6,21
58,2016-02-14,4,21
59,2016-02-21,4,23
60,2016-02-28,4,24
61,2016-03-06,4,18
62,2016-03-13,5,23
63,2016-03-20,4,20
64,2016-03-27,4,15
65,2016-04-03,5,23
66,2016-04-10,5,21
67,2016-04-17,5,19
68,2016-04-24,6,22
69,2016-05-01,5,21
70,2016-05-08,6,21
71,2016-05-15,5,25
72,2016-05-22,4,20
73,2016-05-29,4,17
74,2016-06-05,4,18
75,2016-06-12,4,15
76,2016-06-19,3,15
77,2016-06-26,4,19
78,2016-07-03,6,16
79,2016-07-10,4,16
80,2016-07-17,5,17
81,2016-07-24,3,18
82,2016-07-31,4,23
83,2016-08-07,5,17
84,2016-08-14,3,19
85,2016-08-21,5,27
86,2016-08-28,4,25
87,2016-09-04,3,26
88,2016-09-11,4,25
89,2016-09-18,4,23
90,2016-09-25,4,24
91,2016-10-02,4,20
92,2016-10-09,4,20
93,2016-10-16,4,23
94,2016-10-23,3,22
95,2016-10-30,4,22
96,2016-11-06,4,20
97,2016-11-13,4,26
98,2016-11-20,4,20
99,2016-11-27,3,22
100,2016-12-04,4,22
101,2016-12-11,3,21
102,2016-12-18,4,21
103,2016-12-25,6,18
104,2017-01-01,5,20
105,2017-01-08,43,23
106,2017-01-15,30,23
107,2017-01-22,15,22
108,2017-01-29,9,22
109,2017-02-05,7,21
110,2017-02-12,6,21
111,2017-02-19,7,24
112,2017-02-26,7,23
113,2017-03-05,7,21
114,2017-03-12,8,21
115,2017-03-19,7,21
116,2017-03-26,6,23
117,2017-04-02,6,22
118,2017-04-09,7,21
119,2017-04-16,7,21
120,2017-04-23,7,24
121,2017-04-30,10,24
122,2017-05-07,13,23
123,2017-05-14,16,21
124,2017-05-21,21,24
125,2017-05-28,69,22
126,2017-06-04,100,21
127,2017-06-11,17,20
128,2017-06-18,11,19
129,2017-06-25,11,19
130,2017-07-02,8,15
131,2017-07-09,7,20
132,2017-07-16,7,16
133,2017-07-23,7,18
134,2017-07-30,8,17
135,2017-08-06,6,17
136,2017-08-13,7,21
137,2017-08-20,7,26
138,2017-08-27,9,26
139,2017-09-03,17,25
140,2017-09-10,30,25
141,2017-09-17,10,26
142,2017-09-24,5,26
143,2017-10-01,6,25
144,2017-10-08,5,24
145,2017-10-15,5,25
146,2017-10-22,5,26
147,2017-10-29,9,26
148,2017-11-05,7,27
149,2017-11-12,9,26
150,2017-11-19,7,19
151,2017-11-26,9,23
152,2017-12-03,13,23
153,2017-12-10,8,24
154,2017-12-17,8,21
155,2017-12-24,9,17
156,2017-12-31,7,19
157,2018-01-07,5,23
158,2018-01-14,7,22
159,2018-01-21,6,25
160,2018-01-28,15,29
161,2018-02-04,5,28
162,2018-02-11,6,26
163,2018-02-18,5,25
164,2018-02-25,4,24
165,2018-03-04,6,24
166,2018-03-11,5,24
167,2018-03-18,7,24
168,2018-03-25,5,18
169,2018-04-01,6,22
170,2018-04-08,5,24
171,2018-04-15,6,22
172,2018-04-22,6,24
173,2018-04-29,16,22
174,2018-05-06,10,21
175,2018-05-13,13,22
176,2018-05-20,49,22
177,2018-05-27,7,19
178,2018-06-03,7,19
179,2018-06-10,9,18
180,2018-06-17,7,18
181,2018-06-24,4,19
182,2018-07-01,5,17
183,2018-07-08,5,17
184,2018-07-15,4,17
185,2018-07-22,5,22
186,2018-07-29,4,18
187,2018-08-05,5,20
188,2018-08-12,4,21
189,2018-08-19,5,27
190,2018-08-26,5,31
191,2018-09-02,4,26
192,2018-09-09,4,26
193,2018-09-16,4,24
194,2018-09-23,4,25
195,2018-09-30,4,24
196,2018-10-07,4,25
197,2018-10-14,4,25
198,2018-10-21,3,25
199,2018-10-28,3,25
200,2018-11-04,4,25
201,2018-11-11,4,25
202,2018-11-18,4,20
203,2018-11-25,4,24
204,2018-12-02,3,25
205,2018-12-09,3,23
206,2018-12-16,5,24
207,2018-12-23,4,20
208,2018-12-30,5,18
209,2019-01-06,3,23
210,2019-01-13,5,23
211,2019-01-20,5,19
212,2019-01-27,3,22
213,2019-02-03,3,27
214,2019-02-10,4,25
215,2019-02-17,5,22
216,2019-02-24,3,23
217,2019-03-03,4,20
218,2019-03-10,4,24
219,2019-03-17,5,23
220,2019-03-24,4,22
221,2019-03-31,3,24
222,2019-04-07,4,25
223,2019-04-14,4,21
224,2019-04-21,2,22
225,2019-04-28,4,25
226,2019-05-05,4,20
227,2019-05-12,3,23
228,2019-05-19,4,24
229,2019-05-26,4,18
230,2019-06-02,3,20
231,2019-06-09,4,18
232,2019-06-16,3,20
233,2019-06-23,3,16
234,2019-06-30,4,15
235,2019-07-07,4,18
236,2019-07-14,3,17
237,2019-07-21,5,18
238,2019-07-28,3,16
239,2019-08-04,3,18
240,2019-08-11,3,20
241,2019-08-18,3,26
242,2019-08-25,4,28
243,2019-09-01,3,25
244,2019-09-08,3,27
245,2019-09-15,4,24
246,2019-09-22,4,26
247,2019-09-29,3,25
248,2019-10-06,3,27
249,2019-10-13,3,23
250,2019-10-20,4,25
251,2019-10-27,3,25
252,2019-11-03,4,28
253,2019-11-10,3,26
254,2019-11-17,3,28
255,2019-11-24,4,23
256,2019-12-01,3,26
257,2019-12-08,4,26
258,2019-12-15,4,23
259,2019-12-22,3,20
260,2019-12-29,5,20
