,date,Bruno Mars,Alphabet
0,2015-01-04,17,23
1,2015-01-11,30,23
2,2015-01-18,26,24
3,2015-01-25,31,33
4,2015-02-01,31,28
5,2015-02-08,25,28
6,2015-02-15,18,27
7,2015-02-22,20,31
8,2015-03-01,21,25
9,2015-03-08,11,28
10,2015-03-15,15,22
11,2015-03-22,15,21
12,2015-03-29,15,22
13,2015-04-05,13,24
14,2015-04-12,14,25
15,2015-04-19,12,26
16,2015-04-26,9,24
17,2015-05-03,17,18
18,2015-05-10,10,25
19,2015-05-17,13,28
20,2015-05-24,10,18
21,2015-05-31,11,21
22,2015-06-07,11,16
23,2015-06-14,11,20
24,2015-06-21,10,17
25,2015-06-28,6,18
26,2015-07-05,12,12
27,2015-07-12,4,19
28,2015-07-19,7,15
29,2015-07-26,10,17
30,2015-08-02,11,24
31,2015-08-09,5,48
32,2015-08-16,7,41
33,2015-08-23,6,39
34,2015-08-30,13,42
35,2015-09-06,16,38
36,2015-09-13,8,34
37,2015-09-20,8,37
38,2015-09-27,8,38
39,2015-10-04,8,43
40,2015-10-11,7,26
41,2015-10-18,9,25
42,2015-10-25,8,29
43,2015-11-01,4,33
44,2015-11-08,9,28
45,2015-11-15,7,30
46,2015-11-22,6,16
47,2015-11-29,7,29
48,2015-12-06,8,33
49,2015-12-13,6,26
50,2015-12-20,8,21
51,2015-12-27,6,25
52,2016-01-03,7,21
53,2016-01-10,5,22
54,2016-01-17,8,24
55,2016-01-24,5,24
56,2016-01-31,13,31
57,2016-02-07,61,25
58,2016-02-14,21,26
59,2016-02-21,6,24
60,2016-02-28,6,22
61,2016-03-06,9,25
62,2016-03-13,10,24
63,2016-03-20,8,20
64,2016-03-27,7,25
65,2016-04-03,7,26
66,2016-04-10,8,22
67,2016-04-17,8,22
68,2016-04-24,7,18
69,2016-05-01,5,23
70,2016-05-08,5,24
71,2016-05-15,8,20
72,2016-05-22,8,18
73,2016-05-29,8,20
74,2016-06-05,7,22
75,2016-06-12,6,12
76,2016-06-19,7,17
77,2016-06-26,6,20
78,2016-07-03,5,17
79,2016-07-10,4,19
80,2016-07-17,6,15
81,2016-07-24,6,21
82,2016-07-31,7,29
83,2016-08-07,6,24
84,2016-08-14,6,29
85,2016-08-21,5,33
86,2016-08-28,5,32
87,2016-09-04,6,24
88,2016-09-11,4,31
89,2016-09-18,5,31
90,2016-09-25,8,25
91,2016-10-02,16,27
92,2016-10-09,18,25
93,2016-10-16,22,20
94,2016-10-23,12,24
95,2016-10-30,15,20
96,2016-11-06,10,22
97,2016-11-13,37,28
98,2016-11-20,50,22
99,2016-11-27,22,24
100,2016-12-04,23,27
101,2016-12-11,48,22
102,2016-12-18,27,21
103,2016-12-25,21,15
104,2017-01-01,23,21
105,2017-01-08,19,27
106,2017-01-15,19,24
107,2017-01-22,17,27
108,2017-01-29,22,25
109,2017-02-05,22,21
110,2017-02-12,100,22
111,2017-02-19,34,27
112,2017-02-26,36,25
113,2017-03-05,38,23
114,2017-03-12,31,24
115,2017-03-19,33,27
116,2017-03-26,31,23
117,2017-04-02,29,20
118,2017-04-09,25,21
119,2017-04-16,22,19
120,2017-04-23,27,22
121,2017-04-30,36,22
122,2017-05-07,35,24
123,2017-05-14,33,27
124,2017-05-21,36,24
125,2017-05-28,29,20
126,2017-06-04,24,19
127,2017-06-11,31,20
128,2017-06-18,31,13
129,2017-06-25,41,16
130,2017-07-02,31,13
131,2017-07-09,26,16
132,2017-07-16,26,20
133,2017-07-23,26,16
134,2017-07-30,24,19
135,2017-08-06,40,25
136,2017-08-13,78,34
137,2017-08-20,19,31
138,2017-08-27,20,31
139,2017-09-03,14,29
140,2017-09-10,16,28
141,2017-09-17,24,25
142,2017-09-24,14,24
143,2017-10-01,13,27
144,2017-10-08,14,25
145,2017-10-15,14,22
146,2017-10-22,11,29
147,2017-10-29,13,25
148,2017-11-05,13,24
149,2017-11-12,12,28
150,2017-11-19,9,19
151,2017-11-26,22,25
152,2017-12-03,12,22
153,2017-12-10,13,25
154,2017-12-17,13,22
155,2017-12-24,12,17
156,2017-12-31,28,18
157,2018-01-07,23,22
158,2018-01-14,17,24
159,2018-01-21,28,26
160,2018-01-28,65,31
161,2018-02-04,33,28
162,2018-02-11,21,24
163,2018-02-18,15,25
164,2018-02-25,16,24
165,2018-03-04,18,30
166,2018-03-11,19,28
167,2018-03-18,20,23
168,2018-03-25,20,21
169,2018-04-01,12,22
170,2018-04-08,14,27
171,2018-04-15,12,20
172,2018-04-22,12,26
173,2018-04-29,12,25
174,2018-05-06,11,24
175,2018-05-13,11,26
176,2018-05-20,13,23
177,2018-05-27,11,23
178,2018-06-03,10,17
179,2018-06-10,10,15
180,2018-06-17,12,16
181,2018-06-24,10,14
182,2018-07-01,14,17
183,2018-07-08,10,20
184,2018-07-15,8,17
185,2018-07-22,9,19
186,2018-07-29,14,21
187,2018-08-05,10,25
188,2018-08-12,13,31
189,2018-08-19,10,32
190,2018-08-26,9,32
191,2018-09-02,8,31
192,2018-09-09,10,26
193,2018-09-16,13,29
194,2018-09-23,12,24
195,2018-09-30,6,24
196,2018-10-07,14,28
197,2018-10-14,6,26
198,2018-10-21,9,26
199,2018-10-28,8,22
200,2018-11-04,9,24
201,2018-11-11,10,25
202,2018-11-18,8,19
203,2018-11-25,9,27
204,2018-12-02,5,26
205,2018-12-09,7,21
206,2018-12-16,8,23
207,2018-12-23,9,19
208,2018-12-30,5,20
209,2019-01-06,7,26
210,2019-01-13,7,26
211,2019-01-20,6,21
212,2019-01-27,7,25
213,2019-02-03,11,28
214,2019-02-10,15,23
215,2019-02-17,14,20
216,2019-02-24,13,28
217,2019-03-03,14,22
218,2019-03-10,11,26
219,2019-03-17,11,23
220,2019-03-24,10,19
221,2019-03-31,9,24
222,2019-04-07,10,23
223,2019-04-14,8,25
224,2019-04-21,10,22
225,2019-04-28,8,24
226,2019-05-05,7,26
227,2019-05-12,9,22
228,2019-05-19,5,21
229,2019-05-26,7,14
230,2019-06-02,5,21
231,2019-06-09,5,16
232,2019-06-16,4,16
233,2019-06-23,10,20
234,2019-06-30,9,17
235,2019-07-07,7,17
236,2019-07-14,8,17
237,2019-07-21,5,17
238,2019-07-28,6,20
239,2019-08-04,6,22
240,2019-08-11,8,26
241,2019-08-18,7,36
242,2019-08-25,6,31
243,2019-09-01,6,32
244,2019-09-08,5,24
245,2019-09-15,6,27
246,2019-09-22,7,33
247,2019-09-29,9,31
248,2019-10-06,7,26
249,2019-10-13,8,28
250,2019-10-20,5,29
251,2019-10-27,5,29
252,2019-11-03,7,28
253,2019-11-10,6,28
254,2019-11-17,6,29
255,2019-11-24,8,21
256,2019-12-01,6,22
257,2019-12-08,6,25
258,2019-12-15,2,26
259,2019-12-22,4,13
260,2019-12-29,5,22
