,date,Coldplay,Alphabet
0,2015-01-04,6,20
1,2015-01-11,7,20
2,2015-01-18,4,20
3,2015-01-25,10,28
4,2015-02-01,3,24
5,2015-02-08,4,24
6,2015-02-15,5,23
7,2015-02-22,4,26
8,2015-03-01,5,21
9,2015-03-08,6,24
10,2015-03-15,5,19
11,2015-03-22,0,18
12,2015-03-29,5,18
13,2015-04-05,3,21
14,2015-04-12,5,21
15,2015-04-19,7,22
16,2015-04-26,5,21
17,2015-05-03,6,15
18,2015-05-10,5,21
19,2015-05-17,5,24
20,2015-05-24,6,15
21,2015-05-31,5,17
22,2015-06-07,8,13
23,2015-06-14,2,17
24,2015-06-21,4,14
25,2015-06-28,6,16
26,2015-07-05,4,11
27,2015-07-12,4,16
28,2015-07-19,6,13
29,2015-07-26,2,14
30,2015-08-02,4,20
31,2015-08-09,5,40
32,2015-08-16,6,35
33,2015-08-23,8,33
34,2015-08-30,5,36
35,2015-09-06,3,32
36,2015-09-13,5,29
37,2015-09-20,5,31
38,2015-09-27,4,32
39,2015-10-04,3,36
40,2015-10-11,0,22
41,2015-10-18,5,21
42,2015-10-25,8,24
43,2015-11-01,8,28
44,2015-11-08,8,24
45,2015-11-15,9,26
46,2015-11-22,14,14
47,2015-11-29,22,25
48,2015-12-06,13,28
49,2015-12-13,12,22
50,2015-12-20,10,18
51,2015-12-27,8,21
52,2016-01-03,6,18
53,2016-01-10,5,19
54,2016-01-17,7,20
55,2016-01-24,16,20
56,2016-01-31,28,26
57,2016-02-07,100,22
58,2016-02-14,12,22
59,2016-02-21,9,20
60,2016-02-28,6,18
61,2016-03-06,7,21
62,2016-03-13,9,20
63,2016-03-20,7,17
64,2016-03-27,6,21
65,2016-04-03,11,22
66,2016-04-10,14,19
67,2016-04-17,9,18
68,2016-04-24,11,15
69,2016-05-01,8,19
70,2016-05-08,6,20
71,2016-05-15,7,17
72,2016-05-22,10,15
73,2016-05-29,8,17
74,2016-06-05,6,19
75,2016-06-12,8,10
76,2016-06-19,6,15
77,2016-06-26,13,17
78,2016-07-03,10,15
79,2016-07-10,13,16
80,2016-07-17,57,13
81,2016-07-24,29,18
82,2016-07-31,8,25
83,2016-08-07,7,20
84,2016-08-14,6,24
85,2016-08-21,7,28
86,2016-08-28,9,27
87,2016-09-04,6,20
88,2016-09-11,7,26
89,2016-09-18,6,26
90,2016-09-25,5,21
