,date,Ed Sheeran,Alphabet
0,2015-01-04,42,23
1,2015-01-11,31,24
2,2015-01-18,38,25
3,2015-01-25,43,31
4,2015-02-01,48,28
5,2015-02-08,89,30
6,2015-02-15,54,25
7,2015-02-22,32,31
8,2015-03-01,47,25
9,2015-03-08,40,28
10,2015-03-15,27,23
11,2015-03-22,31,22
12,2015-03-29,20,22
13,2015-04-05,24,25
14,2015-04-12,30,25
15,2015-04-19,22,29
16,2015-04-26,19,25
17,2015-05-03,29,19
18,2015-05-10,23,27
19,2015-05-17,32,29
20,2015-05-24,26,18
21,2015-05-31,30,21
22,2015-06-07,20,15
23,2015-06-14,40,20
24,2015-06-21,35,17
25,2015-06-28,100,19
26,2015-07-05,34,12
27,2015-07-12,20,18
28,2015-07-19,27,15
29,2015-07-26,17,18
30,2015-08-02,19,24
31,2015-08-09,27,48
32,2015-08-16,23,42
33,2015-08-23,17,39
34,2015-08-30,18,42
35,2015-09-06,24,38
36,2015-09-13,30,34
37,2015-09-20,21,36
38,2015-09-27,23,37
39,2015-10-04,13,43
40,2015-10-11,16,25
41,2015-10-18,24,25
42,2015-10-25,16,28
43,2015-11-01,13,33
44,2015-11-08,14,29
45,2015-11-15,16,30
46,2015-11-22,16,16
47,2015-11-29,13,29
48,2015-12-06,15,35
49,2015-12-13,13,26
50,2015-12-20,12,21
51,2015-12-27,11,25
52,2016-01-03,9,22
53,2016-01-10,7,22
54,2016-01-17,11,24
55,2016-01-24,10,24
56,2016-01-31,13,30
57,2016-02-07,6,25
58,2016-02-14,19,26
59,2016-02-21,10,23
60,2016-02-28,8,22
61,2016-03-06,9,24
62,2016-03-13,10,23
63,2016-03-20,6,20
64,2016-03-27,6,26
65,2016-04-03,6,27
66,2016-04-10,11,22
67,2016-04-17,7,22
68,2016-04-24,7,18
69,2016-05-01,7,23
70,2016-05-08,7,24
71,2016-05-15,6,20
72,2016-05-22,3,18
73,2016-05-29,5,20
74,2016-06-05,17,22
75,2016-06-12,9,12
76,2016-06-19,10,18
77,2016-06-26,6,20
78,2016-07-03,8,17
79,2016-07-10,7,19
80,2016-07-17,5,14
81,2016-07-24,8,21
82,2016-07-31,5,29
83,2016-08-07,5,23
84,2016-08-14,5,28
85,2016-08-21,2,32
86,2016-08-28,6,32
87,2016-09-04,6,24
88,2016-09-11,7,31
89,2016-09-18,6,30
90,2016-09-25,5,26
91,2016-10-02,5,28
92,2016-10-09,8,25
93,2016-10-16,5,20
94,2016-10-23,4,25
95,2016-10-30,4,20
96,2016-11-06,2,22
97,2016-11-13,7,28
98,2016-11-20,3,22
99,2016-11-27,6,24
100,2016-12-04,5,27
101,2016-12-11,6,22
102,2016-12-18,5,22
103,2016-12-25,5,15
104,2017-01-01,25,21
105,2017-01-08,25,27
106,2017-01-15,18,23
107,2017-01-22,17,27
108,2017-01-29,20,25
109,2017-02-05,15,22
110,2017-02-12,47,22
111,2017-02-19,28,27
112,2017-02-26,47,25
113,2017-03-05,92,23
114,2017-03-12,73,24
115,2017-03-19,49,26
116,2017-03-26,32,23
117,2017-04-02,32,20
118,2017-04-09,30,21
119,2017-04-16,22,19
120,2017-04-23,22,24
121,2017-04-30,21,22
122,2017-05-07,24,23
123,2017-05-14,17,27
124,2017-05-21,26,24
125,2017-05-28,24,21
126,2017-06-04,28,19
127,2017-06-11,25,20
128,2017-06-18,21,13
129,2017-06-25,21,16
130,2017-07-02,22,13
131,2017-07-09,18,16
132,2017-07-16,62,19
133,2017-07-23,24,16
134,2017-07-30,17,19
135,2017-08-06,23,25
136,2017-08-13,18,33
137,2017-08-20,17,31
138,2017-08-27,31,31
139,2017-09-03,64,29
140,2017-09-10,25,27
141,2017-09-17,19,25
142,2017-09-24,18,23
143,2017-10-01,21,26
144,2017-10-08,23,26
145,2017-10-15,28,22
146,2017-10-22,25,28
147,2017-10-29,18,25
148,2017-11-05,22,24
149,2017-11-12,21,28
150,2017-11-19,15,20
151,2017-11-26,23,26
152,2017-12-03,39,23
153,2017-12-10,35,25
154,2017-12-17,38,22
155,2017-12-24,35,18
156,2017-12-31,31,16
157,2018-01-07,31,22
158,2018-01-14,36,25
159,2018-01-21,48,27
160,2018-01-28,40,31
161,2018-02-04,30,29
162,2018-02-11,34,23
163,2018-02-18,23,25
164,2018-02-25,24,25
165,2018-03-04,26,28
166,2018-03-11,20,27
167,2018-03-18,18,23
168,2018-03-25,21,21
169,2018-04-01,19,22
170,2018-04-08,20,25
171,2018-04-15,21,20
172,2018-04-22,15,27
173,2018-04-29,19,25
174,2018-05-06,18,24
175,2018-05-13,17,26
176,2018-05-20,23,23
177,2018-05-27,15,23
178,2018-06-03,15,17
179,2018-06-10,16,15
180,2018-06-17,14,16
181,2018-06-24,19,14
182,2018-07-01,18,17
183,2018-07-08,20,20
184,2018-07-15,15,17
185,2018-07-22,14,19
186,2018-07-29,12,21
187,2018-08-05,11,25
188,2018-08-12,10,31
189,2018-08-19,13,32
190,2018-08-26,14,32
191,2018-09-02,20,32
192,2018-09-09,20,26
193,2018-09-16,15,29
194,2018-09-23,14,24
195,2018-09-30,23,25
196,2018-10-07,18,28
197,2018-10-14,13,26
198,2018-10-21,13,26
199,2018-10-28,9,22
200,2018-11-04,11,24
201,2018-11-11,10,25
202,2018-11-18,10,19
203,2018-11-25,9,27
204,2018-12-02,10,26
205,2018-12-09,11,21
206,2018-12-16,11,23
207,2018-12-23,11,19
208,2018-12-30,11,20
209,2019-01-06,10,26
210,2019-01-13,9,26
211,2019-01-20,10,21
212,2019-01-27,10,25
213,2019-02-03,9,28
214,2019-02-10,11,23
215,2019-02-17,11,20
216,2019-02-24,10,29
217,2019-03-03,11,22
218,2019-03-10,8,26
219,2019-03-17,11,23
220,2019-03-24,7,19
221,2019-03-31,10,24
222,2019-04-07,9,23
223,2019-04-14,12,25
