,date,Guns N' Roses,Alphabet
0,2015-01-04,10,48
1,2015-01-11,8,49
2,2015-01-18,8,50
3,2015-01-25,8,70
4,2015-02-01,9,59
5,2015-02-08,9,60
6,2015-02-15,10,57
7,2015-02-22,13,65
8,2015-03-01,5,52
9,2015-03-08,5,59
10,2015-03-15,6,47
11,2015-03-22,6,45
12,2015-03-29,4,45
13,2015-04-05,10,51
14,2015-04-12,9,53
15,2015-04-19,11,55
16,2015-04-26,10,51
17,2015-05-03,9,38
18,2015-05-10,11,53
19,2015-05-17,14,59
20,2015-05-24,12,38
21,2015-05-31,6,43
22,2015-06-07,13,33
23,2015-06-14,8,42
24,2015-06-21,20,36
25,2015-06-28,5,39
26,2015-07-05,12,26
27,2015-07-12,11,39
28,2015-07-19,9,32
29,2015-07-26,11,36
30,2015-08-02,6,50
31,2015-08-09,4,100
32,2015-08-16,11,86
33,2015-08-23,6,81
34,2015-08-30,11,89
35,2015-09-06,15,79
36,2015-09-13,15,72
37,2015-09-20,13,77
38,2015-09-27,0,80
39,2015-10-04,9,90
40,2015-10-11,15,54
41,2015-10-18,7,52
42,2015-10-25,12,60
43,2015-11-01,5,70
44,2015-11-08,16,58
45,2015-11-15,15,64
46,2015-11-22,15,34
47,2015-11-29,14,61
48,2015-12-06,12,69
49,2015-12-13,7,55
50,2015-12-20,9,44
51,2015-12-27,38,52
52,2016-01-03,34,44
53,2016-01-10,26,46
54,2016-01-17,24,50
55,2016-01-24,17,50
56,2016-01-31,16,65
57,2016-02-07,18,53
58,2016-02-14,22,55
59,2016-02-21,13,50
60,2016-02-28,14,46
61,2016-03-06,13,52
62,2016-03-13,12,49
63,2016-03-20,21,41
64,2016-03-27,46,53
65,2016-04-03,73,54
66,2016-04-10,46,47
67,2016-04-17,43,45
68,2016-04-24,29,37
69,2016-05-01,14,48
70,2016-05-08,18,50
71,2016-05-15,23,41
72,2016-05-22,14,38
73,2016-05-29,17,43
74,2016-06-05,26,46
75,2016-06-12,21,25
76,2016-06-19,31,37
77,2016-06-26,56,42
78,2016-07-03,69,36
79,2016-07-10,37,40
80,2016-07-17,21,31
81,2016-07-24,20,44
82,2016-07-31,21,61
83,2016-08-07,18,50
84,2016-08-14,15,61
85,2016-08-21,9,68
86,2016-08-28,14,68
87,2016-09-04,14,50
88,2016-09-11,15,65
89,2016-09-18,11,64
90,2016-09-25,15,53
91,2016-10-02,10,58
92,2016-10-09,16,52
93,2016-10-16,5,43
94,2016-10-23,13,51
95,2016-10-30,12,42
96,2016-11-06,9,45
97,2016-11-13,10,58
98,2016-11-20,13,47
99,2016-11-27,13,51
100,2016-12-04,20,56
101,2016-12-11,11,46
102,2016-12-18,15,43
103,2016-12-25,13,32
104,2017-01-01,9,45
105,2017-01-08,14,57
106,2017-01-15,13,50
107,2017-01-22,10,57
108,2017-01-29,9,51
109,2017-02-05,13,44
110,2017-02-12,13,47
111,2017-02-19,11,57
112,2017-02-26,10,52
113,2017-03-05,13,49
114,2017-03-12,7,50
115,2017-03-19,14,57
116,2017-03-26,9,48
117,2017-04-02,10,43
118,2017-04-09,9,43
119,2017-04-16,7,40
120,2017-04-23,11,46
121,2017-04-30,6,46
122,2017-05-07,7,51
123,2017-05-14,11,57
124,2017-05-21,14,50
125,2017-05-28,16,43
126,2017-06-04,10,40
127,2017-06-11,15,42
128,2017-06-18,18,28
129,2017-06-25,16,34
130,2017-07-02,14,28
131,2017-07-09,15,33
132,2017-07-16,31,41
133,2017-07-23,35,34
134,2017-07-30,22,40
135,2017-08-06,23,53
136,2017-08-13,19,71
137,2017-08-20,10,65
138,2017-08-27,16,64
139,2017-09-03,12,61
140,2017-09-10,17,58
141,2017-09-17,15,51
142,2017-09-24,16,49
143,2017-10-01,10,56
144,2017-10-08,18,53
145,2017-10-15,21,46
146,2017-10-22,20,60
147,2017-10-29,28,51
148,2017-11-05,18,50
149,2017-11-12,9,58
150,2017-11-19,11,39
151,2017-11-26,7,52
152,2017-12-03,5,47
153,2017-12-10,9,53
154,2017-12-17,15,47
155,2017-12-24,8,35
156,2017-12-31,15,38
157,2018-01-07,5,46
158,2018-01-14,10,51
159,2018-01-21,3,55
160,2018-01-28,13,65
161,2018-02-04,8,59
162,2018-02-11,6,51
163,2018-02-18,9,52
164,2018-02-25,12,51
165,2018-03-04,8,62
166,2018-03-11,7,58
167,2018-03-18,7,48
168,2018-03-25,9,44
169,2018-04-01,12,46
170,2018-04-08,9,56
171,2018-04-15,12,43
172,2018-04-22,9,55
173,2018-04-29,15,52
174,2018-05-06,18,51
175,2018-05-13,9,54
176,2018-05-20,15,48
177,2018-05-27,9,49
178,2018-06-03,11,36
179,2018-06-10,10,32
180,2018-06-17,12,33
181,2018-06-24,8,29
182,2018-07-01,14,35
183,2018-07-08,11,41
184,2018-07-15,12,35
185,2018-07-22,10,41
186,2018-07-29,6,44
187,2018-08-05,9,52
188,2018-08-12,11,64
189,2018-08-19,9,67
190,2018-08-26,9,67
191,2018-09-02,7,66
192,2018-09-09,10,54
