,date,Metallica,Alphabet
0,2015-01-04,13,33
1,2015-01-11,12,34
2,2015-01-18,12,34
3,2015-01-25,10,48
4,2015-02-01,6,41
5,2015-02-08,7,41
6,2015-02-15,10,39
7,2015-02-22,7,44
8,2015-03-01,9,35
9,2015-03-08,6,41
10,2015-03-15,12,32
11,2015-03-22,14,31
12,2015-03-29,10,31
13,2015-04-05,12,35
14,2015-04-12,13,37
15,2015-04-19,15,38
16,2015-04-26,11,35
17,2015-05-03,9,26
18,2015-05-10,8,36
19,2015-05-17,9,40
20,2015-05-24,11,26
21,2015-05-31,19,30
22,2015-06-07,14,23
23,2015-06-14,14,29
24,2015-06-21,9,24
25,2015-06-28,11,26
26,2015-07-05,7,18
27,2015-07-12,10,27
28,2015-07-19,0,22
29,2015-07-26,9,25
30,2015-08-02,17,35
31,2015-08-09,12,69
32,2015-08-16,10,59
33,2015-08-23,9,56
34,2015-08-30,12,61
35,2015-09-06,9,54
36,2015-09-13,17,50
37,2015-09-20,9,53
38,2015-09-27,14,55
39,2015-10-04,15,62
40,2015-10-11,10,37
41,2015-10-18,14,36
42,2015-10-25,14,41
43,2015-11-01,14,48
44,2015-11-08,9,40
45,2015-11-15,10,44
46,2015-11-22,7,24
47,2015-11-29,7,42
48,2015-12-06,7,47
49,2015-12-13,15,38
50,2015-12-20,10,30
51,2015-12-27,7,36
52,2016-01-03,10,30
53,2016-01-10,11,32
54,2016-01-17,14,34
55,2016-01-24,15,35
56,2016-01-31,16,45
57,2016-02-07,21,37
58,2016-02-14,11,38
59,2016-02-21,14,35
60,2016-02-28,13,31
61,2016-03-06,8,36
62,2016-03-13,16,34
63,2016-03-20,12,28
64,2016-03-27,11,37
65,2016-04-03,14,37
66,2016-04-10,13,32
67,2016-04-17,16,31
68,2016-04-24,11,26
69,2016-05-01,16,33
70,2016-05-08,10,35
71,2016-05-15,14,28
72,2016-05-22,10,26
73,2016-05-29,10,29
74,2016-06-05,15,32
75,2016-06-12,15,17
76,2016-06-19,10,25
77,2016-06-26,10,29
78,2016-07-03,9,25
79,2016-07-10,8,28
80,2016-07-17,16,22
81,2016-07-24,14,30
82,2016-07-31,12,42
83,2016-08-07,9,34
84,2016-08-14,33,42
85,2016-08-21,22,47
86,2016-08-28,16,47
87,2016-09-04,16,34
88,2016-09-11,15,45
89,2016-09-18,12,44
90,2016-09-25,22,36
91,2016-10-02,17,39
92,2016-10-09,14,35
93,2016-10-16,19,29
94,2016-10-23,11,35
95,2016-10-30,17,29
96,2016-11-06,14,31
97,2016-11-13,46,40
98,2016-11-20,33,32
99,2016-11-27,19,35
100,2016-12-04,19,38
101,2016-12-11,17,32
102,2016-12-18,25,30
103,2016-12-25,19,22
104,2017-01-01,10,31
105,2017-01-08,19,39
106,2017-01-15,13,34
107,2017-01-22,18,39
108,2017-01-29,18,35
109,2017-02-05,15,30
110,2017-02-12,100,32
111,2017-02-19,28,39
112,2017-02-26,29,36
113,2017-03-05,21,34
114,2017-03-12,15,34
115,2017-03-19,18,39
116,2017-03-26,20,33
117,2017-04-02,17,29
118,2017-04-09,17,29
119,2017-04-16,15,28
120,2017-04-23,13,32
121,2017-04-30,16,31
122,2017-05-07,19,35
123,2017-05-14,22,39
124,2017-05-21,26,34
125,2017-05-28,23,29
126,2017-06-04,32,27
127,2017-06-11,32,28
128,2017-06-18,38,19
129,2017-06-25,13,23
130,2017-07-02,14,19
131,2017-07-09,18,23
132,2017-07-16,11,28
133,2017-07-23,13,23
134,2017-07-30,13,28
135,2017-08-06,13,36
136,2017-08-13,15,49
137,2017-08-20,11,45
138,2017-08-27,9,44
139,2017-09-03,12,42
140,2017-09-10,12,40
141,2017-09-17,12,35
142,2017-09-24,11,34
143,2017-10-01,12,38
144,2017-10-08,12,36
145,2017-10-15,11,32
146,2017-10-22,12,41
147,2017-10-29,12,35
148,2017-11-05,13,34
149,2017-11-12,10,40
150,2017-11-19,8,27
151,2017-11-26,15,36
152,2017-12-03,14,32
153,2017-12-10,13,36
154,2017-12-17,14,32
155,2017-12-24,10,24
156,2017-12-31,10,26
157,2018-01-07,13,32
158,2018-01-14,6,35
159,2018-01-21,14,38
160,2018-01-28,13,45
161,2018-02-04,11,41
162,2018-02-11,11,35
163,2018-02-18,14,36
164,2018-02-25,87,35
165,2018-03-04,29,42
166,2018-03-11,19,40
167,2018-03-18,19,33
168,2018-03-25,12,30
169,2018-04-01,14,32
170,2018-04-08,16,38
171,2018-04-15,14,29
172,2018-04-22,12,38
173,2018-04-29,10,36
174,2018-05-06,15,35
175,2018-05-13,14,37
176,2018-05-20,17,33
177,2018-05-27,13,34
178,2018-06-03,11,25
179,2018-06-10,10,22
180,2018-06-17,13,23
181,2018-06-24,8,20
182,2018-07-01,13,24
183,2018-07-08,8,28
184,2018-07-15,16,24
185,2018-07-22,11,28
186,2018-07-29,12,30
187,2018-08-05,12,36
188,2018-08-12,10,44
189,2018-08-19,13,46
190,2018-08-26,15,46
191,2018-09-02,18,45
192,2018-09-09,14,37
193,2018-09-16,13,41
194,2018-09-23,15,35
195,2018-09-30,14,35
196,2018-10-07,15,41
197,2018-10-14,17,38
198,2018-10-21,10,37
199,2018-10-28,13,32
200,2018-11-04,14,35
201,2018-11-11,13,36
202,2018-11-18,14,28
203,2018-11-25,17,39
204,2018-12-02,15,37
205,2018-12-09,16,31
206,2018-12-16,12,33
207,2018-12-23,23,27
208,2018-12-30,15,29
209,2019-01-06,14,38
210,2019-01-13,11,37
211,2019-01-20,20,30
212,2019-01-27,20,36
213,2019-02-03,19,40
214,2019-02-10,16,33
215,2019-02-17,22,28
216,2019-02-24,19,41
217,2019-03-03,44,32
218,2019-03-10,74,37
219,2019-03-17,20,34
220,2019-03-24,20,27
221,2019-03-31,17,34
222,2019-04-07,14,32
223,2019-04-14,8,35
224,2019-04-21,15,32
225,2019-04-28,14,34
226,2019-05-05,14,37
227,2019-05-12,13,31
228,2019-05-19,7,31
229,2019-05-26,10,20
230,2019-06-02,10,30
231,2019-06-09,12,24
232,2019-06-16,15,23
233,2019-06-23,9,29
234,2019-06-30,11,24
235,2019-07-07,9,24
236,2019-07-14,9,24
237,2019-07-21,10,24
238,2019-07-28,11,29
239,2019-08-04,13,31
240,2019-08-11,17,37
241,2019-08-18,10,52
242,2019-08-25,12,45
243,2019-09-01,15,46
244,2019-09-08,13,34
245,2019-09-15,14,40
246,2019-09-22,16,47
247,2019-09-29,14,45
248,2019-10-06,17,38
249,2019-10-13,15,40
250,2019-10-20,12,41
251,2019-10-27,14,42
252,2019-11-03,9,40
253,2019-11-10,13,40
254,2019-11-17,11,42
255,2019-11-24,12,30
256,2019-12-01,14,31
257,2019-12-08,14,36
258,2019-12-15,9,38
259,2019-12-22,14,19
260,2019-12-29,10,32
