,date,Pink,Alphabet
0,2015-01-04,10,48
1,2015-01-11,15,49
2,2015-01-18,9,50
3,2015-01-25,13,70
4,2015-02-01,13,59
5,2015-02-08,8,60
6,2015-02-15,8,57
7,2015-02-22,10,65
8,2015-03-01,8,52
9,2015-03-08,8,59
10,2015-03-15,8,47
11,2015-03-22,15,45
12,2015-03-29,8,45
13,2015-04-05,9,51
14,2015-04-12,14,53
15,2015-04-19,9,55
16,2015-04-26,12,51
17,2015-05-03,13,38
18,2015-05-10,12,53
19,2015-05-17,9,59
20,2015-05-24,15,38
21,2015-05-31,11,43
22,2015-06-07,12,33
23,2015-06-14,8,42
24,2015-06-21,9,36
25,2015-06-28,5,39
26,2015-07-05,3,26
27,2015-07-12,4,39
28,2015-07-19,6,32
29,2015-07-26,10,36
30,2015-08-02,5,50
31,2015-08-09,15,100
32,2015-08-16,10,86
33,2015-08-23,3,81
34,2015-08-30,6,89
35,2015-09-06,22,79
36,2015-09-13,11,72
37,2015-09-20,11,77
38,2015-09-27,11,80
39,2015-10-04,8,90
40,2015-10-11,7,54
41,2015-10-18,9,52
42,2015-10-25,6,60
43,2015-11-01,9,70
44,2015-11-08,7,58
45,2015-11-15,4,64
46,2015-11-22,16,34
47,2015-11-29,12,61
48,2015-12-06,5,69
49,2015-12-13,6,55
50,2015-12-20,8,44
51,2015-12-27,11,52
52,2016-01-03,6,44
53,2016-01-10,7,46
54,2016-01-17,8,50
55,2016-01-24,9,50
56,2016-01-31,8,65
57,2016-02-07,8,53
58,2016-02-14,11,55
59,2016-02-21,11,50
60,2016-02-28,8,46
61,2016-03-06,15,52
62,2016-03-13,14,49
63,2016-03-20,10,41
64,2016-03-27,7,53
65,2016-04-03,12,54
66,2016-04-10,8,47
67,2016-04-17,13,45
68,2016-04-24,15,37
69,2016-05-01,23,48
70,2016-05-08,18,50
71,2016-05-15,30,41
72,2016-05-22,36,38
73,2016-05-29,16,43
74,2016-06-05,24,46
75,2016-06-12,22,25
76,2016-06-19,19,37
77,2016-06-26,17,42
78,2016-07-03,16,36
79,2016-07-10,18,40
80,2016-07-17,27,31
81,2016-07-24,21,44
82,2016-07-31,11,61
83,2016-08-07,17,50
84,2016-08-14,12,61
85,2016-08-21,16,68
86,2016-08-28,14,68
87,2016-09-04,13,50
88,2016-09-11,9,65
89,2016-09-18,12,64
90,2016-09-25,16,53
91,2016-10-02,13,58
92,2016-10-09,16,52
93,2016-10-16,21,43
94,2016-10-23,12,51
95,2016-10-30,12,42
96,2016-11-06,8,45
97,2016-11-13,20,58
98,2016-11-20,16,47
99,2016-11-27,10,51
100,2016-12-04,10,56
101,2016-12-11,13,46
102,2016-12-18,8,43
103,2016-12-25,20,32
104,2017-01-01,16,45
105,2017-01-08,10,57
106,2017-01-15,10,50
107,2017-01-22,10,57
108,2017-01-29,14,51
109,2017-02-05,11,44
110,2017-02-12,9,47
111,2017-02-19,15,57
112,2017-02-26,8,52
113,2017-03-05,8,49
114,2017-03-12,9,50
115,2017-03-19,12,57
116,2017-03-26,9,48
117,2017-04-02,11,43
118,2017-04-09,6,43
119,2017-04-16,11,40
120,2017-04-23,8,46
121,2017-04-30,10,46
122,2017-05-07,10,51
123,2017-05-14,11,57
124,2017-05-21,9,50
125,2017-05-28,7,43
126,2017-06-04,14,40
127,2017-06-11,11,42
128,2017-06-18,11,28
129,2017-06-25,6,34
130,2017-07-02,10,28
131,2017-07-09,13,33
132,2017-07-16,10,41
133,2017-07-23,6,34
134,2017-07-30,12,40
135,2017-08-06,19,53
136,2017-08-13,27,71
137,2017-08-20,18,65
138,2017-08-27,63,64
139,2017-09-03,28,61
140,2017-09-10,13,58
141,2017-09-17,19,51
142,2017-09-24,16,49
143,2017-10-01,42,56
144,2017-10-08,77,53
145,2017-10-15,57,46
146,2017-10-22,33,60
147,2017-10-29,25,51
148,2017-11-05,40,50
149,2017-11-12,36,58
150,2017-11-19,62,39
151,2017-11-26,25,52
152,2017-12-03,26,47
153,2017-12-10,27,53
154,2017-12-17,22,47
155,2017-12-24,26,35
156,2017-12-31,27,38
157,2018-01-07,32,46
158,2018-01-14,22,51
159,2018-01-21,22,55
160,2018-01-28,59,65
161,2018-02-04,93,59
162,2018-02-11,22,51
163,2018-02-18,35,52
164,2018-02-25,54,51
165,2018-03-04,57,62
166,2018-03-11,73,58
167,2018-03-18,67,48
168,2018-03-25,49,44
169,2018-04-01,21,46
170,2018-04-08,19,56
171,2018-04-15,21,43
172,2018-04-22,34,55
173,2018-04-29,42,52
174,2018-05-06,35,51
175,2018-05-13,26,54
176,2018-05-20,22,48
177,2018-05-27,20,49
178,2018-06-03,19,36
179,2018-06-10,20,32
180,2018-06-17,23,33
181,2018-06-24,17,29
182,2018-07-01,21,35
183,2018-07-08,25,41
184,2018-07-15,20,35
185,2018-07-22,25,41
186,2018-07-29,21,44
187,2018-08-05,26,52
188,2018-08-12,16,64
189,2018-08-19,15,67
190,2018-08-26,17,67
191,2018-09-02,9,66
192,2018-09-09,14,54
193,2018-09-16,13,60
194,2018-09-23,12,51
195,2018-09-30,13,51
196,2018-10-07,17,59
197,2018-10-14,10,55
198,2018-10-21,19,54
199,2018-10-28,15,46
200,2018-11-04,18,51
201,2018-11-11,15,52
202,2018-11-18,19,40
203,2018-11-25,15,57
204,2018-12-02,13,54
205,2018-12-09,14,45
206,2018-12-16,16,48
207,2018-12-23,15,40
208,2018-12-30,8,42
209,2019-01-06,17,55
210,2019-01-13,24,54
211,2019-01-20,25,44
212,2019-01-27,20,52
213,2019-02-03,35,58
214,2019-02-10,24,49
215,2019-02-17,20,41
216,2019-02-24,17,60
217,2019-03-03,37,46
218,2019-03-10,33,54
219,2019-03-17,36,49
220,2019-03-24,33,40
221,2019-03-31,39,50
222,2019-04-07,22,47
223,2019-04-14,28,52
224,2019-04-21,39,46
225,2019-04-28,90,50
226,2019-05-05,31,54
227,2019-05-12,21,45
228,2019-05-19,28,45
229,2019-05-26,41,29
230,2019-06-02,44,43
231,2019-06-09,37,34
232,2019-06-16,55,33
233,2019-06-23,32,42
234,2019-06-30,18,36
235,2019-07-07,19,35
236,2019-07-14,29,35
237,2019-07-21,25,35
238,2019-07-28,28,42
239,2019-08-04,38,45
240,2019-08-11,34,55
241,2019-08-18,22,76
242,2019-08-25,18,65
243,2019-09-01,29,67
244,2019-09-08,27,50
245,2019-09-15,23,58
246,2019-09-22,16,69
247,2019-09-29,33,65
248,2019-10-06,31,55
249,2019-10-13,15,59
250,2019-10-20,11,60
251,2019-10-27,14,62
252,2019-11-03,23,58
253,2019-11-10,50,58
254,2019-11-17,21,62
255,2019-11-24,24,43
256,2019-12-01,31,45
257,2019-12-08,29,53
258,2019-12-15,12,56
259,2019-12-22,11,28
260,2019-12-29,22,47
