,date,The Rolling Stones,Alphabet
0,2015-01-04,7,19
1,2015-01-11,6,20
2,2015-01-18,2,20
3,2015-01-25,9,28
4,2015-02-01,5,24
5,2015-02-08,3,24
6,2015-02-15,8,23
7,2015-02-22,4,26
8,2015-03-01,5,21
9,2015-03-08,14,24
10,2015-03-15,21,19
11,2015-03-22,11,18
12,2015-03-29,43,18
13,2015-04-05,28,21
14,2015-04-12,30,21
15,2015-04-19,8,22
16,2015-04-26,14,21
17,2015-05-03,8,15
18,2015-05-10,6,21
19,2015-05-17,9,24
20,2015-05-24,22,15
21,2015-05-31,16,17
22,2015-06-07,23,13
23,2015-06-14,20,17
24,2015-06-21,25,14
25,2015-06-28,100,15
26,2015-07-05,74,10
27,2015-07-12,11,16
28,2015-07-19,8,13
29,2015-07-26,8,14
30,2015-08-02,5,20
31,2015-08-09,4,40
32,2015-08-16,4,34
33,2015-08-23,6,33
34,2015-08-30,5,36
35,2015-09-06,5,32
36,2015-09-13,5,29
37,2015-09-20,4,31
38,2015-09-27,4,32
39,2015-10-04,5,36
40,2015-10-11,6,21
41,2015-10-18,2,21
42,2015-10-25,4,24
43,2015-11-01,5,28
44,2015-11-08,5,23
45,2015-11-15,6,26
46,2015-11-22,6,14
47,2015-11-29,5,25
48,2015-12-06,4,28
49,2015-12-13,7,22
50,2015-12-20,5,18
51,2015-12-27,5,21
52,2016-01-03,7,18
53,2016-01-10,4,19
54,2016-01-17,3,20
55,2016-01-24,5,20
56,2016-01-31,6,26
57,2016-02-07,5,21
58,2016-02-14,6,22
59,2016-02-21,5,20
60,2016-02-28,5,18
61,2016-03-06,6,21
62,2016-03-13,7,20
63,2016-03-20,6,17
64,2016-03-27,5,21
65,2016-04-03,6,21
66,2016-04-10,6,19
67,2016-04-17,6,18
68,2016-04-24,7,15
69,2016-05-01,6,19
70,2016-05-08,5,20
71,2016-05-15,5,17
72,2016-05-22,5,15
73,2016-05-29,4,17
74,2016-06-05,3,18
75,2016-06-12,5,10
76,2016-06-19,5,15
77,2016-06-26,3,17
78,2016-07-03,6,15
79,2016-07-10,6,16
80,2016-07-17,7,13
81,2016-07-24,6,18
82,2016-07-31,3,24
83,2016-08-07,4,20
84,2016-08-14,5,24
85,2016-08-21,3,27
86,2016-08-28,5,27
87,2016-09-04,5,20
88,2016-09-11,3,26
89,2016-09-18,6,26
90,2016-09-25,3,21
91,2016-10-02,6,23
92,2016-10-09,7,21
93,2016-10-16,8,17
94,2016-10-23,5,20
95,2016-10-30,3,17
96,2016-11-06,6,18
97,2016-11-13,5,23
98,2016-11-20,6,19
99,2016-11-27,7,21
100,2016-12-04,10,22
101,2016-12-11,6,18
102,2016-12-18,4,17
103,2016-12-25,6,13
104,2017-01-01,4,18
105,2017-01-08,4,23
106,2017-01-15,5,20
107,2017-01-22,6,23
108,2017-01-29,4,21
109,2017-02-05,4,17
110,2017-02-12,4,19
111,2017-02-19,5,23
112,2017-02-26,4,21
113,2017-03-05,4,20
114,2017-03-12,7,20
115,2017-03-19,4,23
116,2017-03-26,3,19
117,2017-04-02,6,17
118,2017-04-09,5,17
119,2017-04-16,8,16
120,2017-04-23,5,19
121,2017-04-30,5,18
122,2017-05-07,6,20
123,2017-05-14,6,23
124,2017-05-21,6,20
125,2017-05-28,4,17
126,2017-06-04,5,16
127,2017-06-11,5,17
128,2017-06-18,5,11
129,2017-06-25,4,14
130,2017-07-02,4,11
131,2017-07-09,6,13
132,2017-07-16,6,17
133,2017-07-23,6,14
134,2017-07-30,3,16
135,2017-08-06,5,21
136,2017-08-13,4,28
137,2017-08-20,6,26
138,2017-08-27,6,26
139,2017-09-03,5,24
140,2017-09-10,4,23
141,2017-09-17,3,21
142,2017-09-24,4,20
143,2017-10-01,5,23
144,2017-10-08,1,21
145,2017-10-15,5,18
146,2017-10-22,7,24
147,2017-10-29,5,21
148,2017-11-05,4,20
149,2017-11-12,4,23
150,2017-11-19,2,16
151,2017-11-26,2,21
152,2017-12-03,5,19
153,2017-12-10,5,21
154,2017-12-17,5,19
155,2017-12-24,5,14
156,2017-12-31,7,15
157,2018-01-07,2,19
158,2018-01-14,3,21
159,2018-01-21,4,22
160,2018-01-28,4,26
161,2018-02-04,5,24
162,2018-02-11,4,20
163,2018-02-18,6,21
164,2018-02-25,7,21
165,2018-03-04,6,25
166,2018-03-11,6,23
167,2018-03-18,7,19
168,2018-03-25,5,17
169,2018-04-01,5,19
170,2018-04-08,6,22
171,2018-04-15,8,17
172,2018-04-22,5,22
173,2018-04-29,5,21
174,2018-05-06,5,20
175,2018-05-13,6,22
176,2018-05-20,5,19
177,2018-05-27,4,20
178,2018-06-03,6,14
179,2018-06-10,5,13
180,2018-06-17,4,13
181,2018-06-24,6,11
182,2018-07-01,7,14
183,2018-07-08,5,16
184,2018-07-15,4,14
185,2018-07-22,7,16
186,2018-07-29,7,18
187,2018-08-05,5,21
188,2018-08-12,5,26
189,2018-08-19,4,27
190,2018-08-26,4,27
191,2018-09-02,6,26
192,2018-09-09,6,22
193,2018-09-16,5,24
194,2018-09-23,4,20
195,2018-09-30,4,21
196,2018-10-07,4,24
197,2018-10-14,5,22
198,2018-10-21,4,22
199,2018-10-28,1,19
200,2018-11-04,5,20
201,2018-11-11,4,21
202,2018-11-18,12,16
203,2018-11-25,13,23
204,2018-12-02,6,22
205,2018-12-09,8,18
206,2018-12-16,7,19
207,2018-12-23,6,16
208,2018-12-30,5,17
209,2019-01-06,5,22
210,2019-01-13,6,22
211,2019-01-20,5,18
212,2019-01-27,6,21
213,2019-02-03,5,23
214,2019-02-10,5,20
215,2019-02-17,5,16
216,2019-02-24,6,24
217,2019-03-03,6,19
218,2019-03-10,7,22
219,2019-03-17,6,20
