,date,U2,Alphabet
0,2015-01-04,14,29
1,2015-01-11,5,30
2,2015-01-18,15,30
3,2015-01-25,9,42
4,2015-02-01,9,35
5,2015-02-08,5,36
6,2015-02-15,10,34
7,2015-02-22,7,39
8,2015-03-01,7,31
9,2015-03-08,6,36
10,2015-03-15,11,28
11,2015-03-22,7,27
12,2015-03-29,8,27
13,2015-04-05,6,31
14,2015-04-12,4,32
15,2015-04-19,5,33
16,2015-04-26,8,31
17,2015-05-03,10,23
18,2015-05-10,11,32
19,2015-05-17,11,35
20,2015-05-24,12,23
21,2015-05-31,5,26
22,2015-06-07,14,20
23,2015-06-14,9,25
24,2015-06-21,17,21
25,2015-06-28,26,23
26,2015-07-05,6,16
27,2015-07-12,9,24
28,2015-07-19,7,19
29,2015-07-26,10,22
30,2015-08-02,2,30
31,2015-08-09,16,60
32,2015-08-16,3,51
33,2015-08-23,5,49
34,2015-08-30,8,53
35,2015-09-06,11,47
36,2015-09-13,4,43
37,2015-09-20,6,46
38,2015-09-27,7,48
39,2015-10-04,5,54
40,2015-10-11,3,32
41,2015-10-18,5,31
42,2015-10-25,4,36
43,2015-11-01,7,42
44,2015-11-08,0,35
45,2015-11-15,5,38
46,2015-11-22,11,21
47,2015-11-29,8,37
48,2015-12-06,8,42
49,2015-12-13,6,33
50,2015-12-20,7,27
51,2015-12-27,6,31
52,2016-01-03,9,26
53,2016-01-10,4,28
54,2016-01-17,5,30
55,2016-01-24,4,30
56,2016-01-31,4,39
57,2016-02-07,10,32
58,2016-02-14,7,33
59,2016-02-21,4,30
60,2016-02-28,5,27
61,2016-03-06,6,31
62,2016-03-13,4,30
63,2016-03-20,6,25
64,2016-03-27,5,32
65,2016-04-03,5,32
66,2016-04-10,5,28
67,2016-04-17,4,27
68,2016-04-24,3,22
69,2016-05-01,5,29
70,2016-05-08,3,30
71,2016-05-15,5,25
72,2016-05-22,4,23
73,2016-05-29,5,26
74,2016-06-05,6,28
75,2016-06-12,6,15
76,2016-06-19,0,22
77,2016-06-26,3,25
78,2016-07-03,6,22
79,2016-07-10,6,24
80,2016-07-17,6,19
81,2016-07-24,5,26
82,2016-07-31,7,36
83,2016-08-07,3,30
84,2016-08-14,7,36
85,2016-08-21,3,41
86,2016-08-28,8,41
87,2016-09-04,3,30
88,2016-09-11,0,39
89,2016-09-18,5,39
90,2016-09-25,3,32
91,2016-10-02,3,35
92,2016-10-09,5,31
93,2016-10-16,3,26
94,2016-10-23,2,31
95,2016-10-30,3,25
96,2016-11-06,3,27
97,2016-11-13,7,35
98,2016-11-20,4,28
99,2016-11-27,4,31
100,2016-12-04,6,33
101,2016-12-11,6,28
102,2016-12-18,2,26
103,2016-12-25,1,19
104,2017-01-01,5,27
105,2017-01-08,35,34
106,2017-01-15,19,30
107,2017-01-22,7,34
108,2017-01-29,15,31
109,2017-02-05,7,26
110,2017-02-12,7,28
111,2017-02-19,6,34
112,2017-02-26,5,31
113,2017-03-05,8,29
114,2017-03-12,9,30
115,2017-03-19,6,34
116,2017-03-26,8,29
117,2017-04-02,6,25
118,2017-04-09,8,26
119,2017-04-16,11,24
120,2017-04-23,8,28
121,2017-04-30,9,27
122,2017-05-07,12,31
123,2017-05-14,12,34
124,2017-05-21,10,30
125,2017-05-28,22,26
126,2017-06-04,68,24
127,2017-06-11,62,25
128,2017-06-18,18,17
129,2017-06-25,13,20
130,2017-07-02,10,17
131,2017-07-09,12,20
132,2017-07-16,9,25
133,2017-07-23,11,20
134,2017-07-30,9,24
135,2017-08-06,9,32
136,2017-08-13,10,42
137,2017-08-20,9,39
138,2017-08-27,17,38
139,2017-09-03,48,36
140,2017-09-10,100,35
141,2017-09-17,13,31
142,2017-09-24,9,30
143,2017-10-01,8,34
144,2017-10-08,4,32
145,2017-10-15,5,28
146,2017-10-22,4,36
147,2017-10-29,9,31
148,2017-11-05,8,30
149,2017-11-12,7,35
150,2017-11-19,8,24
151,2017-11-26,7,31
152,2017-12-03,13,28
153,2017-12-10,9,32
154,2017-12-17,7,28
155,2017-12-24,6,21
156,2017-12-31,8,23
157,2018-01-07,5,28
158,2018-01-14,5,31
159,2018-01-21,6,33
160,2018-01-28,12,39
161,2018-02-04,5,36
162,2018-02-11,5,30
163,2018-02-18,3,31
164,2018-02-25,4,31
165,2018-03-04,4,37
166,2018-03-11,7,35
167,2018-03-18,5,29
