,date,Bruno Mars,Alphabet
0,2015-01-04,24,24
1,2015-01-11,39,27
2,2015-01-18,26,27
3,2015-01-25,29,30
4,2015-02-01,29,22
5,2015-02-08,17,30
6,2015-02-15,20,28
7,2015-02-22,24,23
8,2015-03-01,18,25
9,2015-03-08,15,27
10,2015-03-15,17,16
11,2015-03-22,22,17
12,2015-03-29,7,27
13,2015-04-05,9,20
14,2015-04-12,13,24
15,2015-04-19,9,20
16,2015-04-26,15,19
17,2015-05-03,13,23
18,2015-05-10,10,23
19,2015-05-17,11,23
20,2015-05-24,10,21
21,2015-05-31,10,18
22,2015-06-07,21,22
23,2015-06-14,8,17
24,2015-06-21,9,16
25,2015-06-28,3,14
26,2015-07-05,8,5
27,2015-07-12,7,29
28,2015-07-19,18,13
29,2015-07-26,9,16
30,2015-08-02,3,11
31,2015-08-09,0,47
32,2015-08-16,2,40
33,2015-08-23,5,57
34,2015-08-30,10,39
35,2015-09-06,6,29
36,2015-09-13,8,30
37,2015-09-20,10,29
38,2015-09-27,9,38
39,2015-10-04,3,32
40,2015-10-11,12,36
41,2015-10-18,9,25
42,2015-10-25,8,30
43,2015-11-01,5,33
44,2015-11-08,7,22
45,2015-11-15,11,24
46,2015-11-22,16,9
47,2015-11-29,15,16
48,2015-12-06,14,26
49,2015-12-13,17,21
50,2015-12-20,10,15
51,2015-12-27,17,12
52,2016-01-03,6,20
53,2016-01-10,5,27
54,2016-01-17,8,16
55,2016-01-24,8,26
56,2016-01-31,8,28
57,2016-02-07,74,28
58,2016-02-14,13,32
59,2016-02-21,13,24
60,2016-02-28,6,21
61,2016-03-06,10,19
62,2016-03-13,10,15
63,2016-03-20,7,17
64,2016-03-27,9,28
65,2016-04-03,9,20
66,2016-04-10,9,27
67,2016-04-17,8,23
68,2016-04-24,4,32
69,2016-05-01,6,22
70,2016-05-08,8,21
71,2016-05-15,0,22
72,2016-05-22,7,14
73,2016-05-29,8,18
74,2016-06-05,7,20
75,2016-06-12,8,20
76,2016-06-19,6,19
77,2016-06-26,9,17
78,2016-07-03,5,20
79,2016-07-10,6,14
80,2016-07-17,6,17
81,2016-07-24,5,19
82,2016-07-31,3,21
83,2016-08-07,8,19
84,2016-08-14,4,23
85,2016-08-21,7,29
86,2016-08-28,4,27
87,2016-09-04,8,26
88,2016-09-11,7,30
89,2016-09-18,6,24
90,2016-09-25,5,26
91,2016-10-02,20,23
92,2016-10-09,14,20
93,2016-10-16,19,23
94,2016-10-23,13,20
95,2016-10-30,9,30
96,2016-11-06,6,25
97,2016-11-13,37,28
98,2016-11-20,58,19
99,2016-11-27,22,27
100,2016-12-04,19,17
101,2016-12-11,53,29
102,2016-12-18,26,18
103,2016-12-25,16,17
104,2017-01-01,24,25
105,2017-01-08,23,28
106,2017-01-15,15,26
107,2017-01-22,18,18
