,date,Guns N' Roses,Alphabet
0,2015-01-04,6,25
1,2015-01-11,7,28
2,2015-01-18,3,27
3,2015-01-25,7,31
4,2015-02-01,0,23
5,2015-02-08,0,31
6,2015-02-15,11,29
7,2015-02-22,7,23
8,2015-03-01,0,26
9,2015-03-08,7,27
10,2015-03-15,5,16
11,2015-03-22,0,17
12,2015-03-29,4,28
13,2015-04-05,5,21
14,2015-04-12,0,25
15,2015-04-19,2,21
16,2015-04-26,0,20
17,2015-05-03,5,23
18,2015-05-10,2,24
19,2015-05-17,5,24
20,2015-05-24,0,22
21,2015-05-31,4,18
22,2015-06-07,0,22
23,2015-06-14,4,18
24,2015-06-21,0,16
25,2015-06-28,4,15
26,2015-07-05,7,5
27,2015-07-12,2,30
28,2015-07-19,3,14
29,2015-07-26,5,16
30,2015-08-02,0,12
31,2015-08-09,3,48
32,2015-08-16,4,41
33,2015-08-23,2,58
34,2015-08-30,0,40
35,2015-09-06,4,29
36,2015-09-13,3,30
37,2015-09-20,0,30
38,2015-09-27,9,39
39,2015-10-04,3,33
40,2015-10-11,5,37
41,2015-10-18,8,25
42,2015-10-25,6,31
43,2015-11-01,3,34
44,2015-11-08,0,22
45,2015-11-15,0,25
46,2015-11-22,6,10
47,2015-11-29,11,17
48,2015-12-06,7,27
49,2015-12-13,8,21
50,2015-12-20,8,16
51,2015-12-27,13,12
52,2016-01-03,16,21
53,2016-01-10,8,28
54,2016-01-17,13,16
55,2016-01-24,10,26
56,2016-01-31,9,29
57,2016-02-07,12,29
58,2016-02-14,7,33
59,2016-02-21,7,24
60,2016-02-28,6,22
61,2016-03-06,8,20
62,2016-03-13,6,15
63,2016-03-20,14,18
64,2016-03-27,32,29
65,2016-04-03,73,20
66,2016-04-10,37,28
67,2016-04-17,24,24
68,2016-04-24,11,32
69,2016-05-01,8,23
70,2016-05-08,8,21
71,2016-05-15,9,22
72,2016-05-22,9,15
73,2016-05-29,19,19
74,2016-06-05,17,20
75,2016-06-12,19,21
76,2016-06-19,26,19
77,2016-06-26,100,18
78,2016-07-03,17,21
79,2016-07-10,16,14
80,2016-07-17,12,18
81,2016-07-24,10,19
82,2016-07-31,7,22
83,2016-08-07,13,19
84,2016-08-14,5,24
85,2016-08-21,4,30
86,2016-08-28,0,28
87,2016-09-04,10,26
88,2016-09-11,6,31
89,2016-09-18,2,25
90,2016-09-25,4,27
91,2016-10-02,3,23
92,2016-10-09,3,21
93,2016-10-16,3,24
94,2016-10-23,8,20
95,2016-10-30,4,31
96,2016-11-06,7,26
97,2016-11-13,4,29
98,2016-11-20,0,19
99,2016-11-27,6,28
100,2016-12-04,12,17
101,2016-12-11,9,30
102,2016-12-18,7,19
103,2016-12-25,5,18
104,2017-01-01,5,26
105,2017-01-08,3,29
106,2017-01-15,5,26
107,2017-01-22,2,19
108,2017-01-29,9,23
109,2017-02-05,7,22
110,2017-02-12,6,20
111,2017-02-19,2,22
112,2017-02-26,4,21
113,2017-03-05,3,20
114,2017-03-12,8,28
115,2017-03-19,0,13
116,2017-03-26,7,27
117,2017-04-02,5,23
118,2017-04-09,4,26
119,2017-04-16,3,23
120,2017-04-23,3,23
121,2017-04-30,4,24
122,2017-05-07,4,24
123,2017-05-14,6,22
124,2017-05-21,8,16
125,2017-05-28,8,14
126,2017-06-04,4,13
127,2017-06-11,5,19
128,2017-06-18,8,15
129,2017-06-25,2,17
130,2017-07-02,9,17
131,2017-07-09,9,21
132,2017-07-16,9,20
133,2017-07-23,10,18
134,2017-07-30,8,19
135,2017-08-06,5,25
136,2017-08-13,9,21
137,2017-08-20,5,23
138,2017-08-27,6,26
139,2017-09-03,6,26
140,2017-09-10,5,23
141,2017-09-17,5,24
142,2017-09-24,3,23
143,2017-10-01,5,28
144,2017-10-08,5,26
145,2017-10-15,7,27
146,2017-10-22,2,22
147,2017-10-29,6,25
148,2017-11-05,5,27
149,2017-11-12,5,25
150,2017-11-19,2,21
151,2017-11-26,3,31
152,2017-12-03,2,24
153,2017-12-10,0,23
154,2017-12-17,3,23
155,2017-12-24,0,19
156,2017-12-31,2,21
157,2018-01-07,10,27
158,2018-01-14,5,26
159,2018-01-21,4,35
160,2018-01-28,3,30
161,2018-02-04,5,33
162,2018-02-11,4,29
163,2018-02-18,2,25
164,2018-02-25,2,34
165,2018-03-04,2,36
166,2018-03-11,5,21
167,2018-03-18,5,28
168,2018-03-25,5,25
169,2018-04-01,3,33
170,2018-04-08,6,27
171,2018-04-15,7,27
172,2018-04-22,6,36
173,2018-04-29,9,27
174,2018-05-06,7,26
175,2018-05-13,7,22
176,2018-05-20,4,27
177,2018-05-27,0,21
178,2018-06-03,4,21
179,2018-06-10,3,24
180,2018-06-17,8,19
181,2018-06-24,3,24
182,2018-07-01,5,18
