,date,Metallica,Alphabet
0,2015-01-04,14,22
1,2015-01-11,10,25
2,2015-01-18,5,24
3,2015-01-25,3,27
4,2015-02-01,7,20
5,2015-02-08,8,28
6,2015-02-15,6,25
7,2015-02-22,2,21
8,2015-03-01,7,23
9,2015-03-08,13,24
10,2015-03-15,12,14
11,2015-03-22,8,15
12,2015-03-29,6,24
13,2015-04-05,5,18
14,2015-04-12,3,22
15,2015-04-19,9,18
16,2015-04-26,2,18
17,2015-05-03,7,21
18,2015-05-10,5,21
19,2015-05-17,8,21
20,2015-05-24,9,19
21,2015-05-31,13,16
22,2015-06-07,13,20
23,2015-06-14,5,15
24,2015-06-21,7,14
25,2015-06-28,5,13
26,2015-07-05,3,5
27,2015-07-12,10,26
28,2015-07-19,8,12
29,2015-07-26,5,14
30,2015-08-02,5,10
31,2015-08-09,6,42
32,2015-08-16,8,36
33,2015-08-23,10,51
34,2015-08-30,8,35
35,2015-09-06,4,26
36,2015-09-13,9,27
37,2015-09-20,6,27
38,2015-09-27,7,34
39,2015-10-04,6,29
40,2015-10-11,2,32
41,2015-10-18,8,22
42,2015-10-25,0,27
43,2015-11-01,7,30
44,2015-11-08,6,20
45,2015-11-15,3,22
46,2015-11-22,5,8
47,2015-11-29,5,15
48,2015-12-06,5,24
49,2015-12-13,7,19
50,2015-12-20,8,14
51,2015-12-27,10,11
52,2016-01-03,7,18
53,2016-01-10,2,25
54,2016-01-17,6,14
55,2016-01-24,11,23
56,2016-01-31,12,25
57,2016-02-07,13,26
58,2016-02-14,7,29
59,2016-02-21,9,21
60,2016-02-28,7,19
61,2016-03-06,8,17
62,2016-03-13,10,14
63,2016-03-20,9,15
64,2016-03-27,7,26
65,2016-04-03,7,18
66,2016-04-10,11,25
67,2016-04-17,8,21
68,2016-04-24,8,29
69,2016-05-01,2,20
70,2016-05-08,8,19
71,2016-05-15,4,19
72,2016-05-22,7,13
73,2016-05-29,5,16
74,2016-06-05,5,18
75,2016-06-12,8,18
76,2016-06-19,10,17
77,2016-06-26,8,15
78,2016-07-03,6,18
79,2016-07-10,5,12
80,2016-07-17,5,16
81,2016-07-24,8,17
82,2016-07-31,4,19
83,2016-08-07,7,17
84,2016-08-14,23,21
85,2016-08-21,13,26
86,2016-08-28,9,24
87,2016-09-04,7,23
88,2016-09-11,10,27
89,2016-09-18,6,22
90,2016-09-25,12,24
91,2016-10-02,8,21
92,2016-10-09,9,18
93,2016-10-16,9,21
94,2016-10-23,7,18
95,2016-10-30,8,27
96,2016-11-06,8,23
97,2016-11-13,27,25
98,2016-11-20,17,17
99,2016-11-27,13,24
100,2016-12-04,10,15
101,2016-12-11,11,26
102,2016-12-18,8,17
103,2016-12-25,10,16
104,2017-01-01,8,23
105,2017-01-08,7,25
106,2017-01-15,8,23
107,2017-01-22,7,17
108,2017-01-29,8,20
109,2017-02-05,8,20
110,2017-02-12,58,17
111,2017-02-19,20,19
112,2017-02-26,14,19
113,2017-03-05,12,18
114,2017-03-12,7,25
115,2017-03-19,7,12
116,2017-03-26,10,24
117,2017-04-02,6,20
118,2017-04-09,11,23
119,2017-04-16,12,20
120,2017-04-23,12,20
121,2017-04-30,8,21
122,2017-05-07,6,21
123,2017-05-14,19,19
124,2017-05-21,11,14
125,2017-05-28,13,12
126,2017-06-04,20,11
127,2017-06-11,14,17
128,2017-06-18,9,13
129,2017-06-25,9,15
130,2017-07-02,7,15
131,2017-07-09,9,19
132,2017-07-16,8,18
133,2017-07-23,6,16
134,2017-07-30,9,17
135,2017-08-06,7,22
136,2017-08-13,12,19
137,2017-08-20,6,20
138,2017-08-27,2,23
139,2017-09-03,7,23
140,2017-09-10,8,21
141,2017-09-17,8,21
142,2017-09-24,7,21
143,2017-10-01,5,25
144,2017-10-08,3,23
145,2017-10-15,7,24
146,2017-10-22,6,19
147,2017-10-29,9,22
148,2017-11-05,8,24
149,2017-11-12,8,22
150,2017-11-19,4,18
151,2017-11-26,13,28
152,2017-12-03,12,21
153,2017-12-10,5,20
154,2017-12-17,4,20
155,2017-12-24,7,17
156,2017-12-31,6,18
157,2018-01-07,6,23
158,2018-01-14,5,23
159,2018-01-21,7,31
160,2018-01-28,6,26
161,2018-02-04,9,29
162,2018-02-11,8,26
163,2018-02-18,12,22
164,2018-02-25,82,30
165,2018-03-04,20,31
166,2018-03-11,24,19
167,2018-03-18,13,25
168,2018-03-25,9,22
169,2018-04-01,6,29
170,2018-04-08,9,23
171,2018-04-15,9,24
172,2018-04-22,7,32
173,2018-04-29,9,24
174,2018-05-06,7,23
175,2018-05-13,8,20
176,2018-05-20,8,24
177,2018-05-27,7,19
178,2018-06-03,8,18
179,2018-06-10,8,21
180,2018-06-17,12,17
181,2018-06-24,7,21
182,2018-07-01,6,16
183,2018-07-08,1,20
184,2018-07-15,8,18
185,2018-07-22,6,14
186,2018-07-29,11,24
187,2018-08-05,9,23
188,2018-08-12,2,24
189,2018-08-19,11,32
190,2018-08-26,6,28
191,2018-09-02,10,22
192,2018-09-09,11,25
193,2018-09-16,7,27
194,2018-09-23,10,21
195,2018-09-30,16,24
196,2018-10-07,7,20
197,2018-10-14,13,22
198,2018-10-21,10,21
