,date,The Rolling Stones,Alphabet
0,2015-01-04,3,31
1,2015-01-11,5,35
2,2015-01-18,9,34
3,2015-01-25,7,38
4,2015-02-01,5,28
5,2015-02-08,6,39
6,2015-02-15,7,36
7,2015-02-22,7,29
8,2015-03-01,8,32
9,2015-03-08,6,34
10,2015-03-15,21,20
11,2015-03-22,18,21
12,2015-03-29,41,34
13,2015-04-05,46,26
14,2015-04-12,27,31
15,2015-04-19,20,26
16,2015-04-26,20,25
17,2015-05-03,17,29
18,2015-05-10,18,30
19,2015-05-17,22,30
20,2015-05-24,25,27
21,2015-05-31,22,23
22,2015-06-07,27,28
23,2015-06-14,20,22
24,2015-06-21,100,20
25,2015-06-28,91,18
26,2015-07-05,21,6
27,2015-07-12,15,37
28,2015-07-19,4,17
29,2015-07-26,12,20
30,2015-08-02,4,14
31,2015-08-09,8,60
32,2015-08-16,7,50
33,2015-08-23,4,72
34,2015-08-30,8,50
35,2015-09-06,4,36
36,2015-09-13,22,38
37,2015-09-20,4,37
38,2015-09-27,6,48
39,2015-10-04,3,40
40,2015-10-11,7,45
41,2015-10-18,4,31
42,2015-10-25,3,38
43,2015-11-01,0,42
44,2015-11-08,7,28
45,2015-11-15,8,31
46,2015-11-22,6,12
47,2015-11-29,3,21
48,2015-12-06,3,33
49,2015-12-13,4,27
50,2015-12-20,4,20
51,2015-12-27,5,15
52,2016-01-03,6,26
53,2016-01-10,6,35
54,2016-01-17,11,20
55,2016-01-24,5,33
56,2016-01-31,7,36
57,2016-02-07,8,36
58,2016-02-14,5,40
59,2016-02-21,6,30
60,2016-02-28,8,27
61,2016-03-06,10,24
62,2016-03-13,3,19
63,2016-03-20,9,22
64,2016-03-27,6,36
65,2016-04-03,9,25
66,2016-04-10,2,35
67,2016-04-17,6,30
68,2016-04-24,9,40
69,2016-05-01,13,28
70,2016-05-08,4,27
71,2016-05-15,3,27
72,2016-05-22,5,18
73,2016-05-29,8,23
74,2016-06-05,4,25
75,2016-06-12,5,26
76,2016-06-19,4,24
77,2016-06-26,8,22
78,2016-07-03,8,26
79,2016-07-10,11,17
80,2016-07-17,9,22
81,2016-07-24,8,24
82,2016-07-31,9,27
83,2016-08-07,6,24
84,2016-08-14,10,29
85,2016-08-21,4,37
86,2016-08-28,8,34
87,2016-09-04,5,33
88,2016-09-11,6,38
89,2016-09-18,7,31
90,2016-09-25,6,34
91,2016-10-02,5,29
92,2016-10-09,7,26
93,2016-10-16,8,29
94,2016-10-23,7,25
95,2016-10-30,4,38
96,2016-11-06,8,32
97,2016-11-13,9,36
98,2016-11-20,4,24
99,2016-11-27,10,35
100,2016-12-04,5,21
101,2016-12-11,7,37
102,2016-12-18,6,23
103,2016-12-25,7,22
104,2017-01-01,6,32
105,2017-01-08,7,35
106,2017-01-15,6,33
107,2017-01-22,4,23
108,2017-01-29,6,28
109,2017-02-05,13,28
110,2017-02-12,7,25
111,2017-02-19,4,27
112,2017-02-26,6,26
113,2017-03-05,4,25
114,2017-03-12,12,35
115,2017-03-19,6,17
116,2017-03-26,8,34
117,2017-04-02,0,28
118,2017-04-09,10,32
119,2017-04-16,7,28
120,2017-04-23,7,29
121,2017-04-30,4,29
122,2017-05-07,5,30
123,2017-05-14,4,27
124,2017-05-21,8,20
125,2017-05-28,10,17
126,2017-06-04,3,16
127,2017-06-11,8,23
128,2017-06-18,6,19
129,2017-06-25,7,21
130,2017-07-02,6,21
131,2017-07-09,10,27
132,2017-07-16,7,25
133,2017-07-23,4,22
134,2017-07-30,6,24
135,2017-08-06,6,31
136,2017-08-13,5,26
137,2017-08-20,5,28
138,2017-08-27,0,32
139,2017-09-03,8,32
140,2017-09-10,8,29
141,2017-09-17,4,30
142,2017-09-24,9,29
143,2017-10-01,7,35
144,2017-10-08,3,32
145,2017-10-15,1,34
146,2017-10-22,2,27
147,2017-10-29,7,31
148,2017-11-05,7,34
149,2017-11-12,4,31
150,2017-11-19,4,26
151,2017-11-26,9,39
152,2017-12-03,2,30
153,2017-12-10,4,28
154,2017-12-17,6,28
155,2017-12-24,4,23
156,2017-12-31,7,26
157,2018-01-07,10,33
158,2018-01-14,5,32
159,2018-01-21,6,44
160,2018-01-28,8,37
161,2018-02-04,8,41
162,2018-02-11,11,36
163,2018-02-18,4,31
164,2018-02-25,8,42
165,2018-03-04,10,44
166,2018-03-11,10,26
167,2018-03-18,5,35
168,2018-03-25,5,31
169,2018-04-01,5,40
170,2018-04-08,12,33
171,2018-04-15,4,34
172,2018-04-22,9,45
173,2018-04-29,7,33
174,2018-05-06,9,33
175,2018-05-13,13,28
176,2018-05-20,2,33
177,2018-05-27,5,26
178,2018-06-03,6,26
179,2018-06-10,9,30
180,2018-06-17,6,23
181,2018-06-24,5,30
182,2018-07-01,6,23
183,2018-07-08,7,29
184,2018-07-15,7,25
185,2018-07-22,8,20
186,2018-07-29,4,34
187,2018-08-05,5,33
188,2018-08-12,6,33
189,2018-08-19,6,45
190,2018-08-26,5,39
191,2018-09-02,9,31
192,2018-09-09,6,35
193,2018-09-16,8,38
194,2018-09-23,2,29
195,2018-09-30,6,34
196,2018-10-07,5,28
197,2018-10-14,5,30
198,2018-10-21,9,30
199,2018-10-28,8,35
200,2018-11-04,8,30
201,2018-11-11,3,25
202,2018-11-18,16,20
203,2018-11-25,15,28
204,2018-12-02,11,40
205,2018-12-09,8,34
206,2018-12-16,5,31
207,2018-12-23,8,36
208,2018-12-30,7,24
209,2019-01-06,7,23
210,2019-01-13,5,31
211,2019-01-20,8,33
212,2019-01-27,4,41
213,2019-02-03,2,28
214,2019-02-10,6,26
215,2019-02-17,9,31
216,2019-02-24,7,32
217,2019-03-03,12,37
218,2019-03-10,8,22
219,2019-03-17,8,23
220,2019-03-24,12,37
221,2019-03-31,12,30
222,2019-04-07,11,28
223,2019-04-14,13,32
224,2019-04-21,5,33
225,2019-04-28,7,34
226,2019-05-05,12,32
227,2019-05-12,5,35
228,2019-05-19,5,30
229,2019-05-26,5,17
230,2019-06-02,5,30
231,2019-06-09,8,15
232,2019-06-16,8,31
233,2019-06-23,19,22
234,2019-06-30,10,19
235,2019-07-07,9,21
236,2019-07-14,14,28
237,2019-07-21,11,31
238,2019-07-28,13,24
239,2019-08-04,8,28
240,2019-08-11,9,27
241,2019-08-18,9,42
242,2019-08-25,9,35
243,2019-09-01,9,47
244,2019-09-08,7,36
245,2019-09-15,7,43
246,2019-09-22,8,41
247,2019-09-29,7,42
248,2019-10-06,8,30
249,2019-10-13,10,37
250,2019-10-20,7,36
251,2019-10-27,11,39
252,2019-11-03,7,47
253,2019-11-10,6,38
254,2019-11-17,9,36
255,2019-11-24,6,32
256,2019-12-01,3,49
257,2019-12-08,5,35
258,2019-12-15,4,27
259,2019-12-22,10,29
260,2019-12-29,6,32
