,date,Bruno Mars,Alphabet
0,2015-01-04,25,20
1,2015-01-11,30,25
2,2015-01-18,28,25
3,2015-01-25,28,23
4,2015-02-01,28,21
5,2015-02-08,26,18
6,2015-02-15,26,18
7,2015-02-22,27,22
8,2015-03-01,17,23
9,2015-03-08,13,28
10,2015-03-15,10,24
11,2015-03-22,20,24
12,2015-03-29,16,18
13,2015-04-05,14,18
14,2015-04-12,15,21
15,2015-04-19,12,20
16,2015-04-26,15,20
17,2015-05-03,16,18
18,2015-05-10,20,18
19,2015-05-17,14,22
20,2015-05-24,9,18
21,2015-05-31,12,17
22,2015-06-07,12,19
23,2015-06-14,13,13
24,2015-06-21,11,15
25,2015-06-28,11,17
26,2015-07-05,16,25
27,2015-07-12,17,17
28,2015-07-19,14,23
29,2015-07-26,7,14
30,2015-08-02,11,19
31,2015-08-09,0,43
32,2015-08-16,9,28
33,2015-08-23,8,39
34,2015-08-30,6,35
35,2015-09-06,8,27
36,2015-09-13,8,36
37,2015-09-20,5,26
38,2015-09-27,10,36
39,2015-10-04,14,31
40,2015-10-11,9,28
41,2015-10-18,8,37
42,2015-10-25,4,34
43,2015-11-01,5,28
44,2015-11-08,13,32
45,2015-11-15,6,30
46,2015-11-22,8,18
47,2015-11-29,2,23
48,2015-12-06,4,14
49,2015-12-13,4,26
50,2015-12-20,7,12
51,2015-12-27,11,24
52,2016-01-03,0,21
53,2016-01-10,7,20
54,2016-01-17,8,22
55,2016-01-24,9,27
56,2016-01-31,10,27
57,2016-02-07,60,23
58,2016-02-14,18,22
59,2016-02-21,8,18
60,2016-02-28,5,23
61,2016-03-06,7,22
62,2016-03-13,9,22
63,2016-03-20,6,15
64,2016-03-27,10,20
65,2016-04-03,7,17
66,2016-04-10,4,19
67,2016-04-17,7,20
68,2016-04-24,4,21
69,2016-05-01,7,14
70,2016-05-08,7,16
71,2016-05-15,8,25
72,2016-05-22,6,23
73,2016-05-29,6,20
74,2016-06-05,5,15
75,2016-06-12,6,21
76,2016-06-19,4,20
77,2016-06-26,5,19
78,2016-07-03,8,18
79,2016-07-10,7,18
80,2016-07-17,3,25
81,2016-07-24,10,17
82,2016-07-31,5,18
83,2016-08-07,7,23
84,2016-08-14,5,25
85,2016-08-21,6,34
86,2016-08-28,7,26
87,2016-09-04,6,21
88,2016-09-11,6,24
89,2016-09-18,3,26
90,2016-09-25,4,24
91,2016-10-02,10,24
92,2016-10-09,16,26
93,2016-10-16,21,23
94,2016-10-23,12,20
95,2016-10-30,16,23
96,2016-11-06,10,20
97,2016-11-13,36,19
98,2016-11-20,47,18
99,2016-11-27,14,19
100,2016-12-04,21,23
101,2016-12-11,51,28
102,2016-12-18,32,15
103,2016-12-25,28,20
104,2017-01-01,21,19
105,2017-01-08,19,18
106,2017-01-15,17,22
107,2017-01-22,21,24
108,2017-01-29,17,22
109,2017-02-05,22,22
110,2017-02-12,96,22
111,2017-02-19,36,21
112,2017-02-26,31,24
113,2017-03-05,33,23
114,2017-03-12,34,21
115,2017-03-19,31,24
116,2017-03-26,30,22
117,2017-04-02,25,19
118,2017-04-09,23,20
119,2017-04-16,28,19
120,2017-04-23,27,25
121,2017-04-30,29,21
122,2017-05-07,25,17
123,2017-05-14,23,20
124,2017-05-21,35,17
125,2017-05-28,26,24
126,2017-06-04,22,18
127,2017-06-11,27,14
128,2017-06-18,21,20
129,2017-06-25,47,16
130,2017-07-02,27,10
131,2017-07-09,25,14
132,2017-07-16,22,17
133,2017-07-23,18,17
134,2017-07-30,22,19
135,2017-08-06,24,20
136,2017-08-13,29,24
137,2017-08-20,24,30
138,2017-08-27,19,24
139,2017-09-03,20,26
140,2017-09-10,33,29
141,2017-09-17,100,29
142,2017-09-24,20,31
143,2017-10-01,17,27
144,2017-10-08,14,19
145,2017-10-15,19,26
146,2017-10-22,10,24
147,2017-10-29,7,29
148,2017-11-05,10,26
149,2017-11-12,13,25
150,2017-11-19,8,25
151,2017-11-26,23,24
152,2017-12-03,15,23
153,2017-12-10,13,27
154,2017-12-17,10,21
155,2017-12-24,11,16
156,2017-12-31,24,22
157,2018-01-07,20,25
158,2018-01-14,10,19
159,2018-01-21,23,25
160,2018-01-28,58,26
161,2018-02-04,32,25
162,2018-02-11,22,23
163,2018-02-18,19,25
164,2018-02-25,14,26
165,2018-03-04,16,26
166,2018-03-11,18,21
167,2018-03-18,14,23
168,2018-03-25,17,20
169,2018-04-01,14,20
170,2018-04-08,13,26
171,2018-04-15,10,22
172,2018-04-22,9,30
173,2018-04-29,12,21
174,2018-05-06,10,29
175,2018-05-13,10,16
176,2018-05-20,12,20
177,2018-05-27,9,18
178,2018-06-03,12,17
179,2018-06-10,12,18
180,2018-06-17,11,19
181,2018-06-24,12,19
182,2018-07-01,10,20
183,2018-07-08,8,17
184,2018-07-15,8,17
185,2018-07-22,8,22
186,2018-07-29,8,22
187,2018-08-05,10,20
188,2018-08-12,11,25
189,2018-08-19,9,32
190,2018-08-26,9,31
191,2018-09-02,9,28
192,2018-09-09,9,26
193,2018-09-16,12,32
194,2018-09-23,10,29
195,2018-09-30,11,26
196,2018-10-07,16,30
197,2018-10-14,6,22
198,2018-10-21,8,32
199,2018-10-28,9,28
200,2018-11-04,8,25
201,2018-11-11,8,26
202,2018-11-18,7,19
203,2018-11-25,5,23
204,2018-12-02,9,27
205,2018-12-09,7,25
206,2018-12-16,9,23
207,2018-12-23,8,20
208,2018-12-30,5,23
209,2019-01-06,7,25
210,2019-01-13,6,21
211,2019-01-20,12,25
212,2019-01-27,9,22
213,2019-02-03,6,24
214,2019-02-10,15,24
215,2019-02-17,9,25
216,2019-02-24,10,23
217,2019-03-03,14,21
218,2019-03-10,10,24
219,2019-03-17,9,21
220,2019-03-24,7,22
221,2019-03-31,10,18
222,2019-04-07,4,21
223,2019-04-14,13,24
224,2019-04-21,6,24
225,2019-04-28,3,22
226,2019-05-05,7,20
227,2019-05-12,10,22
228,2019-05-19,8,17
229,2019-05-26,9,26
230,2019-06-02,8,17
231,2019-06-09,9,18
232,2019-06-16,11,19
233,2019-06-23,5,13
234,2019-06-30,9,18
235,2019-07-07,9,19
236,2019-07-14,10,16
237,2019-07-21,8,18
238,2019-07-28,6,21
239,2019-08-04,6,21
240,2019-08-11,8,21
241,2019-08-18,6,26
242,2019-08-25,7,36
243,2019-09-01,6,21
244,2019-09-08,7,32
245,2019-09-15,7,26
246,2019-09-22,7,28
247,2019-09-29,8,26
248,2019-10-06,5,25
249,2019-10-13,8,31
250,2019-10-20,6,26
251,2019-10-27,5,29
252,2019-11-03,4,24
253,2019-11-10,5,24
254,2019-11-17,4,25
255,2019-11-24,7,23
256,2019-12-01,7,27
257,2019-12-08,7,20
258,2019-12-15,4,23
259,2019-12-22,6,17
260,2019-12-29,5,17
