,date,Coldplay,Alphabet
0,2015-01-04,4,17
1,2015-01-11,5,22
2,2015-01-18,6,22
3,2015-01-25,4,20
4,2015-02-01,6,18
5,2015-02-08,9,16
6,2015-02-15,3,15
7,2015-02-22,2,19
8,2015-03-01,5,20
9,2015-03-08,4,24
10,2015-03-15,3,21
11,2015-03-22,3,21
12,2015-03-29,6,16
13,2015-04-05,4,16
14,2015-04-12,5,18
15,2015-04-19,4,18
16,2015-04-26,7,17
17,2015-05-03,4,16
18,2015-05-10,5,16
19,2015-05-17,3,20
20,2015-05-24,4,16
21,2015-05-31,7,15
22,2015-06-07,7,17
23,2015-06-14,3,11
24,2015-06-21,0,13
25,2015-06-28,3,15
26,2015-07-05,9,21
27,2015-07-12,0,15
28,2015-07-19,4,20
29,2015-07-26,2,12
30,2015-08-02,5,17
31,2015-08-09,4,38
32,2015-08-16,4,25
33,2015-08-23,3,35
34,2015-08-30,11,31
35,2015-09-06,0,24
36,2015-09-13,3,32
37,2015-09-20,11,22
38,2015-09-27,4,32
39,2015-10-04,2,27
40,2015-10-11,0,25
41,2015-10-18,5,32
42,2015-10-25,5,30
43,2015-11-01,6,25
44,2015-11-08,6,28
45,2015-11-15,2,26
46,2015-11-22,12,16
47,2015-11-29,15,20
48,2015-12-06,13,12
49,2015-12-13,12,22
50,2015-12-20,10,10
51,2015-12-27,7,21
52,2016-01-03,6,19
53,2016-01-10,5,18
54,2016-01-17,8,19
55,2016-01-24,13,23
56,2016-01-31,20,24
57,2016-02-07,100,20
58,2016-02-14,17,19
59,2016-02-21,7,16
60,2016-02-28,4,20
61,2016-03-06,6,19
62,2016-03-13,8,19
63,2016-03-20,6,14
64,2016-03-27,5,18
65,2016-04-03,13,15
66,2016-04-10,14,17
67,2016-04-17,7,17
68,2016-04-24,12,19
69,2016-05-01,6,12
70,2016-05-08,12,14
71,2016-05-15,7,22
72,2016-05-22,5,20
73,2016-05-29,9,18
74,2016-06-05,9,13
75,2016-06-12,3,18
76,2016-06-19,5,18
77,2016-06-26,9,17
78,2016-07-03,8,16
79,2016-07-10,12,16
80,2016-07-17,24,22
81,2016-07-24,68,15
82,2016-07-31,12,16
83,2016-08-07,5,21
84,2016-08-14,7,22
85,2016-08-21,4,30
86,2016-08-28,4,23
87,2016-09-04,7,18
88,2016-09-11,4,21
89,2016-09-18,3,23
90,2016-09-25,5,21
91,2016-10-02,3,21
92,2016-10-09,4,23
93,2016-10-16,5,20
94,2016-10-23,4,18
95,2016-10-30,3,20
96,2016-11-06,3,17
97,2016-11-13,5,16
98,2016-11-20,5,16
99,2016-11-27,4,17
100,2016-12-04,6,20
101,2016-12-11,3,25
102,2016-12-18,3,13
103,2016-12-25,6,17
104,2017-01-01,3,17
105,2017-01-08,3,16
106,2017-01-15,1,19
107,2017-01-22,5,21
108,2017-01-29,5,19
109,2017-02-05,5,20
110,2017-02-12,3,19
111,2017-02-19,3,18
112,2017-02-26,4,21
113,2017-03-05,10,20
114,2017-03-12,7,19
115,2017-03-19,5,21
116,2017-03-26,3,19
117,2017-04-02,1,17
118,2017-04-09,5,17
119,2017-04-16,5,17
120,2017-04-23,5,22
121,2017-04-30,6,19
122,2017-05-07,4,15
123,2017-05-14,4,18
124,2017-05-21,5,15
125,2017-05-28,6,21
126,2017-06-04,5,16
127,2017-06-11,6,12
128,2017-06-18,7,17
129,2017-06-25,3,14
130,2017-07-02,4,9
131,2017-07-09,5,13
132,2017-07-16,6,14
133,2017-07-23,4,15
134,2017-07-30,4,16
135,2017-08-06,7,18
136,2017-08-13,6,21
137,2017-08-20,6,27
138,2017-08-27,6,21
139,2017-09-03,4,23
140,2017-09-10,3,26
141,2017-09-17,3,26
142,2017-09-24,0,27
143,2017-10-01,5,23
144,2017-10-08,6,17
145,2017-10-15,0,23
146,2017-10-22,3,21
147,2017-10-29,6,25
148,2017-11-05,1,22
149,2017-11-12,7,22
150,2017-11-19,3,22
151,2017-11-26,4,21
152,2017-12-03,1,21
153,2017-12-10,3,24
154,2017-12-17,1,18
155,2017-12-24,3,14
156,2017-12-31,5,19
157,2018-01-07,5,22
158,2018-01-14,4,17
159,2018-01-21,2,22
160,2018-01-28,3,23
161,2018-02-04,3,22
162,2018-02-11,4,20
163,2018-02-18,3,21
164,2018-02-25,6,23
165,2018-03-04,5,23
166,2018-03-11,3,18
167,2018-03-18,2,20
168,2018-03-25,2,18
169,2018-04-01,4,17
170,2018-04-08,5,22
171,2018-04-15,4,20
172,2018-04-22,4,26
173,2018-04-29,4,19
174,2018-05-06,2,25
175,2018-05-13,3,14
176,2018-05-20,3,18
177,2018-05-27,4,16
178,2018-06-03,4,15
179,2018-06-10,3,16
180,2018-06-17,0,16
181,2018-06-24,1,16
182,2018-07-01,4,18
183,2018-07-08,4,15
184,2018-07-15,2,15
185,2018-07-22,4,19
186,2018-07-29,6,19
187,2018-08-05,3,18
188,2018-08-12,0,22
189,2018-08-19,2,28
190,2018-08-26,3,27
191,2018-09-02,3,25
192,2018-09-09,3,23
193,2018-09-16,1,28
194,2018-09-23,4,25
195,2018-09-30,1,23
196,2018-10-07,3,27
197,2018-10-14,3,20
198,2018-10-21,3,28
199,2018-10-28,4,24
200,2018-11-04,4,22
201,2018-11-11,7,23
202,2018-11-18,3,16
203,2018-11-25,0,20
204,2018-12-02,4,24
205,2018-12-09,5,22
206,2018-12-16,3,20
207,2018-12-23,5,17
208,2018-12-30,5,20
209,2019-01-06,3,22
210,2019-01-13,2,18
211,2019-01-20,3,22
212,2019-01-27,0,19
213,2019-02-03,2,21
214,2019-02-10,3,21
215,2019-02-17,2,22
216,2019-02-24,1,20
217,2019-03-03,2,19
218,2019-03-10,3,21
219,2019-03-17,5,18
220,2019-03-24,2,19
221,2019-03-31,0,16
222,2019-04-07,2,18
223,2019-04-14,1,21
224,2019-04-21,2,21
225,2019-04-28,3,19
226,2019-05-05,1,18
227,2019-05-12,0,19
228,2019-05-19,3,15
229,2019-05-26,0,23
230,2019-06-02,2,15
231,2019-06-09,2,16
232,2019-06-16,1,17
233,2019-06-23,3,11
234,2019-06-30,4,16
235,2019-07-07,1,17
236,2019-07-14,0,14
237,2019-07-21,4,16
238,2019-07-28,2,18
239,2019-08-04,2,19
240,2019-08-11,0,19
241,2019-08-18,0,22
242,2019-08-25,4,31
243,2019-09-01,4,19
244,2019-09-08,1,28
245,2019-09-15,2,22
246,2019-09-22,2,24
247,2019-09-29,2,23
248,2019-10-06,1,22
249,2019-10-13,2,27
250,2019-10-20,5,23
251,2019-10-27,4,25
252,2019-11-03,6,21
253,2019-11-10,2,21
254,2019-11-17,6,22
255,2019-11-24,6,20
256,2019-12-01,4,23
257,2019-12-08,4,18
258,2019-12-15,3,20
259,2019-12-22,3,15
260,2019-12-29,2,15
