,date,Ed Sheeran,Alphabet
0,2015-01-04,39,21
1,2015-01-11,45,28
2,2015-01-18,43,27
3,2015-01-25,43,24
4,2015-02-01,54,22
5,2015-02-08,100,19
6,2015-02-15,57,20
7,2015-02-22,43,23
8,2015-03-01,35,24
9,2015-03-08,33,29
10,2015-03-15,33,26
11,2015-03-22,31,26
12,2015-03-29,35,18
13,2015-04-05,31,19
14,2015-04-12,28,21
15,2015-04-19,25,21
16,2015-04-26,24,21
17,2015-05-03,29,19
18,2015-05-10,23,19
19,2015-05-17,31,24
20,2015-05-24,24,19
21,2015-05-31,34,17
22,2015-06-07,28,20
23,2015-06-14,42,13
24,2015-06-21,27,16
25,2015-06-28,28,18
26,2015-07-05,29,26
27,2015-07-12,22,18
28,2015-07-19,22,23
29,2015-07-26,23,14
30,2015-08-02,22,20
31,2015-08-09,23,45
32,2015-08-16,33,32
33,2015-08-23,12,42
34,2015-08-30,26,37
35,2015-09-06,27,29
36,2015-09-13,57,39
37,2015-09-20,26,27
38,2015-09-27,21,37
39,2015-10-04,24,32
40,2015-10-11,18,29
41,2015-10-18,17,39
42,2015-10-25,25,36
43,2015-11-01,16,29
44,2015-11-08,14,35
45,2015-11-15,13,31
46,2015-11-22,13,19
47,2015-11-29,10,24
48,2015-12-06,10,15
49,2015-12-13,16,27
50,2015-12-20,15,12
51,2015-12-27,19,25
52,2016-01-03,12,23
53,2016-01-10,11,22
54,2016-01-17,10,23
55,2016-01-24,7,27
56,2016-01-31,11,29
57,2016-02-07,10,23
58,2016-02-14,25,23
59,2016-02-21,10,19
60,2016-02-28,7,24
61,2016-03-06,8,23
62,2016-03-13,8,23
63,2016-03-20,9,16
64,2016-03-27,12,21
65,2016-04-03,8,19
66,2016-04-10,7,21
67,2016-04-17,10,21
68,2016-04-24,7,23
69,2016-05-01,11,15
70,2016-05-08,9,16
71,2016-05-15,5,26
72,2016-05-22,8,24
73,2016-05-29,10,20
74,2016-06-05,7,16
75,2016-06-12,8,22
76,2016-06-19,7,22
77,2016-06-26,9,20
78,2016-07-03,8,19
79,2016-07-10,7,19
80,2016-07-17,8,27
81,2016-07-24,10,18
82,2016-07-31,4,19
83,2016-08-07,10,25
84,2016-08-14,4,25
85,2016-08-21,3,37
86,2016-08-28,5,28
87,2016-09-04,6,22
88,2016-09-11,4,27
89,2016-09-18,6,29
90,2016-09-25,3,26
91,2016-10-02,7,26
92,2016-10-09,8,28
93,2016-10-16,5,24
94,2016-10-23,9,21
95,2016-10-30,5,24
96,2016-11-06,4,21
97,2016-11-13,4,20
98,2016-11-20,5,19
99,2016-11-27,7,20
100,2016-12-04,3,24
101,2016-12-11,5,29
102,2016-12-18,4,15
103,2016-12-25,6,20
104,2017-01-01,25,20
105,2017-01-08,22,19
106,2017-01-15,17,23
107,2017-01-22,23,26
108,2017-01-29,17,24
109,2017-02-05,15,23
110,2017-02-12,42,24
111,2017-02-19,26,22
112,2017-02-26,46,25
113,2017-03-05,99,25
114,2017-03-12,80,22
115,2017-03-19,54,25
116,2017-03-26,41,22
117,2017-04-02,27,20
118,2017-04-09,23,21
119,2017-04-16,32,20
120,2017-04-23,21,27
121,2017-04-30,21,23
122,2017-05-07,22,18
123,2017-05-14,23,20
124,2017-05-21,26,18
125,2017-05-28,22,25
126,2017-06-04,25,19
127,2017-06-11,17,15
128,2017-06-18,21,21
129,2017-06-25,18,17
130,2017-07-02,29,11
131,2017-07-09,27,15
132,2017-07-16,67,18
133,2017-07-23,26,18
134,2017-07-30,22,20
135,2017-08-06,21,20
136,2017-08-13,23,26
137,2017-08-20,20,32
138,2017-08-27,33,26
139,2017-09-03,90,28
140,2017-09-10,19,30
141,2017-09-17,23,30
142,2017-09-24,19,33
143,2017-10-01,26,28
144,2017-10-08,31,20
145,2017-10-15,33,28
146,2017-10-22,22,25
147,2017-10-29,21,31
148,2017-11-05,25,27
149,2017-11-12,19,27
150,2017-11-19,18,27
151,2017-11-26,26,25
152,2017-12-03,35,25
153,2017-12-10,36,29
154,2017-12-17,47,23
155,2017-12-24,48,17
156,2017-12-31,32,23
157,2018-01-07,37,27
158,2018-01-14,41,20
159,2018-01-21,55,28
