,date,U2,Alphabet
0,2015-01-04,2,12
1,2015-01-11,3,16
2,2015-01-18,7,16
3,2015-01-25,4,14
4,2015-02-01,4,13
5,2015-02-08,3,12
6,2015-02-15,3,11
7,2015-02-22,4,14
8,2015-03-01,5,14
9,2015-03-08,4,18
10,2015-03-15,4,15
11,2015-03-22,1,15
12,2015-03-29,5,11
13,2015-04-05,2,11
14,2015-04-12,3,13
15,2015-04-19,3,13
16,2015-04-26,6,12
17,2015-05-03,8,11
18,2015-05-10,9,12
19,2015-05-17,6,14
20,2015-05-24,6,12
21,2015-05-31,6,11
22,2015-06-07,5,12
23,2015-06-14,3,8
24,2015-06-21,6,10
25,2015-06-28,5,11
26,2015-07-05,10,15
27,2015-07-12,5,11
28,2015-07-19,4,14
29,2015-07-26,4,9
30,2015-08-02,4,12
31,2015-08-09,2,27
32,2015-08-16,4,18
33,2015-08-23,2,25
34,2015-08-30,3,22
35,2015-09-06,2,17
36,2015-09-13,0,23
37,2015-09-20,2,16
38,2015-09-27,1,23
39,2015-10-04,2,20
40,2015-10-11,3,18
41,2015-10-18,0,23
42,2015-10-25,3,21
43,2015-11-01,1,18
44,2015-11-08,0,20
45,2015-11-15,0,19
46,2015-11-22,4,11
47,2015-11-29,2,14
48,2015-12-06,6,9
49,2015-12-13,3,16
50,2015-12-20,4,7
51,2015-12-27,6,15
52,2016-01-03,2,13
53,2016-01-10,3,13
54,2016-01-17,2,14
55,2016-01-24,1,17
56,2016-01-31,2,17
57,2016-02-07,2,14
58,2016-02-14,1,14
59,2016-02-21,3,11
60,2016-02-28,1,14
61,2016-03-06,3,14
62,2016-03-13,3,14
63,2016-03-20,2,10
64,2016-03-27,4,13
65,2016-04-03,3,11
66,2016-04-10,2,12
67,2016-04-17,4,12
68,2016-04-24,0,13
69,2016-05-01,3,9
70,2016-05-08,2,10
71,2016-05-15,3,16
72,2016-05-22,2,14
73,2016-05-29,1,13
74,2016-06-05,3,9
75,2016-06-12,0,13
76,2016-06-19,1,13
77,2016-06-26,4,12
78,2016-07-03,0,11
79,2016-07-10,2,11
80,2016-07-17,3,16
81,2016-07-24,0,11
82,2016-07-31,3,12
83,2016-08-07,2,15
84,2016-08-14,2,16
85,2016-08-21,3,21
86,2016-08-28,1,16
87,2016-09-04,2,13
88,2016-09-11,2,15
89,2016-09-18,1,16
90,2016-09-25,1,15
91,2016-10-02,3,15
92,2016-10-09,2,16
93,2016-10-16,3,14
94,2016-10-23,1,13
95,2016-10-30,1,15
96,2016-11-06,1,12
97,2016-11-13,4,12
98,2016-11-20,3,11
99,2016-11-27,2,12
100,2016-12-04,3,14
101,2016-12-11,1,18
102,2016-12-18,2,9
103,2016-12-25,3,13
104,2017-01-01,3,12
105,2017-01-08,19,11
106,2017-01-15,6,14
107,2017-01-22,4,15
108,2017-01-29,37,14
109,2017-02-05,12,14
110,2017-02-12,5,14
111,2017-02-19,4,13
112,2017-02-26,5,15
113,2017-03-05,4,15
114,2017-03-12,4,13
115,2017-03-19,4,15
116,2017-03-26,7,14
117,2017-04-02,3,12
118,2017-04-09,5,12
119,2017-04-16,6,12
120,2017-04-23,4,16
121,2017-04-30,6,13
122,2017-05-07,7,11
123,2017-05-14,11,13
124,2017-05-21,9,11
125,2017-05-28,11,15
126,2017-06-04,18,11
127,2017-06-11,100,9
128,2017-06-18,17,12
129,2017-06-25,8,10
130,2017-07-02,8,6
131,2017-07-09,5,9
132,2017-07-16,4,10
133,2017-07-23,5,11
134,2017-07-30,3,12
135,2017-08-06,2,13
136,2017-08-13,3,15
137,2017-08-20,2,19
138,2017-08-27,5,15
139,2017-09-03,8,16
140,2017-09-10,8,19
141,2017-09-17,6,19
142,2017-09-24,2,19
143,2017-10-01,2,17
144,2017-10-08,2,12
145,2017-10-15,3,16
146,2017-10-22,2,15
147,2017-10-29,4,18
