,date,Bruno Mars,Alphabet
0,2015-01-04,14,16
1,2015-01-11,34,27
2,2015-01-18,21,23
3,2015-01-25,29,19
4,2015-02-01,32,20
5,2015-02-08,24,19
6,2015-02-15,21,19
7,2015-02-22,22,16
8,2015-03-01,10,20
9,2015-03-08,19,18
10,2015-03-15,23,24
11,2015-03-22,15,11
12,2015-03-29,14,6
13,2015-04-05,20,18
14,2015-04-12,14,22
15,2015-04-19,10,19
16,2015-04-26,12,16
17,2015-05-03,10,18
18,2015-05-10,12,20
19,2015-05-17,10,21
20,2015-05-24,10,22
21,2015-05-31,20,9
22,2015-06-07,9,15
23,2015-06-14,6,16
24,2015-06-21,10,19
25,2015-06-28,7,17
26,2015-07-05,5,16
27,2015-07-12,7,14
28,2015-07-19,11,21
29,2015-07-26,9,20
30,2015-08-02,9,17
31,2015-08-09,6,39
32,2015-08-16,8,37
33,2015-08-23,4,23
34,2015-08-30,6,33
35,2015-09-06,10,28
36,2015-09-13,9,27
37,2015-09-20,4,34
38,2015-09-27,10,26
39,2015-10-04,7,28
40,2015-10-11,8,24
41,2015-10-18,5,22
42,2015-10-25,5,31
43,2015-11-01,4,18
44,2015-11-08,15,26
45,2015-11-15,7,30
46,2015-11-22,12,13
47,2015-11-29,8,23
48,2015-12-06,8,19
49,2015-12-13,5,18
50,2015-12-20,10,17
51,2015-12-27,10,13
52,2016-01-03,6,21
53,2016-01-10,6,12
54,2016-01-17,6,21
55,2016-01-24,4,24
56,2016-01-31,12,23
57,2016-02-07,61,14
58,2016-02-14,16,22
59,2016-02-21,7,19
60,2016-02-28,13,19
61,2016-03-06,7,17
62,2016-03-13,6,18
63,2016-03-20,2,18
64,2016-03-27,2,17
65,2016-04-03,3,19
66,2016-04-10,5,18
67,2016-04-17,7,17
68,2016-04-24,6,18
69,2016-05-01,6,15
70,2016-05-08,5,17
71,2016-05-15,7,15
72,2016-05-22,6,15
73,2016-05-29,8,13
74,2016-06-05,7,17
75,2016-06-12,3,14
76,2016-06-19,4,14
77,2016-06-26,4,17
78,2016-07-03,7,13
79,2016-07-10,6,16
80,2016-07-17,6,18
81,2016-07-24,5,15
82,2016-07-31,8,22
83,2016-08-07,7,22
84,2016-08-14,5,33
85,2016-08-21,5,29
86,2016-08-28,5,26
87,2016-09-04,4,15
88,2016-09-11,5,25
89,2016-09-18,4,22
90,2016-09-25,1,21
91,2016-10-02,13,18
92,2016-10-09,12,22
93,2016-10-16,19,21
94,2016-10-23,6,19
95,2016-10-30,12,21
96,2016-11-06,15,16
97,2016-11-13,39,21
98,2016-11-20,54,17
99,2016-11-27,18,22
100,2016-12-04,25,17
101,2016-12-11,45,14
102,2016-12-18,24,13
103,2016-12-25,26,14
104,2017-01-01,22,17
105,2017-01-08,14,18
106,2017-01-15,19,22
107,2017-01-22,17,21
108,2017-01-29,18,21
109,2017-02-05,25,22
110,2017-02-12,100,19
111,2017-02-19,31,20
112,2017-02-26,38,12
113,2017-03-05,39,20
114,2017-03-12,30,18
115,2017-03-19,29,17
116,2017-03-26,26,18
117,2017-04-02,28,18
118,2017-04-09,32,14
119,2017-04-16,27,20
120,2017-04-23,28,24
121,2017-04-30,29,19
122,2017-05-07,36,18
123,2017-05-14,27,20
124,2017-05-21,44,17
125,2017-05-28,31,17
126,2017-06-04,31,21
127,2017-06-11,26,14
128,2017-06-18,22,17
129,2017-06-25,66,17
130,2017-07-02,31,19
131,2017-07-09,25,14
132,2017-07-16,26,17
133,2017-07-23,25,10
134,2017-07-30,20,17
135,2017-08-06,28,19
136,2017-08-13,30,26
137,2017-08-20,19,28
138,2017-08-27,16,18
139,2017-09-03,22,22
140,2017-09-10,18,22
141,2017-09-17,21,18
142,2017-09-24,19,25
143,2017-10-01,20,21
144,2017-10-08,31,22
145,2017-10-15,58,20
146,2017-10-22,51,23
147,2017-10-29,22,20
148,2017-11-05,11,19
149,2017-11-12,13,20
150,2017-11-19,10,12
151,2017-11-26,31,21
152,2017-12-03,13,19
153,2017-12-10,16,18
154,2017-12-17,12,18
155,2017-12-24,12,13
156,2017-12-31,33,20
157,2018-01-07,19,21
158,2018-01-14,14,10
159,2018-01-21,31,21
160,2018-01-28,71,21
161,2018-02-04,32,23
162,2018-02-11,24,16
163,2018-02-18,20,21
164,2018-02-25,14,21
165,2018-03-04,17,23
166,2018-03-11,28,21
167,2018-03-18,17,18
168,2018-03-25,18,17
169,2018-04-01,13,16
170,2018-04-08,12,20
171,2018-04-15,15,20
172,2018-04-22,15,17
173,2018-04-29,14,15
174,2018-05-06,13,19
175,2018-05-13,9,19
176,2018-05-20,9,14
177,2018-05-27,11,12
178,2018-06-03,8,12
179,2018-06-10,8,13
180,2018-06-17,9,14
181,2018-06-24,7,16
182,2018-07-01,10,14
183,2018-07-08,10,14
184,2018-07-15,9,13
185,2018-07-22,12,15
186,2018-07-29,8,18
187,2018-08-05,6,20
188,2018-08-12,13,29
189,2018-08-19,12,30
190,2018-08-26,9,23
191,2018-09-02,7,23
192,2018-09-09,9,25
193,2018-09-16,10,28
194,2018-09-23,9,24
195,2018-09-30,10,23
196,2018-10-07,10,21
197,2018-10-14,6,14
198,2018-10-21,11,23
199,2018-10-28,11,21
200,2018-11-04,8,20
201,2018-11-11,9,17
202,2018-11-18,11,14
203,2018-11-25,6,19
204,2018-12-02,8,17
205,2018-12-09,3,15
206,2018-12-16,9,17
207,2018-12-23,11,9
208,2018-12-30,13,19
209,2019-01-06,5,21
210,2019-01-13,4,21
211,2019-01-20,3,18
212,2019-01-27,6,18
213,2019-02-03,7,22
214,2019-02-10,14,22
215,2019-02-17,10,14
216,2019-02-24,12,14
217,2019-03-03,13,13
218,2019-03-10,12,20
219,2019-03-17,13,18
220,2019-03-24,10,18
221,2019-03-31,10,17
222,2019-04-07,9,20
223,2019-04-14,9,12
224,2019-04-21,8,12
225,2019-04-28,8,22
226,2019-05-05,8,17
227,2019-05-12,7,15
228,2019-05-19,11,14
229,2019-05-26,3,13
230,2019-06-02,4,17
231,2019-06-09,7,13
232,2019-06-16,6,13
233,2019-06-23,6,16
234,2019-06-30,8,13
235,2019-07-07,8,14
236,2019-07-14,6,13
237,2019-07-21,6,17
238,2019-07-28,8,17
239,2019-08-04,7,11
240,2019-08-11,8,24
241,2019-08-18,8,28
242,2019-08-25,3,25
243,2019-09-01,3,21
244,2019-09-08,7,23
245,2019-09-15,4,23
246,2019-09-22,7,23
247,2019-09-29,5,21
248,2019-10-06,5,20
249,2019-10-13,6,15
250,2019-10-20,3,19
251,2019-10-27,3,18
252,2019-11-03,6,24
253,2019-11-10,4,18
254,2019-11-17,6,21
255,2019-11-24,5,12
256,2019-12-01,4,19
257,2019-12-08,5,17
258,2019-12-15,4,17
259,2019-12-22,4,15
260,2019-12-29,4,16
