,date,Coldplay,Alphabet
0,2015-01-04,8,23
1,2015-01-11,7,37
2,2015-01-18,4,31
3,2015-01-25,6,27
4,2015-02-01,10,27
5,2015-02-08,7,26
6,2015-02-15,2,25
7,2015-02-22,4,22
8,2015-03-01,10,27
9,2015-03-08,5,25
10,2015-03-15,7,32
11,2015-03-22,9,15
12,2015-03-29,8,9
13,2015-04-05,3,24
14,2015-04-12,5,30
15,2015-04-19,11,26
16,2015-04-26,4,21
17,2015-05-03,5,25
18,2015-05-10,6,27
19,2015-05-17,8,29
20,2015-05-24,11,31
21,2015-05-31,5,13
22,2015-06-07,5,21
23,2015-06-14,0,22
24,2015-06-21,4,26
25,2015-06-28,0,23
26,2015-07-05,7,23
27,2015-07-12,6,19
28,2015-07-19,11,29
29,2015-07-26,3,27
30,2015-08-02,4,23
31,2015-08-09,12,53
32,2015-08-16,6,51
33,2015-08-23,0,31
34,2015-08-30,5,45
35,2015-09-06,5,38
36,2015-09-13,0,37
37,2015-09-20,9,46
38,2015-09-27,5,35
39,2015-10-04,4,38
40,2015-10-11,7,32
41,2015-10-18,0,31
42,2015-10-25,4,43
43,2015-11-01,7,25
44,2015-11-08,5,36
45,2015-11-15,10,42
46,2015-11-22,13,18
47,2015-11-29,23,32
48,2015-12-06,10,27
49,2015-12-13,15,25
50,2015-12-20,8,23
51,2015-12-27,4,18
52,2016-01-03,3,28
53,2016-01-10,9,16
54,2016-01-17,5,28
55,2016-01-24,11,32
56,2016-01-31,21,32
57,2016-02-07,100,19
58,2016-02-14,9,30
59,2016-02-21,10,26
60,2016-02-28,5,26
61,2016-03-06,7,23
62,2016-03-13,9,24
63,2016-03-20,10,25
64,2016-03-27,7,24
65,2016-04-03,8,25
66,2016-04-10,6,25
67,2016-04-17,6,23
68,2016-04-24,11,25
69,2016-05-01,6,21
70,2016-05-08,14,24
71,2016-05-15,5,21
72,2016-05-22,5,20
73,2016-05-29,3,18
74,2016-06-05,6,23
75,2016-06-12,8,19
76,2016-06-19,3,19
77,2016-06-26,6,24
78,2016-07-03,8,18
79,2016-07-10,5,21
80,2016-07-17,7,25
81,2016-07-24,6,20
82,2016-07-31,4,30
83,2016-08-07,6,30
84,2016-08-14,4,45
85,2016-08-21,9,40
86,2016-08-28,9,35
87,2016-09-04,7,21
88,2016-09-11,5,35
89,2016-09-18,5,31
90,2016-09-25,9,29
91,2016-10-02,6,25
92,2016-10-09,10,30
93,2016-10-16,5,29
94,2016-10-23,4,26
95,2016-10-30,4,29
96,2016-11-06,1,22
97,2016-11-13,3,29
98,2016-11-20,8,23
99,2016-11-27,5,30
100,2016-12-04,4,23
101,2016-12-11,2,19
102,2016-12-18,5,18
103,2016-12-25,2,20
104,2017-01-01,3,23
105,2017-01-08,7,25
106,2017-01-15,3,30
107,2017-01-22,3,29
108,2017-01-29,5,29
109,2017-02-05,8,30
110,2017-02-12,3,26
111,2017-02-19,8,28
112,2017-02-26,5,16
113,2017-03-05,6,27
114,2017-03-12,4,25
115,2017-03-19,10,23
116,2017-03-26,6,24
117,2017-04-02,10,25
118,2017-04-09,6,20
119,2017-04-16,6,27
120,2017-04-23,6,33
121,2017-04-30,10,26
122,2017-05-07,3,24
123,2017-05-14,3,28
124,2017-05-21,7,23
125,2017-05-28,6,23
126,2017-06-04,11,28
127,2017-06-11,0,20
128,2017-06-18,9,24
129,2017-06-25,6,23
130,2017-07-02,7,26
131,2017-07-09,0,19
132,2017-07-16,6,23
133,2017-07-23,4,13
134,2017-07-30,6,23
135,2017-08-06,4,27
136,2017-08-13,5,36
137,2017-08-20,24,38
138,2017-08-27,5,24
139,2017-09-03,5,31
140,2017-09-10,3,30
141,2017-09-17,4,24
142,2017-09-24,4,35
143,2017-10-01,2,28
144,2017-10-08,4,30
145,2017-10-15,0,27
146,2017-10-22,3,32
147,2017-10-29,3,28
148,2017-11-05,4,26
149,2017-11-12,3,27
150,2017-11-19,4,16
151,2017-11-26,3,29
152,2017-12-03,3,26
153,2017-12-10,3,24
154,2017-12-17,5,25
155,2017-12-24,4,18
156,2017-12-31,3,27
157,2018-01-07,1,29
158,2018-01-14,3,14
159,2018-01-21,5,29
160,2018-01-28,1,29
161,2018-02-04,6,31
162,2018-02-11,3,22
163,2018-02-18,0,29
164,2018-02-25,3,28
165,2018-03-04,5,32
166,2018-03-11,5,29
167,2018-03-18,4,25
168,2018-03-25,3,23
169,2018-04-01,6,23
170,2018-04-08,5,28
171,2018-04-15,5,27
172,2018-04-22,5,23
173,2018-04-29,4,21
174,2018-05-06,3,27
175,2018-05-13,2,25
176,2018-05-20,2,19
177,2018-05-27,5,16
178,2018-06-03,4,17
179,2018-06-10,3,18
180,2018-06-17,3,19
181,2018-06-24,2,21
182,2018-07-01,1,19
183,2018-07-08,2,19
184,2018-07-15,7,18
185,2018-07-22,7,20
186,2018-07-29,2,24
187,2018-08-05,5,27
188,2018-08-12,6,40
189,2018-08-19,3,42
190,2018-08-26,4,32
191,2018-09-02,3,31
192,2018-09-09,5,35
193,2018-09-16,3,38
194,2018-09-23,3,33
195,2018-09-30,0,31
196,2018-10-07,2,28
197,2018-10-14,4,19
198,2018-10-21,2,32
199,2018-10-28,0,29
200,2018-11-04,2,27
201,2018-11-11,4,24
202,2018-11-18,3,20
203,2018-11-25,2,26
204,2018-12-02,4,23
205,2018-12-09,3,21
206,2018-12-16,4,24
207,2018-12-23,0,12
208,2018-12-30,3,26
209,2019-01-06,4,29
210,2019-01-13,4,28
211,2019-01-20,2,25
212,2019-01-27,3,25
213,2019-02-03,2,30
214,2019-02-10,0,31
215,2019-02-17,3,19
216,2019-02-24,3,19
217,2019-03-03,5,18
218,2019-03-10,2,27
219,2019-03-17,0,25
220,2019-03-24,3,25
221,2019-03-31,8,24
222,2019-04-07,2,28
223,2019-04-14,0,16
224,2019-04-21,1,17
225,2019-04-28,4,30
226,2019-05-05,7,23
227,2019-05-12,0,20
228,2019-05-19,2,19
229,2019-05-26,3,18
230,2019-06-02,2,24
231,2019-06-09,2,18
232,2019-06-16,2,18
233,2019-06-23,2,22
234,2019-06-30,0,18
235,2019-07-07,2,19
236,2019-07-14,2,18
237,2019-07-21,0,23
238,2019-07-28,0,24
239,2019-08-04,3,15
240,2019-08-11,3,34
241,2019-08-18,8,38
242,2019-08-25,1,34
243,2019-09-01,4,28
244,2019-09-08,3,31
245,2019-09-15,5,31
246,2019-09-22,3,31
247,2019-09-29,3,28
248,2019-10-06,3,27
249,2019-10-13,2,21
250,2019-10-20,2,26
251,2019-10-27,3,24
252,2019-11-03,7,33
253,2019-11-10,3,24
254,2019-11-17,7,29
255,2019-11-24,5,16
256,2019-12-01,5,27
257,2019-12-08,0,24
258,2019-12-15,5,24
259,2019-12-22,3,21
260,2019-12-29,2,21
