,date,Ed Sheeran,Alphabet
0,2015-01-04,27,14
1,2015-01-11,40,23
2,2015-01-18,34,18
3,2015-01-25,49,16
4,2015-02-01,36,17
5,2015-02-08,63,16
6,2015-02-15,36,16
7,2015-02-22,27,13
8,2015-03-01,31,17
9,2015-03-08,19,15
10,2015-03-15,21,20
11,2015-03-22,23,9
12,2015-03-29,21,5
13,2015-04-05,19,15
14,2015-04-12,24,18
15,2015-04-19,23,16
16,2015-04-26,31,13
17,2015-05-03,35,16
18,2015-05-10,20,17
19,2015-05-17,26,18
20,2015-05-24,19,19
21,2015-05-31,19,8
22,2015-06-07,15,13
23,2015-06-14,23,13
24,2015-06-21,19,16
25,2015-06-28,20,14
26,2015-07-05,18,14
27,2015-07-12,9,12
28,2015-07-19,12,18
29,2015-07-26,11,17
30,2015-08-02,9,14
31,2015-08-09,16,33
32,2015-08-16,15,31
33,2015-08-23,11,19
34,2015-08-30,19,28
35,2015-09-06,13,24
36,2015-09-13,13,23
37,2015-09-20,10,29
38,2015-09-27,10,22
39,2015-10-04,8,24
40,2015-10-11,15,20
41,2015-10-18,12,19
42,2015-10-25,7,27
43,2015-11-01,10,15
44,2015-11-08,9,22
45,2015-11-15,6,26
46,2015-11-22,9,11
47,2015-11-29,5,20
48,2015-12-06,9,16
49,2015-12-13,9,16
50,2015-12-20,5,14
51,2015-12-27,7,11
52,2016-01-03,9,18
53,2016-01-10,8,10
54,2016-01-17,8,17
55,2016-01-24,5,20
56,2016-01-31,6,20
57,2016-02-07,6,12
58,2016-02-14,18,19
59,2016-02-21,5,16
60,2016-02-28,6,16
61,2016-03-06,7,14
62,2016-03-13,4,15
63,2016-03-20,5,15
64,2016-03-27,4,15
65,2016-04-03,5,16
66,2016-04-10,6,16
67,2016-04-17,3,14
68,2016-04-24,6,15
69,2016-05-01,4,13
70,2016-05-08,5,15
71,2016-05-15,4,13
72,2016-05-22,4,13
73,2016-05-29,6,11
74,2016-06-05,11,14
75,2016-06-12,4,12
76,2016-06-19,4,12
77,2016-06-26,5,15
78,2016-07-03,4,11
79,2016-07-10,5,13
80,2016-07-17,3,16
81,2016-07-24,4,13
82,2016-07-31,5,18
83,2016-08-07,6,19
84,2016-08-14,4,28
85,2016-08-21,4,25
86,2016-08-28,4,22
87,2016-09-04,4,13
88,2016-09-11,2,21
89,2016-09-18,7,19
90,2016-09-25,1,18
91,2016-10-02,5,15
92,2016-10-09,3,18
93,2016-10-16,5,18
94,2016-10-23,4,16
95,2016-10-30,4,18
96,2016-11-06,5,13
97,2016-11-13,5,18
98,2016-11-20,4,14
99,2016-11-27,5,19
100,2016-12-04,4,14
101,2016-12-11,4,12
102,2016-12-18,5,11
103,2016-12-25,6,12
104,2017-01-01,14,14
105,2017-01-08,13,15
106,2017-01-15,8,19
107,2017-01-22,14,18
108,2017-01-29,15,18
109,2017-02-05,9,18
110,2017-02-12,29,16
111,2017-02-19,15,17
112,2017-02-26,25,10
113,2017-03-05,44,17
114,2017-03-12,42,15
115,2017-03-19,27,14
116,2017-03-26,20,15
117,2017-04-02,18,15
118,2017-04-09,18,12
119,2017-04-16,22,17
120,2017-04-23,12,20
121,2017-04-30,12,16
122,2017-05-07,10,15
123,2017-05-14,12,17
124,2017-05-21,11,14
125,2017-05-28,12,14
126,2017-06-04,18,18
127,2017-06-11,12,12
128,2017-06-18,7,15
129,2017-06-25,11,14
130,2017-07-02,11,16
131,2017-07-09,15,12
132,2017-07-16,47,14
133,2017-07-23,12,8
134,2017-07-30,13,14
135,2017-08-06,13,16
136,2017-08-13,14,22
137,2017-08-20,11,24
138,2017-08-27,14,15
139,2017-09-03,9,19
140,2017-09-10,9,18
141,2017-09-17,14,15
142,2017-09-24,10,22
143,2017-10-01,12,18
144,2017-10-08,17,19
145,2017-10-15,35,17
146,2017-10-22,18,20
147,2017-10-29,12,17
148,2017-11-05,18,16
149,2017-11-12,15,17
150,2017-11-19,10,10
151,2017-11-26,15,18
152,2017-12-03,24,16
153,2017-12-10,29,15
154,2017-12-17,32,15
155,2017-12-24,26,11
156,2017-12-31,28,17
157,2018-01-07,22,18
158,2018-01-14,23,9
159,2018-01-21,32,18
160,2018-01-28,32,18
161,2018-02-04,17,19
162,2018-02-11,20,13
163,2018-02-18,18,18
164,2018-02-25,18,17
165,2018-03-04,18,20
166,2018-03-11,16,18
167,2018-03-18,15,15
168,2018-03-25,15,14
169,2018-04-01,11,14
170,2018-04-08,13,17
171,2018-04-15,13,17
172,2018-04-22,11,14
173,2018-04-29,8,13
174,2018-05-06,14,16
175,2018-05-13,14,16
176,2018-05-20,14,12
177,2018-05-27,11,10
178,2018-06-03,9,10
179,2018-06-10,11,11
180,2018-06-17,8,12
181,2018-06-24,14,13
182,2018-07-01,14,12
183,2018-07-08,14,12
184,2018-07-15,11,11
185,2018-07-22,12,12
186,2018-07-29,7,15
187,2018-08-05,8,17
188,2018-08-12,12,25
189,2018-08-19,10,26
190,2018-08-26,14,20
191,2018-09-02,9,19
192,2018-09-09,13,21
193,2018-09-16,17,24
194,2018-09-23,16,21
195,2018-09-30,13,19
196,2018-10-07,16,17
197,2018-10-14,19,12
198,2018-10-21,30,20
199,2018-10-28,100,18
200,2018-11-04,15,17
201,2018-11-11,11,15
202,2018-11-18,8,12
203,2018-11-25,7,16
204,2018-12-02,8,15
205,2018-12-09,6,13
206,2018-12-16,6,15
207,2018-12-23,8,8
208,2018-12-30,4,16
209,2019-01-06,7,18
210,2019-01-13,6,17
211,2019-01-20,6,16
212,2019-01-27,7,15
213,2019-02-03,8,19
214,2019-02-10,5,19
215,2019-02-17,8,12
216,2019-02-24,6,12
217,2019-03-03,6,11
218,2019-03-10,5,17
219,2019-03-17,8,15
220,2019-03-24,5,15
221,2019-03-31,5,15
222,2019-04-07,8,17
223,2019-04-14,6,10
224,2019-04-21,6,10
225,2019-04-28,6,18
226,2019-05-05,12,14
227,2019-05-12,8,13
228,2019-05-19,8,11
229,2019-05-26,7,11
230,2019-06-02,6,15
231,2019-06-09,5,11
232,2019-06-16,11,11
233,2019-06-23,6,14
234,2019-06-30,9,11
235,2019-07-07,15,12
236,2019-07-14,13,11
237,2019-07-21,10,14
238,2019-07-28,9,15
239,2019-08-04,8,9
240,2019-08-11,8,21
241,2019-08-18,7,23
242,2019-08-25,5,21
243,2019-09-01,7,18
244,2019-09-08,2,19
245,2019-09-15,3,19
246,2019-09-22,4,19
247,2019-09-29,6,17
248,2019-10-06,5,17
249,2019-10-13,7,13
250,2019-10-20,6,16
251,2019-10-27,4,15
252,2019-11-03,3,20
253,2019-11-10,5,15
254,2019-11-17,5,18
255,2019-11-24,7,10
256,2019-12-01,7,16
257,2019-12-08,3,15
258,2019-12-15,3,15
259,2019-12-22,10,13
260,2019-12-29,8,13
