,date,Guns N' Roses,Alphabet
0,2015-01-04,4,17
1,2015-01-11,2,28
2,2015-01-18,0,23
3,2015-01-25,3,20
4,2015-02-01,0,20
5,2015-02-08,5,19
6,2015-02-15,4,19
7,2015-02-22,0,16
8,2015-03-01,2,20
9,2015-03-08,2,18
10,2015-03-15,3,24
11,2015-03-22,3,11
12,2015-03-29,5,7
13,2015-04-05,0,18
14,2015-04-12,2,22
15,2015-04-19,2,20
16,2015-04-26,3,16
17,2015-05-03,4,19
18,2015-05-10,0,20
19,2015-05-17,6,21
20,2015-05-24,3,23
21,2015-05-31,6,9
22,2015-06-07,4,16
23,2015-06-14,6,16
24,2015-06-21,3,19
25,2015-06-28,2,17
26,2015-07-05,5,17
27,2015-07-12,5,14
28,2015-07-19,4,21
29,2015-07-26,0,20
30,2015-08-02,3,17
31,2015-08-09,4,39
32,2015-08-16,7,38
33,2015-08-23,7,23
34,2015-08-30,5,33
35,2015-09-06,2,28
36,2015-09-13,4,27
37,2015-09-20,6,34
38,2015-09-27,0,26
39,2015-10-04,7,28
40,2015-10-11,9,24
41,2015-10-18,2,23
42,2015-10-25,5,32
43,2015-11-01,3,18
44,2015-11-08,7,27
45,2015-11-15,4,31
46,2015-11-22,4,13
47,2015-11-29,2,23
48,2015-12-06,4,20
49,2015-12-13,0,19
50,2015-12-20,8,17
51,2015-12-27,11,13
52,2016-01-03,13,21
53,2016-01-10,10,12
54,2016-01-17,8,21
55,2016-01-24,5,24
56,2016-01-31,5,23
57,2016-02-07,4,14
58,2016-02-14,4,22
59,2016-02-21,7,19
60,2016-02-28,6,19
61,2016-03-06,6,17
62,2016-03-13,4,18
63,2016-03-20,12,18
64,2016-03-27,26,17
65,2016-04-03,61,19
66,2016-04-10,25,19
67,2016-04-17,22,17
68,2016-04-24,11,18
69,2016-05-01,8,15
70,2016-05-08,6,17
71,2016-05-15,9,15
72,2016-05-22,7,15
73,2016-05-29,6,13
74,2016-06-05,4,17
75,2016-06-12,11,14
76,2016-06-19,9,14
77,2016-06-26,10,18
78,2016-07-03,11,13
79,2016-07-10,14,16
80,2016-07-17,17,19
81,2016-07-24,39,15
82,2016-07-31,100,22
83,2016-08-07,10,22
84,2016-08-14,5,33
85,2016-08-21,5,30
86,2016-08-28,6,26
87,2016-09-04,5,16
88,2016-09-11,3,25
89,2016-09-18,5,23
90,2016-09-25,3,21
91,2016-10-02,5,18
92,2016-10-09,2,22
93,2016-10-16,4,21
94,2016-10-23,5,19
95,2016-10-30,4,21
96,2016-11-06,5,16
97,2016-11-13,4,21
98,2016-11-20,3,17
99,2016-11-27,5,22
100,2016-12-04,9,17
101,2016-12-11,4,14
102,2016-12-18,6,13
103,2016-12-25,4,15
104,2017-01-01,5,17
105,2017-01-08,5,18
106,2017-01-15,1,22
107,2017-01-22,4,21
108,2017-01-29,2,21
109,2017-02-05,1,22
110,2017-02-12,6,19
111,2017-02-19,3,20
112,2017-02-26,2,12
113,2017-03-05,5,20
114,2017-03-12,4,18
115,2017-03-19,1,17
116,2017-03-26,6,18
117,2017-04-02,2,18
118,2017-04-09,3,15
119,2017-04-16,3,20
120,2017-04-23,4,24
121,2017-04-30,3,19
122,2017-05-07,6,18
123,2017-05-14,4,20
124,2017-05-21,4,17
125,2017-05-28,8,17
126,2017-06-04,6,21
127,2017-06-11,3,15
128,2017-06-18,3,17
129,2017-06-25,3,17
130,2017-07-02,5,19
131,2017-07-09,9,14
132,2017-07-16,5,17
133,2017-07-23,4,10
134,2017-07-30,10,17
135,2017-08-06,8,20
136,2017-08-13,4,27
137,2017-08-20,5,28
138,2017-08-27,4,18
139,2017-09-03,3,23
140,2017-09-10,3,22
141,2017-09-17,3,18
142,2017-09-24,5,26
143,2017-10-01,4,21
144,2017-10-08,6,22
145,2017-10-15,6,20
146,2017-10-22,4,24
147,2017-10-29,1,20
148,2017-11-05,4,19
149,2017-11-12,2,20
150,2017-11-19,2,12
151,2017-11-26,3,22
152,2017-12-03,2,19
153,2017-12-10,4,18
154,2017-12-17,2,18
155,2017-12-24,2,13
156,2017-12-31,2,20
157,2018-01-07,3,22
158,2018-01-14,3,10
159,2018-01-21,6,21
160,2018-01-28,4,21
161,2018-02-04,4,23
162,2018-02-11,0,16
163,2018-02-18,1,21
164,2018-02-25,4,21
165,2018-03-04,2,24
166,2018-03-11,6,21
167,2018-03-18,8,18
168,2018-03-25,4,17
169,2018-04-01,4,17
170,2018-04-08,4,21
171,2018-04-15,0,20
172,2018-04-22,3,17
173,2018-04-29,6,15
174,2018-05-06,4,20
175,2018-05-13,1,19
176,2018-05-20,2,14
177,2018-05-27,3,12
178,2018-06-03,3,12
179,2018-06-10,3,13
180,2018-06-17,3,14
181,2018-06-24,4,16
182,2018-07-01,1,14
183,2018-07-08,5,14
184,2018-07-15,2,13
185,2018-07-22,6,15
186,2018-07-29,4,18
187,2018-08-05,4,20
188,2018-08-12,3,29
189,2018-08-19,3,31
190,2018-08-26,3,23
191,2018-09-02,4,23
192,2018-09-09,1,26
193,2018-09-16,2,28
194,2018-09-23,0,25
195,2018-09-30,3,23
196,2018-10-07,2,21
197,2018-10-14,2,14
198,2018-10-21,4,24
199,2018-10-28,4,22
200,2018-11-04,1,20
201,2018-11-11,3,17
202,2018-11-18,4,15
203,2018-11-25,3,19
204,2018-12-02,3,17
205,2018-12-09,2,16
206,2018-12-16,0,18
207,2018-12-23,3,9
208,2018-12-30,4,19
209,2019-01-06,2,21
210,2019-01-13,3,21
211,2019-01-20,1,19
212,2019-01-27,2,18
213,2019-02-03,2,22
214,2019-02-10,1,23
215,2019-02-17,4,14
216,2019-02-24,3,14
217,2019-03-03,1,13
218,2019-03-10,4,20
219,2019-03-17,1,18
220,2019-03-24,0,18
221,2019-03-31,5,17
222,2019-04-07,4,21
223,2019-04-14,3,12
224,2019-04-21,4,12
225,2019-04-28,4,22
