,date,Metallica,Alphabet
0,2015-01-04,11,41
1,2015-01-11,12,68
2,2015-01-18,16,57
3,2015-01-25,25,48
4,2015-02-01,10,49
5,2015-02-08,16,46
6,2015-02-15,11,46
7,2015-02-22,15,39
8,2015-03-01,14,50
9,2015-03-08,4,44
10,2015-03-15,14,59
11,2015-03-22,16,27
12,2015-03-29,0,16
13,2015-04-05,8,44
14,2015-04-12,0,53
15,2015-04-19,19,48
16,2015-04-26,8,39
17,2015-05-03,12,46
18,2015-05-10,14,49
19,2015-05-17,19,53
20,2015-05-24,12,56
21,2015-05-31,12,23
22,2015-06-07,19,38
23,2015-06-14,12,39
24,2015-06-21,18,46
25,2015-06-28,17,42
26,2015-07-05,17,41
27,2015-07-12,18,34
28,2015-07-19,23,53
29,2015-07-26,0,49
30,2015-08-02,9,41
31,2015-08-09,22,96
32,2015-08-16,10,92
33,2015-08-23,10,57
34,2015-08-30,0,82
35,2015-09-06,24,69
36,2015-09-13,12,67
37,2015-09-20,18,84
38,2015-09-27,17,64
39,2015-10-04,9,69
40,2015-10-11,17,59
41,2015-10-18,0,56
42,2015-10-25,12,78
43,2015-11-01,9,45
44,2015-11-08,23,66
45,2015-11-15,14,75
46,2015-11-22,8,33
47,2015-11-29,9,57
48,2015-12-06,12,48
49,2015-12-13,19,45
50,2015-12-20,9,41
51,2015-12-27,19,33
52,2016-01-03,15,51
53,2016-01-10,16,29
54,2016-01-17,9,51
55,2016-01-24,13,59
56,2016-01-31,13,58
57,2016-02-07,14,34
58,2016-02-14,9,55
59,2016-02-21,14,47
60,2016-02-28,23,46
61,2016-03-06,9,42
62,2016-03-13,9,44
63,2016-03-20,7,44
64,2016-03-27,9,43
65,2016-04-03,7,46
66,2016-04-10,15,46
67,2016-04-17,12,42
68,2016-04-24,14,44
69,2016-05-01,13,38
70,2016-05-08,23,43
71,2016-05-15,8,38
72,2016-05-22,9,37
73,2016-05-29,12,33
74,2016-06-05,11,42
75,2016-06-12,14,34
76,2016-06-19,13,35
77,2016-06-26,15,43
78,2016-07-03,9,32
79,2016-07-10,15,39
80,2016-07-17,12,46
81,2016-07-24,13,37
82,2016-07-31,26,54
83,2016-08-07,14,55
84,2016-08-14,28,82
85,2016-08-21,28,73
86,2016-08-28,19,64
87,2016-09-04,26,38
88,2016-09-11,17,63
