,date,U2,Alphabet
0,2015-01-04,4,16
1,2015-01-11,5,26
2,2015-01-18,4,22
3,2015-01-25,4,19
4,2015-02-01,10,19
5,2015-02-08,6,18
6,2015-02-15,4,18
7,2015-02-22,3,15
8,2015-03-01,3,19
9,2015-03-08,6,17
10,2015-03-15,3,23
11,2015-03-22,6,11
12,2015-03-29,6,6
13,2015-04-05,9,17
14,2015-04-12,2,21
15,2015-04-19,2,19
16,2015-04-26,2,15
17,2015-05-03,8,18
18,2015-05-10,7,19
19,2015-05-17,7,20
20,2015-05-24,9,22
21,2015-05-31,6,9
22,2015-06-07,8,15
23,2015-06-14,6,15
24,2015-06-21,3,18
25,2015-06-28,6,16
26,2015-07-05,3,16
27,2015-07-12,3,13
28,2015-07-19,4,20
29,2015-07-26,2,19
30,2015-08-02,4,16
31,2015-08-09,3,37
32,2015-08-16,5,36
33,2015-08-23,2,22
34,2015-08-30,4,32
35,2015-09-06,8,27
36,2015-09-13,0,26
37,2015-09-20,3,33
38,2015-09-27,4,25
39,2015-10-04,0,27
40,2015-10-11,0,23
41,2015-10-18,10,22
42,2015-10-25,2,30
43,2015-11-01,3,17
44,2015-11-08,13,25
45,2015-11-15,4,29
46,2015-11-22,3,13
47,2015-11-29,3,22
48,2015-12-06,4,19
49,2015-12-13,4,18
50,2015-12-20,3,16
51,2015-12-27,0,13
52,2016-01-03,4,20
53,2016-01-10,4,11
54,2016-01-17,1,20
55,2016-01-24,3,23
56,2016-01-31,4,22
57,2016-02-07,3,13
58,2016-02-14,4,21
59,2016-02-21,2,18
60,2016-02-28,4,18
61,2016-03-06,4,16
62,2016-03-13,2,17
63,2016-03-20,1,17
64,2016-03-27,2,17
65,2016-04-03,3,18
66,2016-04-10,3,18
67,2016-04-17,2,16
68,2016-04-24,6,17
69,2016-05-01,3,15
70,2016-05-08,4,17
71,2016-05-15,4,15
72,2016-05-22,0,14
73,2016-05-29,0,13
74,2016-06-05,1,16
75,2016-06-12,2,13
76,2016-06-19,2,14
77,2016-06-26,2,17
78,2016-07-03,0,13
79,2016-07-10,0,15
80,2016-07-17,0,18
81,2016-07-24,6,14
82,2016-07-31,0,21
83,2016-08-07,2,21
84,2016-08-14,3,32
85,2016-08-21,5,28
86,2016-08-28,1,25
87,2016-09-04,3,15
88,2016-09-11,3,24
89,2016-09-18,2,22
90,2016-09-25,7,20
91,2016-10-02,5,17
92,2016-10-09,2,21
93,2016-10-16,3,20
94,2016-10-23,2,18
95,2016-10-30,4,20
96,2016-11-06,1,15
97,2016-11-13,4,20
98,2016-11-20,5,16
99,2016-11-27,4,21
100,2016-12-04,0,16
101,2016-12-11,2,14
102,2016-12-18,0,13
103,2016-12-25,3,14
104,2017-01-01,3,16
105,2017-01-08,17,17
106,2017-01-15,7,21
107,2017-01-22,3,20
108,2017-01-29,3,20
109,2017-02-05,3,21
110,2017-02-12,2,19
111,2017-02-19,5,19
112,2017-02-26,6,11
113,2017-03-05,3,19
114,2017-03-12,5,17
115,2017-03-19,3,16
116,2017-03-26,3,17
117,2017-04-02,5,17
118,2017-04-09,3,14
119,2017-04-16,0,19
120,2017-04-23,4,23
121,2017-04-30,6,18
122,2017-05-07,4,17
123,2017-05-14,6,19
124,2017-05-21,15,16
125,2017-05-28,6,16
126,2017-06-04,7,20
127,2017-06-11,48,14
128,2017-06-18,13,17
129,2017-06-25,10,16
130,2017-07-02,7,18
131,2017-07-09,9,13
132,2017-07-16,5,16
133,2017-07-23,5,9
134,2017-07-30,7,16
135,2017-08-06,6,19
136,2017-08-13,7,25
137,2017-08-20,7,27
138,2017-08-27,8,17
139,2017-09-03,15,22
140,2017-09-10,100,21
141,2017-09-17,10,17
142,2017-09-24,4,24
143,2017-10-01,4,20
144,2017-10-08,3,21
145,2017-10-15,5,19
146,2017-10-22,3,23
147,2017-10-29,3,19
148,2017-11-05,2,18
149,2017-11-12,5,19
150,2017-11-19,3,11
151,2017-11-26,4,21
152,2017-12-03,1,19
153,2017-12-10,3,17
154,2017-12-17,4,17
155,2017-12-24,0,12
156,2017-12-31,3,19
157,2018-01-07,5,21
158,2018-01-14,5,10
159,2018-01-21,5,20
160,2018-01-28,9,20
161,2018-02-04,3,22
162,2018-02-11,2,15
163,2018-02-18,1,20
164,2018-02-25,2,20
165,2018-03-04,1,23
166,2018-03-11,3,20
167,2018-03-18,3,17
168,2018-03-25,0,16
169,2018-04-01,3,16
170,2018-04-08,1,20
171,2018-04-15,4,19
172,2018-04-22,3,16
173,2018-04-29,3,15
174,2018-05-06,4,19
175,2018-05-13,4,18
176,2018-05-20,2,13
177,2018-05-27,5,12
178,2018-06-03,3,12
179,2018-06-10,2,13
180,2018-06-17,3,13
181,2018-06-24,4,15
182,2018-07-01,2,14
183,2018-07-08,2,13
184,2018-07-15,3,12
185,2018-07-22,2,14
186,2018-07-29,3,17
187,2018-08-05,4,19
188,2018-08-12,2,28
189,2018-08-19,3,29
190,2018-08-26,3,22
191,2018-09-02,2,22
192,2018-09-09,3,24
193,2018-09-16,2,27
194,2018-09-23,1,23
195,2018-09-30,0,22
196,2018-10-07,3,20
197,2018-10-14,3,13
198,2018-10-21,2,22
199,2018-10-28,1,21
200,2018-11-04,1,19
201,2018-11-11,2,17
202,2018-11-18,3,14
203,2018-11-25,4,18
204,2018-12-02,2,16
205,2018-12-09,2,15
206,2018-12-16,2,17
207,2018-12-23,3,9
208,2018-12-30,3,18
209,2019-01-06,2,20
210,2019-01-13,2,20
211,2019-01-20,3,18
212,2019-01-27,2,17
213,2019-02-03,3,21
214,2019-02-10,4,21
215,2019-02-17,4,14
216,2019-02-24,3,13
217,2019-03-03,0,12
218,2019-03-10,1,19
219,2019-03-17,2,18
220,2019-03-24,3,17
221,2019-03-31,2,17
222,2019-04-07,4,20
223,2019-04-14,1,11
224,2019-04-21,0,12
225,2019-04-28,1,21
226,2019-05-05,3,16
227,2019-05-12,0,14
228,2019-05-19,2,13
229,2019-05-26,2,12
230,2019-06-02,3,17
231,2019-06-09,1,13
232,2019-06-16,1,12
233,2019-06-23,0,16
234,2019-06-30,2,13
235,2019-07-07,1,13
236,2019-07-14,2,13
237,2019-07-21,4,16
238,2019-07-28,2,17
239,2019-08-04,3,10
240,2019-08-11,3,24
241,2019-08-18,2,27
242,2019-08-25,2,24
243,2019-09-01,2,20
244,2019-09-08,2,22
245,2019-09-15,1,22
246,2019-09-22,3,22
247,2019-09-29,1,20
248,2019-10-06,3,19
249,2019-10-13,1,15
250,2019-10-20,4,19
251,2019-10-27,2,17
252,2019-11-03,1,23
253,2019-11-10,2,17
254,2019-11-17,3,20
255,2019-11-24,2,11
256,2019-12-01,2,19
257,2019-12-08,1,17
258,2019-12-15,2,17
259,2019-12-22,2,14
260,2019-12-29,1,15
