,date,Pink,Alphabet
0,2015-01-04,7,35
1,2015-01-11,5,40
2,2015-01-18,9,34
3,2015-01-25,7,36
4,2015-02-01,6,35
5,2015-02-08,8,39
6,2015-02-15,5,36
7,2015-02-22,9,49
8,2015-03-01,6,34
9,2015-03-08,7,35
10,2015-03-15,7,34
11,2015-03-22,11,40
12,2015-03-29,5,36
13,2015-04-05,7,31
14,2015-04-12,19,38
15,2015-04-19,3,33
16,2015-04-26,7,31
17,2015-05-03,7,30
18,2015-05-10,10,27
19,2015-05-17,9,35
20,2015-05-24,6,35
21,2015-05-31,6,34
22,2015-06-07,7,28
23,2015-06-14,6,32
24,2015-06-21,8,27
25,2015-06-28,8,30
26,2015-07-05,5,28
27,2015-07-12,7,30
28,2015-07-19,8,31
29,2015-07-26,5,27
30,2015-08-02,8,24
31,2015-08-09,7,95
32,2015-08-16,6,39
33,2015-08-23,6,36
34,2015-08-30,5,50
35,2015-09-06,12,48
36,2015-09-13,7,42
37,2015-09-20,6,42
38,2015-09-27,3,56
39,2015-10-04,6,51
40,2015-10-11,5,38
41,2015-10-18,7,43
42,2015-10-25,4,39
43,2015-11-01,9,43
44,2015-11-08,6,43
45,2015-11-15,6,45
46,2015-11-22,5,28
47,2015-11-29,7,38
48,2015-12-06,8,43
49,2015-12-13,4,31
50,2015-12-20,6,36
51,2015-12-27,6,34
52,2016-01-03,4,31
53,2016-01-10,4,33
54,2016-01-17,6,36
55,2016-01-24,7,39
56,2016-01-31,7,53
57,2016-02-07,7,35
58,2016-02-14,10,37
59,2016-02-21,6,39
60,2016-02-28,6,32
61,2016-03-06,9,31
62,2016-03-13,6,32
63,2016-03-20,6,35
64,2016-03-27,5,34
65,2016-04-03,6,37
66,2016-04-10,9,37
67,2016-04-17,8,33
68,2016-04-24,14,33
69,2016-05-01,14,32
70,2016-05-08,12,33
71,2016-05-15,13,36
72,2016-05-22,26,31
73,2016-05-29,15,27
74,2016-06-05,14,29
75,2016-06-12,10,29
76,2016-06-19,15,27
77,2016-06-26,10,28
78,2016-07-03,11,24
79,2016-07-10,11,25
80,2016-07-17,13,25
81,2016-07-24,17,31
