,date,The Rolling Stones,Alphabet
0,2015-01-04,7,24
1,2015-01-11,5,27
2,2015-01-18,7,23
3,2015-01-25,11,24
4,2015-02-01,3,24
5,2015-02-08,6,27
6,2015-02-15,9,25
7,2015-02-22,8,33
8,2015-03-01,10,23
9,2015-03-08,10,24
10,2015-03-15,10,23
11,2015-03-22,10,27
12,2015-03-29,21,25
13,2015-04-05,16,21
14,2015-04-12,11,26
15,2015-04-19,7,23
16,2015-04-26,10,21
17,2015-05-03,8,21
18,2015-05-10,8,19
19,2015-05-17,9,24
20,2015-05-24,12,24
21,2015-05-31,11,23
22,2015-06-07,13,19
23,2015-06-14,17,22
24,2015-06-21,13,19
25,2015-06-28,10,20
26,2015-07-05,12,19
27,2015-07-12,13,21
28,2015-07-19,8,21
29,2015-07-26,10,18
30,2015-08-02,9,17
31,2015-08-09,9,64
32,2015-08-16,7,26
33,2015-08-23,8,25
34,2015-08-30,12,34
35,2015-09-06,8,33
36,2015-09-13,9,29
37,2015-09-20,6,28
38,2015-09-27,8,38
39,2015-10-04,6,35
40,2015-10-11,8,26
41,2015-10-18,11,29
42,2015-10-25,9,27
43,2015-11-01,7,29
44,2015-11-08,9,29
45,2015-11-15,8,30
46,2015-11-22,8,19
47,2015-11-29,10,26
48,2015-12-06,8,29
49,2015-12-13,9,21
50,2015-12-20,8,25
51,2015-12-27,9,23
52,2016-01-03,7,21
53,2016-01-10,9,23
54,2016-01-17,7,24
55,2016-01-24,8,26
56,2016-01-31,8,36
57,2016-02-07,9,24
58,2016-02-14,9,25
59,2016-02-21,9,26
60,2016-02-28,11,22
61,2016-03-06,11,21
62,2016-03-13,9,22
63,2016-03-20,11,24
64,2016-03-27,9,23
65,2016-04-03,6,25
66,2016-04-10,8,25
67,2016-04-17,8,23
68,2016-04-24,11,23
69,2016-05-01,13,22
70,2016-05-08,8,23
71,2016-05-15,6,24
72,2016-05-22,13,21
73,2016-05-29,6,18
74,2016-06-05,8,20
75,2016-06-12,7,20
76,2016-06-19,9,18
77,2016-06-26,8,19
78,2016-07-03,7,16
79,2016-07-10,8,17
80,2016-07-17,9,17
81,2016-07-24,9,21
82,2016-07-31,6,23
83,2016-08-07,7,16
84,2016-08-14,6,20
85,2016-08-21,8,21
86,2016-08-28,6,23
87,2016-09-04,8,29
88,2016-09-11,7,30
89,2016-09-18,8,29
90,2016-09-25,6,27
91,2016-10-02,11,25
92,2016-10-09,10,24
93,2016-10-16,7,22
94,2016-10-23,15,26
95,2016-10-30,6,25
96,2016-11-06,7,21
97,2016-11-13,10,23
98,2016-11-20,8,18
99,2016-11-27,13,25
100,2016-12-04,13,26
101,2016-12-11,8,24
102,2016-12-18,8,24
103,2016-12-25,8,19
104,2017-01-01,10,21
105,2017-01-08,9,24
106,2017-01-15,9,25
107,2017-01-22,10,22
108,2017-01-29,7,29
109,2017-02-05,7,21
110,2017-02-12,11,27
111,2017-02-19,7,24
112,2017-02-26,7,24
113,2017-03-05,8,24
114,2017-03-12,10,22
115,2017-03-19,9,27
116,2017-03-26,7,24
117,2017-04-02,6,26
118,2017-04-09,5,21
119,2017-04-16,9,18
120,2017-04-23,10,23
121,2017-04-30,9,24
122,2017-05-07,11,25
123,2017-05-14,6,24
124,2017-05-21,9,23
125,2017-05-28,7,23
126,2017-06-04,7,25
127,2017-06-11,8,25
128,2017-06-18,6,21
129,2017-06-25,8,18
130,2017-07-02,8,19
131,2017-07-09,8,20
132,2017-07-16,9,16
133,2017-07-23,9,20
134,2017-07-30,7,20
135,2017-08-06,9,17
136,2017-08-13,8,19
137,2017-08-20,7,18
138,2017-08-27,8,23
139,2017-09-03,6,25
140,2017-09-10,11,33
141,2017-09-17,6,29
142,2017-09-24,9,26
143,2017-10-01,9,30
144,2017-10-08,6,28
145,2017-10-15,8,28
146,2017-10-22,7,30
147,2017-10-29,7,24
148,2017-11-05,6,29
149,2017-11-12,8,26
150,2017-11-19,9,22
151,2017-11-26,7,27
152,2017-12-03,7,26
153,2017-12-10,6,25
154,2017-12-17,7,22
155,2017-12-24,7,22
156,2017-12-31,7,19
157,2018-01-07,4,19
158,2018-01-14,6,23
159,2018-01-21,6,25
160,2018-01-28,8,27
161,2018-02-04,8,33
162,2018-02-11,9,30
163,2018-02-18,8,25
164,2018-02-25,10,29
165,2018-03-04,8,20
166,2018-03-11,8,21
167,2018-03-18,8,23
