,date,U2,Alphabet
0,2015-01-04,11,23
1,2015-01-11,8,26
2,2015-01-18,7,22
3,2015-01-25,10,23
4,2015-02-01,6,22
5,2015-02-08,9,26
6,2015-02-15,9,24
7,2015-02-22,7,32
8,2015-03-01,11,22
9,2015-03-08,9,22
10,2015-03-15,10,22
11,2015-03-22,6,26
12,2015-03-29,7,24
13,2015-04-05,7,20
14,2015-04-12,8,24
15,2015-04-19,7,22
16,2015-04-26,8,20
17,2015-05-03,15,20
18,2015-05-10,23,18
19,2015-05-17,16,23
20,2015-05-24,20,23
21,2015-05-31,14,22
22,2015-06-07,12,18
23,2015-06-14,11,21
24,2015-06-21,13,18
25,2015-06-28,23,19
26,2015-07-05,58,18
27,2015-07-12,100,20
28,2015-07-19,18,20
29,2015-07-26,19,17
30,2015-08-02,8,16
31,2015-08-09,11,61
32,2015-08-16,5,25
33,2015-08-23,10,23
34,2015-08-30,5,32
35,2015-09-06,8,31
36,2015-09-13,7,27
37,2015-09-20,7,27
38,2015-09-27,10,36
39,2015-10-04,10,33
40,2015-10-11,6,25
41,2015-10-18,8,28
42,2015-10-25,6,25
43,2015-11-01,6,28
44,2015-11-08,12,28
45,2015-11-15,7,29
46,2015-11-22,9,18
47,2015-11-29,4,24
48,2015-12-06,16,28
49,2015-12-13,11,20
50,2015-12-20,12,24
51,2015-12-27,9,22
52,2016-01-03,7,20
53,2016-01-10,6,22
54,2016-01-17,7,23
55,2016-01-24,5,25
56,2016-01-31,7,34
57,2016-02-07,8,23
58,2016-02-14,5,24
59,2016-02-21,6,25
60,2016-02-28,6,21
61,2016-03-06,5,20
62,2016-03-13,6,21
63,2016-03-20,7,23
64,2016-03-27,7,22
65,2016-04-03,6,24
66,2016-04-10,5,24
67,2016-04-17,5,22
68,2016-04-24,7,22
69,2016-05-01,7,21
70,2016-05-08,6,21
71,2016-05-15,5,23
72,2016-05-22,5,20
73,2016-05-29,5,17
74,2016-06-05,5,19
75,2016-06-12,5,19
76,2016-06-19,4,17
77,2016-06-26,6,18
78,2016-07-03,5,15
79,2016-07-10,4,16
80,2016-07-17,9,16
81,2016-07-24,7,20
82,2016-07-31,8,22
83,2016-08-07,5,15
84,2016-08-14,6,19
85,2016-08-21,7,20
86,2016-08-28,6,22
87,2016-09-04,6,27
88,2016-09-11,5,29
89,2016-09-18,8,28
90,2016-09-25,6,26
91,2016-10-02,8,24
92,2016-10-09,5,23
93,2016-10-16,4,21
94,2016-10-23,6,25
95,2016-10-30,5,24
96,2016-11-06,4,20
97,2016-11-13,4,22
98,2016-11-20,5,18
99,2016-11-27,4,24
100,2016-12-04,5,25
101,2016-12-11,7,23
102,2016-12-18,5,23
103,2016-12-25,7,18
104,2017-01-01,8,20
105,2017-01-08,56,23
106,2017-01-15,36,23
107,2017-01-22,10,21
108,2017-01-29,11,27
109,2017-02-05,8,20
110,2017-02-12,6,26
111,2017-02-19,11,23
112,2017-02-26,8,23
113,2017-03-05,10,22
114,2017-03-12,11,21
115,2017-03-19,10,26
116,2017-03-26,10,23
117,2017-04-02,7,24
118,2017-04-09,10,20
119,2017-04-16,9,17
120,2017-04-23,11,22
121,2017-04-30,10,23
122,2017-05-07,13,24
123,2017-05-14,19,22
124,2017-05-21,18,22
125,2017-05-28,17,22
126,2017-06-04,21,23
127,2017-06-11,22,24
128,2017-06-18,51,20
129,2017-06-25,98,17
130,2017-07-02,14,18
131,2017-07-09,11,19
132,2017-07-16,12,15
133,2017-07-23,11,19
134,2017-07-30,6,19
135,2017-08-06,8,17
136,2017-08-13,7,18
137,2017-08-20,7,17
138,2017-08-27,9,21
139,2017-09-03,14,24
140,2017-09-10,10,31
141,2017-09-17,8,28
142,2017-09-24,6,25
143,2017-10-01,6,28
144,2017-10-08,4,27
145,2017-10-15,7,27
146,2017-10-22,6,28
147,2017-10-29,14,23
148,2017-11-05,10,27
149,2017-11-12,14,25
150,2017-11-19,13,21
151,2017-11-26,13,26
152,2017-12-03,24,25
153,2017-12-10,13,24
154,2017-12-17,12,21
155,2017-12-24,12,21
156,2017-12-31,8,18
157,2018-01-07,6,18
158,2018-01-14,10,21
159,2018-01-21,8,24
160,2018-01-28,16,26
161,2018-02-04,8,31
162,2018-02-11,7,28
163,2018-02-18,6,23
164,2018-02-25,7,28
165,2018-03-04,8,19
166,2018-03-11,8,20
167,2018-03-18,9,22
168,2018-03-25,7,25
169,2018-04-01,9,26
170,2018-04-08,7,26
171,2018-04-15,7,24
172,2018-04-22,5,25
173,2018-04-29,12,23
174,2018-05-06,14,23
175,2018-05-13,11,20
176,2018-05-20,11,22
177,2018-05-27,14,24
178,2018-06-03,16,22
179,2018-06-10,23,20
180,2018-06-17,81,18
181,2018-06-24,23,17
182,2018-07-01,19,16
183,2018-07-08,8,19
184,2018-07-15,10,17
185,2018-07-22,7,21
186,2018-07-29,7,18
187,2018-08-05,7,18
188,2018-08-12,5,18
189,2018-08-19,5,20
190,2018-08-26,7,22
191,2018-09-02,8,23
192,2018-09-09,6,32
193,2018-09-16,5,30
194,2018-09-23,5,25
195,2018-09-30,5,25
196,2018-10-07,5,24
197,2018-10-14,6,25
198,2018-10-21,6,25
199,2018-10-28,7,23
200,2018-11-04,5,24
201,2018-11-11,6,24
202,2018-11-18,5,19
203,2018-11-25,5,26
204,2018-12-02,4,21
205,2018-12-09,5,22
206,2018-12-16,5,23
207,2018-12-23,6,20
208,2018-12-30,5,22
209,2019-01-06,4,24
210,2019-01-13,7,23
211,2019-01-20,5,23
212,2019-01-27,4,26
213,2019-02-03,7,28
214,2019-02-10,4,22
215,2019-02-17,6,25
216,2019-02-24,6,22
217,2019-03-03,6,23
218,2019-03-10,7,24
219,2019-03-17,6,23
220,2019-03-24,7,23
221,2019-03-31,6,23
222,2019-04-07,5,22
223,2019-04-14,3,18
224,2019-04-21,5,24
225,2019-04-28,5,25
226,2019-05-05,5,22
227,2019-05-12,5,23
228,2019-05-19,7,21
229,2019-05-26,7,23
230,2019-06-02,3,26
231,2019-06-09,5,18
232,2019-06-16,7,23
233,2019-06-23,3,20
234,2019-06-30,6,20
235,2019-07-07,5,18
236,2019-07-14,6,20
237,2019-07-21,4,21
238,2019-07-28,5,20
239,2019-08-04,5,18
240,2019-08-11,4,19
241,2019-08-18,8,22
242,2019-08-25,5,22
243,2019-09-01,5,25
244,2019-09-08,5,29
245,2019-09-15,5,25
246,2019-09-22,4,28
247,2019-09-29,6,29
248,2019-10-06,4,28
249,2019-10-13,3,26
250,2019-10-20,2,23
251,2019-10-27,5,30
252,2019-11-03,5,27
253,2019-11-10,6,29
254,2019-11-17,5,24
255,2019-11-24,6,21
256,2019-12-01,6,25
257,2019-12-08,6,26
258,2019-12-15,5,27
259,2019-12-22,5,22
260,2019-12-29,7,22
