,date,Bruno Mars,Alphabet
0,2015-01-04,20,25
1,2015-01-11,22,20
2,2015-01-18,23,24
3,2015-01-25,18,24
4,2015-02-01,28,27
5,2015-02-08,21,33
6,2015-02-15,18,23
7,2015-02-22,19,22
8,2015-03-01,14,24
9,2015-03-08,16,23
10,2015-03-15,13,24
11,2015-03-22,16,25
12,2015-03-29,16,25
13,2015-04-05,11,21
14,2015-04-12,13,26
15,2015-04-19,12,21
16,2015-04-26,10,17
17,2015-05-03,11,18
18,2015-05-10,9,18
19,2015-05-17,11,21
20,2015-05-24,12,26
21,2015-05-31,13,28
22,2015-06-07,8,21
23,2015-06-14,4,23
24,2015-06-21,6,12
25,2015-06-28,12,17
26,2015-07-05,12,21
27,2015-07-12,6,22
28,2015-07-19,11,22
29,2015-07-26,7,15
30,2015-08-02,8,17
31,2015-08-09,7,46
32,2015-08-16,9,23
33,2015-08-23,7,28
34,2015-08-30,12,37
35,2015-09-06,8,34
36,2015-09-13,8,32
37,2015-09-20,8,29
38,2015-09-27,6,31
39,2015-10-04,8,37
40,2015-10-11,3,28
41,2015-10-18,7,26
42,2015-10-25,12,28
43,2015-11-01,4,29
44,2015-11-08,6,29
45,2015-11-15,5,33
46,2015-11-22,10,24
47,2015-11-29,5,27
48,2015-12-06,6,28
49,2015-12-13,8,23
50,2015-12-20,5,19
51,2015-12-27,7,17
52,2016-01-03,5,21
53,2016-01-10,7,19
54,2016-01-17,6,20
55,2016-01-24,7,21
56,2016-01-31,12,27
57,2016-02-07,64,20
58,2016-02-14,18,26
59,2016-02-21,10,25
60,2016-02-28,4,26
61,2016-03-06,6,24
62,2016-03-13,5,16
63,2016-03-20,7,19
64,2016-03-27,8,22
65,2016-04-03,7,25
66,2016-04-10,5,24
67,2016-04-17,5,22
68,2016-04-24,6,21
69,2016-05-01,7,17
70,2016-05-08,5,22
71,2016-05-15,5,19
72,2016-05-22,7,21
73,2016-05-29,7,21
74,2016-06-05,6,18
75,2016-06-12,6,16
76,2016-06-19,7,17
77,2016-06-26,4,20
78,2016-07-03,6,16
79,2016-07-10,6,17
80,2016-07-17,6,19
81,2016-07-24,4,21
82,2016-07-31,5,22
83,2016-08-07,4,15
84,2016-08-14,6,19
85,2016-08-21,5,15
86,2016-08-28,4,34
87,2016-09-04,4,29
88,2016-09-11,5,29
89,2016-09-18,6,23
90,2016-09-25,7,24
91,2016-10-02,15,20
92,2016-10-09,29,17
93,2016-10-16,25,22
94,2016-10-23,18,25
95,2016-10-30,13,20
96,2016-11-06,11,21
97,2016-11-13,28,26
98,2016-11-20,54,21
99,2016-11-27,26,24
100,2016-12-04,30,25
101,2016-12-11,48,21
102,2016-12-18,30,25
103,2016-12-25,35,20
104,2017-01-01,20,22
105,2017-01-08,14,23
106,2017-01-15,15,24
107,2017-01-22,16,20
108,2017-01-29,12,21
109,2017-02-05,20,25
110,2017-02-12,100,27
111,2017-02-19,29,17
112,2017-02-26,33,26
113,2017-03-05,38,23
114,2017-03-12,25,24
115,2017-03-19,28,21
116,2017-03-26,28,23
117,2017-04-02,22,21
118,2017-04-09,26,19
119,2017-04-16,23,19
120,2017-04-23,32,24
121,2017-04-30,29,26
122,2017-05-07,28,23
123,2017-05-14,26,24
124,2017-05-21,30,18
125,2017-05-28,29,24
126,2017-06-04,21,21
127,2017-06-11,25,15
