,date,Coldplay,Alphabet
0,2015-01-04,7,24
1,2015-01-11,7,20
2,2015-01-18,4,23
3,2015-01-25,8,24
4,2015-02-01,3,27
5,2015-02-08,9,33
6,2015-02-15,7,23
7,2015-02-22,7,22
8,2015-03-01,4,23
9,2015-03-08,4,22
10,2015-03-15,5,24
11,2015-03-22,5,25
12,2015-03-29,1,25
13,2015-04-05,5,21
14,2015-04-12,1,25
15,2015-04-19,1,20
16,2015-04-26,6,17
17,2015-05-03,5,18
18,2015-05-10,7,18
19,2015-05-17,9,21
20,2015-05-24,6,25
21,2015-05-31,5,27
22,2015-06-07,6,21
23,2015-06-14,4,23
24,2015-06-21,2,11
25,2015-06-28,5,16
26,2015-07-05,5,21
27,2015-07-12,5,21
28,2015-07-19,5,22
29,2015-07-26,4,15
30,2015-08-02,5,17
31,2015-08-09,4,45
32,2015-08-16,7,22
33,2015-08-23,3,27
34,2015-08-30,4,37
35,2015-09-06,7,33
36,2015-09-13,4,32
37,2015-09-20,5,29
38,2015-09-27,6,31
39,2015-10-04,3,37
40,2015-10-11,5,27
41,2015-10-18,4,26
42,2015-10-25,6,27
43,2015-11-01,7,28
44,2015-11-08,7,29
45,2015-11-15,5,32
46,2015-11-22,16,23
47,2015-11-29,20,27
48,2015-12-06,12,27
49,2015-12-13,12,22
50,2015-12-20,12,18
51,2015-12-27,10,16
52,2016-01-03,8,20
53,2016-01-10,7,19
54,2016-01-17,9,20
55,2016-01-24,16,20
56,2016-01-31,31,26
57,2016-02-07,100,20
58,2016-02-14,12,26
59,2016-02-21,9,25
60,2016-02-28,7,25
61,2016-03-06,6,24
62,2016-03-13,7,16
63,2016-03-20,7,19
64,2016-03-27,7,22
65,2016-04-03,8,24
66,2016-04-10,9,23
67,2016-04-17,6,22
68,2016-04-24,7,20
69,2016-05-01,8,16
70,2016-05-08,5,21
71,2016-05-15,6,18
72,2016-05-22,6,21
73,2016-05-29,8,21
74,2016-06-05,4,18
75,2016-06-12,8,15
76,2016-06-19,8,17
77,2016-06-26,8,20
78,2016-07-03,6,15
79,2016-07-10,10,16
80,2016-07-17,15,19
81,2016-07-24,7,20
82,2016-07-31,15,22
83,2016-08-07,12,15
84,2016-08-14,6,18
85,2016-08-21,5,15
86,2016-08-28,9,33
87,2016-09-04,8,29
88,2016-09-11,5,29
89,2016-09-18,5,23
90,2016-09-25,3,24
91,2016-10-02,9,19
92,2016-10-09,15,17
93,2016-10-16,7,22
94,2016-10-23,6,24
