,date,Guns N' Roses,Alphabet
0,2015-01-04,6,46
1,2015-01-11,8,38
2,2015-01-18,7,44
3,2015-01-25,5,45
4,2015-02-01,3,51
5,2015-02-08,8,62
6,2015-02-15,6,43
7,2015-02-22,5,41
8,2015-03-01,7,44
9,2015-03-08,5,43
10,2015-03-15,7,45
11,2015-03-22,6,47
12,2015-03-29,10,47
13,2015-04-05,6,40
14,2015-04-12,3,48
15,2015-04-19,6,39
16,2015-04-26,3,32
17,2015-05-03,7,34
18,2015-05-10,7,33
19,2015-05-17,5,39
20,2015-05-24,5,48
21,2015-05-31,3,52
22,2015-06-07,6,39
23,2015-06-14,5,43
24,2015-06-21,11,22
25,2015-06-28,5,31
26,2015-07-05,2,39
27,2015-07-12,0,41
28,2015-07-19,5,42
29,2015-07-26,8,28
30,2015-08-02,7,32
31,2015-08-09,4,86
32,2015-08-16,5,42
33,2015-08-23,6,52
34,2015-08-30,7,70
35,2015-09-06,10,64
36,2015-09-13,4,60
37,2015-09-20,6,55
38,2015-09-27,4,58
39,2015-10-04,6,70
40,2015-10-11,9,52
41,2015-10-18,8,49
42,2015-10-25,7,52
43,2015-11-01,4,54
44,2015-11-08,13,55
45,2015-11-15,14,61
46,2015-11-22,3,44
47,2015-11-29,10,51
48,2015-12-06,6,52
49,2015-12-13,7,43
50,2015-12-20,10,35
51,2015-12-27,21,31
52,2016-01-03,19,38
53,2016-01-10,12,36
54,2016-01-17,13,38
55,2016-01-24,8,39
56,2016-01-31,9,50
57,2016-02-07,9,38
58,2016-02-14,7,49
59,2016-02-21,4,47
60,2016-02-28,10,48
61,2016-03-06,7,46
62,2016-03-13,9,30
63,2016-03-20,15,36
64,2016-03-27,44,42
65,2016-04-03,85,46
66,2016-04-10,35,45
67,2016-04-17,33,42
68,2016-04-24,24,39
69,2016-05-01,15,31
70,2016-05-08,18,41
71,2016-05-15,16,35
72,2016-05-22,18,39
73,2016-05-29,17,40
74,2016-06-05,17,34
75,2016-06-12,20,29
76,2016-06-19,47,32
77,2016-06-26,100,38
78,2016-07-03,31,29
79,2016-07-10,21,31
80,2016-07-17,25,35
81,2016-07-24,15,38
82,2016-07-31,9,42
83,2016-08-07,11,28
84,2016-08-14,14,35
85,2016-08-21,13,29
86,2016-08-28,10,63
87,2016-09-04,10,54
88,2016-09-11,2,54
89,2016-09-18,7,43
90,2016-09-25,6,45
91,2016-10-02,5,37
92,2016-10-09,8,32
93,2016-10-16,6,42
94,2016-10-23,8,46
95,2016-10-30,13,38
96,2016-11-06,10,40
97,2016-11-13,8,49
98,2016-11-20,11,39
99,2016-11-27,4,45
100,2016-12-04,14,48
101,2016-12-11,10,40
102,2016-12-18,9,47
103,2016-12-25,11,38
104,2017-01-01,5,42
105,2017-01-08,6,42
106,2017-01-15,11,44
107,2017-01-22,6,37
108,2017-01-29,8,40
109,2017-02-05,7,47
110,2017-02-12,10,50
111,2017-02-19,8,32
112,2017-02-26,8,48
113,2017-03-05,6,44
114,2017-03-12,9,44
115,2017-03-19,9,40
116,2017-03-26,8,43
117,2017-04-02,8,39
118,2017-04-09,8,35
119,2017-04-16,6,36
120,2017-04-23,7,44
121,2017-04-30,8,49
122,2017-05-07,10,43
123,2017-05-14,10,44
124,2017-05-21,11,34
125,2017-05-28,11,45
126,2017-06-04,8,38
127,2017-06-11,9,28
128,2017-06-18,8,37
129,2017-06-25,11,26
130,2017-07-02,9,29
131,2017-07-09,11,36
132,2017-07-16,9,27
133,2017-07-23,27,31
134,2017-07-30,16,34
135,2017-08-06,17,36
136,2017-08-13,26,32
137,2017-08-20,7,32
138,2017-08-27,11,44
139,2017-09-03,8,38
140,2017-09-10,16,52
141,2017-09-17,12,47
142,2017-09-24,11,57
143,2017-10-01,16,49
144,2017-10-08,20,41
145,2017-10-15,42,40
146,2017-10-22,12,43
147,2017-10-29,6,43
148,2017-11-05,7,47
149,2017-11-12,9,45
150,2017-11-19,4,45
151,2017-11-26,6,49
152,2017-12-03,3,50
153,2017-12-10,5,45
154,2017-12-17,7,41
155,2017-12-24,7,30
156,2017-12-31,4,36
157,2018-01-07,7,46
158,2018-01-14,5,38
159,2018-01-21,6,41
160,2018-01-28,5,57
161,2018-02-04,3,49
162,2018-02-11,5,45
163,2018-02-18,9,40
164,2018-02-25,6,46
165,2018-03-04,8,47
166,2018-03-11,10,39
167,2018-03-18,9,40
168,2018-03-25,9,42
169,2018-04-01,5,43
170,2018-04-08,3,40
171,2018-04-15,2,45
172,2018-04-22,5,41
173,2018-04-29,11,34
174,2018-05-06,9,38
175,2018-05-13,11,42
176,2018-05-20,9,41
177,2018-05-27,7,40
178,2018-06-03,4,37
179,2018-06-10,7,38
180,2018-06-17,7,42
181,2018-06-24,7,32
182,2018-07-01,7,32
183,2018-07-08,7,37
184,2018-07-15,6,36
185,2018-07-22,12,40
186,2018-07-29,6,38
187,2018-08-05,11,33
188,2018-08-12,6,35
189,2018-08-19,9,38
190,2018-08-26,8,44
191,2018-09-02,4,53
192,2018-09-09,4,54
193,2018-09-16,5,54
194,2018-09-23,5,62
195,2018-09-30,6,46
196,2018-10-07,5,56
197,2018-10-14,8,40
198,2018-10-21,6,52
199,2018-10-28,6,46
200,2018-11-04,8,35
201,2018-11-11,3,45
202,2018-11-18,8,37
203,2018-11-25,10,41
204,2018-12-02,5,39
205,2018-12-09,6,39
206,2018-12-16,5,44
207,2018-12-23,2,32
208,2018-12-30,3,36
209,2019-01-06,0,0
210,2019-01-13,4,38
211,2019-01-20,0,0
212,2019-01-27,0,0
213,2019-02-03,4,48
214,2019-02-10,0,0
215,2019-02-17,0,0
216,2019-02-24,0,0
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,0,0
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,0,0
223,2019-04-14,0,0
224,2019-04-21,0,0
225,2019-04-28,0,0
226,2019-05-05,0,0
227,2019-05-12,6,36
228,2019-05-19,0,0
229,2019-05-26,0,0
230,2019-06-02,4,50
231,2019-06-09,3,32
232,2019-06-16,0,0
233,2019-06-23,0,0
234,2019-06-30,0,0
235,2019-07-07,0,0
236,2019-07-14,0,0
237,2019-07-21,4,35
238,2019-07-28,0,0
239,2019-08-04,0,0
240,2019-08-11,0,0
241,2019-08-18,0,0
242,2019-08-25,0,0
243,2019-09-01,5,45
244,2019-09-08,0,0
245,2019-09-15,5,53
246,2019-09-22,0,0
247,2019-09-29,0,0
248,2019-10-06,0,0
249,2019-10-13,0,0
250,2019-10-20,0,0
251,2019-10-27,0,0
252,2019-11-03,0,0
253,2019-11-10,0,0
254,2019-11-17,0,0
255,2019-11-24,0,0
256,2019-12-01,5,51
257,2019-12-08,0,0
258,2019-12-15,0,0
259,2019-12-22,4,35
260,2019-12-29,0,0
