,date,U2,Alphabet
0,2015-01-04,12,35
1,2015-01-11,14,29
2,2015-01-18,12,34
3,2015-01-25,10,34
4,2015-02-01,10,39
5,2015-02-08,9,48
6,2015-02-15,9,33
7,2015-02-22,6,32
8,2015-03-01,10,34
9,2015-03-08,12,33
10,2015-03-15,7,35
11,2015-03-22,8,36
12,2015-03-29,10,36
13,2015-04-05,6,30
14,2015-04-12,4,37
15,2015-04-19,15,30
16,2015-04-26,6,25
17,2015-05-03,11,26
18,2015-05-10,19,26
19,2015-05-17,10,30
20,2015-05-24,20,37
21,2015-05-31,11,40
22,2015-06-07,11,30
23,2015-06-14,8,33
24,2015-06-21,8,17
25,2015-06-28,6,24
26,2015-07-05,8,30
27,2015-07-12,9,31
28,2015-07-19,14,32
29,2015-07-26,15,22
30,2015-08-02,10,24
31,2015-08-09,9,66
32,2015-08-16,5,32
33,2015-08-23,11,40
34,2015-08-30,5,53
35,2015-09-06,9,49
36,2015-09-13,8,46
37,2015-09-20,9,42
38,2015-09-27,12,45
39,2015-10-04,8,54
40,2015-10-11,5,40
41,2015-10-18,6,38
42,2015-10-25,13,40
43,2015-11-01,8,42
44,2015-11-08,12,42
45,2015-11-15,12,47
46,2015-11-22,11,34
47,2015-11-29,5,39
48,2015-12-06,15,40
49,2015-12-13,10,33
50,2015-12-20,10,27
51,2015-12-27,7,24
52,2016-01-03,7,30
53,2016-01-10,5,27
54,2016-01-17,7,29
55,2016-01-24,7,30
56,2016-01-31,4,38
57,2016-02-07,7,29
58,2016-02-14,4,38
59,2016-02-21,6,36
60,2016-02-28,5,37
61,2016-03-06,5,35
62,2016-03-13,8,23
63,2016-03-20,5,28
64,2016-03-27,7,32
65,2016-04-03,8,36
66,2016-04-10,5,34
67,2016-04-17,7,32
68,2016-04-24,4,30
69,2016-05-01,4,24
70,2016-05-08,5,31
71,2016-05-15,5,27
72,2016-05-22,5,30
73,2016-05-29,3,31
74,2016-06-05,5,26
75,2016-06-12,5,22
76,2016-06-19,4,24
77,2016-06-26,0,29
78,2016-07-03,4,23
79,2016-07-10,3,24
80,2016-07-17,8,27
81,2016-07-24,4,29
82,2016-07-31,3,32
83,2016-08-07,4,21
84,2016-08-14,5,27
85,2016-08-21,2,22
86,2016-08-28,4,49
87,2016-09-04,2,42
88,2016-09-11,4,42
89,2016-09-18,6,33
90,2016-09-25,6,35
91,2016-10-02,3,28
92,2016-10-09,5,25
93,2016-10-16,7,32
94,2016-10-23,5,35
95,2016-10-30,3,29
96,2016-11-06,3,31
97,2016-11-13,4,37
98,2016-11-20,2,30
99,2016-11-27,7,34
100,2016-12-04,4,37
101,2016-12-11,6,31
102,2016-12-18,5,36
103,2016-12-25,11,29
104,2017-01-01,7,32
105,2017-01-08,53,32
106,2017-01-15,37,34
107,2017-01-22,11,28
108,2017-01-29,12,30
109,2017-02-05,8,36
110,2017-02-12,9,38
111,2017-02-19,9,25
112,2017-02-26,8,37
113,2017-03-05,9,33
114,2017-03-12,9,34
115,2017-03-19,13,31
116,2017-03-26,8,33
117,2017-04-02,9,30
