,date,Bruno Mars,Alphabet
0,2015-01-04,25,34
1,2015-01-11,40,41
2,2015-01-18,45,42
3,2015-01-25,21,35
4,2015-02-01,43,31
5,2015-02-08,48,42
6,2015-02-15,30,25
7,2015-02-22,34,36
8,2015-03-01,35,36
9,2015-03-08,37,46
10,2015-03-15,13,35
11,2015-03-22,19,28
12,2015-03-29,24,22
13,2015-04-05,27,26
14,2015-04-12,16,44
15,2015-04-19,14,16
16,2015-04-26,6,33
17,2015-05-03,13,27
18,2015-05-10,8,18
19,2015-05-17,18,38
20,2015-05-24,17,33
21,2015-05-31,8,36
22,2015-06-07,0,32
23,2015-06-14,34,30
24,2015-06-21,14,23
25,2015-06-28,11,19
26,2015-07-05,25,30
27,2015-07-12,11,31
28,2015-07-19,13,19
29,2015-07-26,8,34
30,2015-08-02,0,22
31,2015-08-09,10,35
32,2015-08-16,0,44
33,2015-08-23,21,46
34,2015-08-30,15,52
35,2015-09-06,14,29
36,2015-09-13,0,29
37,2015-09-20,0,41
38,2015-09-27,0,43
39,2015-10-04,9,30
40,2015-10-11,0,48
41,2015-10-18,0,43
42,2015-10-25,0,33
43,2015-11-01,5,28
44,2015-11-08,9,37
45,2015-11-15,9,38
46,2015-11-22,0,41
47,2015-11-29,0,40
48,2015-12-06,0,49
49,2015-12-13,14,34
50,2015-12-20,0,34
51,2015-12-27,8,33
52,2016-01-03,18,27
53,2016-01-10,0,20
54,2016-01-17,9,33
55,2016-01-24,16,41
56,2016-01-31,21,49
57,2016-02-07,70,32
58,2016-02-14,19,27
59,2016-02-21,8,40
60,2016-02-28,11,38
61,2016-03-06,0,11
62,2016-03-13,10,41
63,2016-03-20,10,32
64,2016-03-27,11,31
65,2016-04-03,19,36
66,2016-04-10,0,30
67,2016-04-17,10,24
68,2016-04-24,15,23
69,2016-05-01,0,25
70,2016-05-08,20,35
71,2016-05-15,8,24
72,2016-05-22,0,32
73,2016-05-29,8,44
74,2016-06-05,7,35
75,2016-06-12,11,21
76,2016-06-19,10,33
77,2016-06-26,9,33
78,2016-07-03,7,20
79,2016-07-10,0,24
80,2016-07-17,0,20
81,2016-07-24,15,32
82,2016-07-31,10,29
83,2016-08-07,0,23
84,2016-08-14,12,31
85,2016-08-21,9,33
86,2016-08-28,10,16
87,2016-09-04,0,46
88,2016-09-11,7,36
89,2016-09-18,0,33
90,2016-09-25,10,31
91,2016-10-02,18,31
92,2016-10-09,26,32
93,2016-10-16,27,29
94,2016-10-23,11,27
95,2016-10-30,20,41
96,2016-11-06,8,43
97,2016-11-13,18,26
98,2016-11-20,58,28
99,2016-11-27,16,30
100,2016-12-04,17,17
101,2016-12-11,41,38
102,2016-12-18,27,22
103,2016-12-25,19,38
104,2017-01-01,21,31
105,2017-01-08,16,41
106,2017-01-15,0,31
107,2017-01-22,16,45
108,2017-01-29,0,38
109,2017-02-05,20,35
110,2017-02-12,100,45
111,2017-02-19,35,30
112,2017-02-26,27,42
113,2017-03-05,35,29
114,2017-03-12,34,36
115,2017-03-19,25,24
116,2017-03-26,28,30
117,2017-04-02,20,34
118,2017-04-09,23,25
119,2017-04-16,16,42
120,2017-04-23,16,42
121,2017-04-30,19,25
122,2017-05-07,27,39
123,2017-05-14,8,39
124,2017-05-21,12,62
125,2017-05-28,31,46
126,2017-06-04,11,27
127,2017-06-11,32,29
128,2017-06-18,15,32
129,2017-06-25,30,19
130,2017-07-02,24,21
131,2017-07-09,10,17
132,2017-07-16,15,22
133,2017-07-23,16,27
134,2017-07-30,19,14
135,2017-08-06,21,27
136,2017-08-13,16,28
137,2017-08-20,0,24
138,2017-08-27,16,31
139,2017-09-03,21,20
140,2017-09-10,9,49
141,2017-09-17,17,66
142,2017-09-24,16,34
143,2017-10-01,37,17
144,2017-10-08,20,50
145,2017-10-15,10,36
146,2017-10-22,18,51
147,2017-10-29,27,29
148,2017-11-05,9,38
149,2017-11-12,12,50
150,2017-11-19,6,45
151,2017-11-26,22,38
152,2017-12-03,19,28
153,2017-12-10,11,32
154,2017-12-17,5,43
155,2017-12-24,17,23
156,2017-12-31,28,22
157,2018-01-07,19,34
158,2018-01-14,21,23
159,2018-01-21,42,40
160,2018-01-28,77,21
161,2018-02-04,38,31
162,2018-02-11,30,39
163,2018-02-18,13,27
164,2018-02-25,28,43
165,2018-03-04,18,39
166,2018-03-11,21,28
167,2018-03-18,26,53
168,2018-03-25,0,39
169,2018-04-01,4,28
170,2018-04-08,21,27
171,2018-04-15,15,40
172,2018-04-22,15,35
173,2018-04-29,20,37
174,2018-05-06,15,36
175,2018-05-13,12,33
176,2018-05-20,18,24
177,2018-05-27,9,21
178,2018-06-03,0,34
179,2018-06-10,0,19
180,2018-06-17,8,29
181,2018-06-24,18,22
182,2018-07-01,12,21
183,2018-07-08,8,35
184,2018-07-15,15,34
185,2018-07-22,13,15
186,2018-07-29,15,24
187,2018-08-05,0,23
188,2018-08-12,8,22
189,2018-08-19,8,20
190,2018-08-26,9,29
191,2018-09-02,8,30
192,2018-09-09,20,36
193,2018-09-16,7,37
194,2018-09-23,9,33
195,2018-09-30,18,54
196,2018-10-07,13,25
197,2018-10-14,8,39
198,2018-10-21,10,35
199,2018-10-28,13,39
200,2018-11-04,11,29
201,2018-11-11,14,28
202,2018-11-18,7,20
203,2018-11-25,17,32
204,2018-12-02,13,46
205,2018-12-09,7,33
206,2018-12-16,7,24
207,2018-12-23,0,29
208,2018-12-30,10,31
209,2019-01-06,7,31
210,2019-01-13,4,44
211,2019-01-20,16,31
212,2019-01-27,8,45
213,2019-02-03,6,37
214,2019-02-10,7,44
215,2019-02-17,15,14
216,2019-02-24,10,51
217,2019-03-03,19,37
218,2019-03-10,4,27
219,2019-03-17,11,35
220,2019-03-24,8,47
221,2019-03-31,0,44
222,2019-04-07,0,27
223,2019-04-14,18,14
224,2019-04-21,5,37
225,2019-04-28,0,23
226,2019-05-05,5,24
227,2019-05-12,10,29
228,2019-05-19,15,57
229,2019-05-26,7,24
230,2019-06-02,8,29
231,2019-06-09,0,36
232,2019-06-16,15,23
233,2019-06-23,8,20
234,2019-06-30,8,16
235,2019-07-07,9,20
236,2019-07-14,15,20
237,2019-07-21,0,16
238,2019-07-28,10,25
239,2019-08-04,4,17
240,2019-08-11,10,30
241,2019-08-18,4,16
242,2019-08-25,7,28
243,2019-09-01,4,29
244,2019-09-08,4,32
245,2019-09-15,15,36
246,2019-09-22,10,30
247,2019-09-29,0,32
248,2019-10-06,8,50
249,2019-10-13,13,36
250,2019-10-20,12,31
251,2019-10-27,9,32
252,2019-11-03,8,39
253,2019-11-10,0,28
254,2019-11-17,15,33
255,2019-11-24,8,22
256,2019-12-01,11,26
257,2019-12-08,13,50
258,2019-12-15,5,38
259,2019-12-22,0,32
260,2019-12-29,0,29
