,date,Metallica,Alphabet
0,2015-01-04,0,44
1,2015-01-11,7,53
2,2015-01-18,27,54
3,2015-01-25,0,46
4,2015-02-01,13,40
5,2015-02-08,22,54
6,2015-02-15,0,32
7,2015-02-22,0,47
8,2015-03-01,31,47
9,2015-03-08,22,60
10,2015-03-15,21,45
11,2015-03-22,0,36
12,2015-03-29,14,28
13,2015-04-05,7,34
14,2015-04-12,28,57
15,2015-04-19,11,21
16,2015-04-26,12,44
17,2015-05-03,10,35
18,2015-05-10,0,24
19,2015-05-17,15,49
20,2015-05-24,0,42
21,2015-05-31,9,46
22,2015-06-07,12,41
23,2015-06-14,0,39
24,2015-06-21,8,29
25,2015-06-28,9,24
26,2015-07-05,9,40
27,2015-07-12,12,41
28,2015-07-19,17,24
29,2015-07-26,0,44
30,2015-08-02,0,28
31,2015-08-09,13,46
32,2015-08-16,17,57
33,2015-08-23,10,60
34,2015-08-30,28,67
35,2015-09-06,26,38
36,2015-09-13,0,37
37,2015-09-20,15,53
38,2015-09-27,11,56
39,2015-10-04,0,39
40,2015-10-11,0,62
41,2015-10-18,0,55
42,2015-10-25,8,43
43,2015-11-01,32,37
44,2015-11-08,18,48
45,2015-11-15,16,49
46,2015-11-22,0,53
47,2015-11-29,0,52
48,2015-12-06,24,64
49,2015-12-13,16,45
50,2015-12-20,0,44
51,2015-12-27,28,43
52,2016-01-03,6,35
53,2016-01-10,21,26
54,2016-01-17,0,43
55,2016-01-24,24,54
56,2016-01-31,10,64
57,2016-02-07,22,41
58,2016-02-14,14,36
59,2016-02-21,0,52
60,2016-02-28,16,49
61,2016-03-06,12,14
62,2016-03-13,16,53
63,2016-03-20,18,42
64,2016-03-27,24,41
65,2016-04-03,18,47
66,2016-04-10,24,39
67,2016-04-17,17,31
68,2016-04-24,9,31
69,2016-05-01,15,32
70,2016-05-08,0,46
71,2016-05-15,0,31
72,2016-05-22,23,42
73,2016-05-29,26,57
74,2016-06-05,20,45
75,2016-06-12,0,27
76,2016-06-19,9,44
77,2016-06-26,0,43
78,2016-07-03,9,26
79,2016-07-10,38,31
80,2016-07-17,0,26
81,2016-07-24,9,41
82,2016-07-31,15,38
83,2016-08-07,0,30
84,2016-08-14,24,41
85,2016-08-21,27,43
86,2016-08-28,35,21
87,2016-09-04,15,60
88,2016-09-11,29,47
89,2016-09-18,16,43
90,2016-09-25,21,41
91,2016-10-02,18,40
92,2016-10-09,17,42
93,2016-10-16,25,38
94,2016-10-23,10,36
95,2016-10-30,19,53
96,2016-11-06,25,56
97,2016-11-13,57,34
98,2016-11-20,23,37
99,2016-11-27,39,40
100,2016-12-04,15,22
101,2016-12-11,29,50
102,2016-12-18,24,29
103,2016-12-25,16,49
104,2017-01-01,14,40
105,2017-01-08,18,54
106,2017-01-15,15,40
107,2017-01-22,33,59
108,2017-01-29,26,50
109,2017-02-05,27,46
110,2017-02-12,100,58
111,2017-02-19,46,39
112,2017-02-26,31,55
113,2017-03-05,25,38
114,2017-03-12,24,46
115,2017-03-19,24,31
116,2017-03-26,30,40
117,2017-04-02,15,44
118,2017-04-09,46,33
119,2017-04-16,16,54
120,2017-04-23,31,55
121,2017-04-30,31,32
122,2017-05-07,23,51
123,2017-05-14,50,50
124,2017-05-21,36,80
125,2017-05-28,21,60
126,2017-06-04,19,35
127,2017-06-11,19,38
128,2017-06-18,18,42
129,2017-06-25,22,25
130,2017-07-02,7,28
131,2017-07-09,20,23
132,2017-07-16,6,29
133,2017-07-23,7,36
134,2017-07-30,25,18
135,2017-08-06,18,36
136,2017-08-13,0,37
137,2017-08-20,9,31
138,2017-08-27,15,40
139,2017-09-03,28,26
140,2017-09-10,0,63
141,2017-09-17,27,86
142,2017-09-24,8,44
143,2017-10-01,19,22
144,2017-10-08,10,65
145,2017-10-15,6,47
146,2017-10-22,9,67
147,2017-10-29,16,37
148,2017-11-05,9,49
149,2017-11-12,23,65
150,2017-11-19,13,58
151,2017-11-26,0,50
152,2017-12-03,19,36
153,2017-12-10,13,42
154,2017-12-17,17,57
155,2017-12-24,14,30
156,2017-12-31,11,28
157,2018-01-07,12,44
158,2018-01-14,27,31
159,2018-01-21,11,52
160,2018-01-28,22,28
161,2018-02-04,10,40
162,2018-02-11,23,51
163,2018-02-18,23,35
164,2018-02-25,15,56
165,2018-03-04,21,50
166,2018-03-11,11,36
167,2018-03-18,25,69
168,2018-03-25,31,51
169,2018-04-01,0,36
170,2018-04-08,9,36
171,2018-04-15,24,52
172,2018-04-22,19,46
173,2018-04-29,14,48
174,2018-05-06,15,46
175,2018-05-13,0,43
176,2018-05-20,25,31
177,2018-05-27,5,27
178,2018-06-03,0,44
179,2018-06-10,19,24
180,2018-06-17,22,38
181,2018-06-24,14,28
182,2018-07-01,11,27
183,2018-07-08,8,46
184,2018-07-15,23,44
185,2018-07-22,20,20
186,2018-07-29,11,31
187,2018-08-05,11,31
188,2018-08-12,29,28
189,2018-08-19,17,26
190,2018-08-26,15,37
191,2018-09-02,13,40
192,2018-09-09,25,47
193,2018-09-16,19,49
194,2018-09-23,7,44
195,2018-09-30,15,70
196,2018-10-07,24,32
197,2018-10-14,40,51
198,2018-10-21,7,46
199,2018-10-28,30,51
200,2018-11-04,25,38
201,2018-11-11,23,36
202,2018-11-18,12,27
203,2018-11-25,5,41
204,2018-12-02,24,60
205,2018-12-09,32,43
206,2018-12-16,0,31
207,2018-12-23,31,38
208,2018-12-30,11,40
209,2019-01-06,14,40
210,2019-01-13,11,57
211,2019-01-20,17,40
212,2019-01-27,19,58
213,2019-02-03,0,48
214,2019-02-10,26,58
215,2019-02-17,12,18
216,2019-02-24,8,66
217,2019-03-03,16,49
218,2019-03-10,12,36
219,2019-03-17,15,46
220,2019-03-24,9,61
221,2019-03-31,18,57
222,2019-04-07,7,35
223,2019-04-14,16,18
224,2019-04-21,13,48
225,2019-04-28,7,30
226,2019-05-05,25,31
227,2019-05-12,24,37
228,2019-05-19,16,74
229,2019-05-26,7,31
230,2019-06-02,24,38
231,2019-06-09,17,47
232,2019-06-16,16,29
233,2019-06-23,0,26
234,2019-06-30,11,21
235,2019-07-07,7,26
236,2019-07-14,12,26
237,2019-07-21,15,21
238,2019-07-28,21,33
239,2019-08-04,15,22
240,2019-08-11,21,39
241,2019-08-18,11,21
242,2019-08-25,14,36
243,2019-09-01,28,38
244,2019-09-08,17,42
245,2019-09-15,18,47
246,2019-09-22,26,39
247,2019-09-29,24,42
248,2019-10-06,9,65
249,2019-10-13,14,46
250,2019-10-20,14,41
251,2019-10-27,10,42
252,2019-11-03,14,51
253,2019-11-10,20,37
254,2019-11-17,13,42
255,2019-11-24,16,29
256,2019-12-01,12,34
257,2019-12-08,0,65
258,2019-12-15,13,49
259,2019-12-22,16,41
260,2019-12-29,10,38
