,date,Pink,Alphabet
0,2015-01-04,7,46
1,2015-01-11,13,56
2,2015-01-18,0,57
3,2015-01-25,0,48
4,2015-02-01,10,42
5,2015-02-08,15,57
6,2015-02-15,0,34
7,2015-02-22,10,49
8,2015-03-01,0,50
9,2015-03-08,10,64
10,2015-03-15,0,48
11,2015-03-22,18,38
12,2015-03-29,23,30
13,2015-04-05,14,37
14,2015-04-12,31,60
15,2015-04-19,21,22
16,2015-04-26,12,46
17,2015-05-03,8,37
18,2015-05-10,0,25
19,2015-05-17,8,52
20,2015-05-24,14,45
21,2015-05-31,0,49
22,2015-06-07,14,44
23,2015-06-14,23,41
24,2015-06-21,10,31
25,2015-06-28,0,26
26,2015-07-05,11,42
27,2015-07-12,14,43
28,2015-07-19,0,26
29,2015-07-26,18,47
30,2015-08-02,0,30
31,2015-08-09,0,49
32,2015-08-16,19,61
33,2015-08-23,18,64
34,2015-08-30,17,71
35,2015-09-06,32,40
36,2015-09-13,13,39
37,2015-09-20,20,56
38,2015-09-27,10,60
39,2015-10-04,17,42
40,2015-10-11,21,66
41,2015-10-18,0,59
42,2015-10-25,0,45
43,2015-11-01,21,39
44,2015-11-08,0,51
45,2015-11-15,16,52
46,2015-11-22,0,56
47,2015-11-29,0,55
48,2015-12-06,0,68
49,2015-12-13,21,47
50,2015-12-20,20,47
51,2015-12-27,21,46
52,2016-01-03,11,37
53,2016-01-10,0,27
54,2016-01-17,0,46
55,2016-01-24,7,57
56,2016-01-31,11,68
57,2016-02-07,12,44
58,2016-02-14,0,38
59,2016-02-21,12,55
60,2016-02-28,12,52
61,2016-03-06,0,15
62,2016-03-13,22,56
63,2016-03-20,9,45
64,2016-03-27,8,43
65,2016-04-03,16,50
66,2016-04-10,10,41
67,2016-04-17,33,33
68,2016-04-24,17,32
69,2016-05-01,22,34
70,2016-05-08,24,48
71,2016-05-15,22,33
72,2016-05-22,33,44
73,2016-05-29,27,60
74,2016-06-05,23,48
75,2016-06-12,14,28
76,2016-06-19,13,46
77,2016-06-26,15,46
78,2016-07-03,12,28
79,2016-07-10,14,33
80,2016-07-17,19,27
81,2016-07-24,17,43
82,2016-07-31,11,41
83,2016-08-07,0,32
84,2016-08-14,23,43
85,2016-08-21,7,45
86,2016-08-28,18,22
87,2016-09-04,20,64
88,2016-09-11,0,50
89,2016-09-18,44,46
90,2016-09-25,10,43
91,2016-10-02,0,43
92,2016-10-09,8,45
93,2016-10-16,22,40
94,2016-10-23,0,38
95,2016-10-30,0,57
96,2016-11-06,21,59
97,2016-11-13,8,37
98,2016-11-20,13,39
99,2016-11-27,19,42
100,2016-12-04,15,23
101,2016-12-11,9,53
102,2016-12-18,10,31
103,2016-12-25,28,52
104,2017-01-01,10,42
105,2017-01-08,20,57
106,2017-01-15,11,43
107,2017-01-22,17,63
108,2017-01-29,14,53
109,2017-02-05,8,49
110,2017-02-12,12,62
111,2017-02-19,0,41
112,2017-02-26,7,58
113,2017-03-05,0,40
114,2017-03-12,7,49
115,2017-03-19,19,33
116,2017-03-26,20,42
117,2017-04-02,21,46
118,2017-04-09,17,35
119,2017-04-16,45,57
120,2017-04-23,6,58
121,2017-04-30,12,34
122,2017-05-07,16,54
123,2017-05-14,22,53
124,2017-05-21,26,85
125,2017-05-28,15,64
126,2017-06-04,11,37
127,2017-06-11,16,40
128,2017-06-18,14,44
129,2017-06-25,21,26
130,2017-07-02,22,29
131,2017-07-09,18,24
132,2017-07-16,0,31
133,2017-07-23,13,38
134,2017-07-30,10,19
135,2017-08-06,16,38
136,2017-08-13,0,39
137,2017-08-20,9,33
138,2017-08-27,49,43
139,2017-09-03,19,28
140,2017-09-10,29,67
141,2017-09-17,20,91
142,2017-09-24,17,46
143,2017-10-01,31,23
144,2017-10-08,67,69
145,2017-10-15,56,50
146,2017-10-22,24,71
147,2017-10-29,6,40
148,2017-11-05,43,52
149,2017-11-12,37,69
150,2017-11-19,48,62
151,2017-11-26,0,53
152,2017-12-03,26,38
153,2017-12-10,27,44
154,2017-12-17,0,60
155,2017-12-24,18,32
156,2017-12-31,29,30
157,2018-01-07,21,47
158,2018-01-14,13,32
159,2018-01-21,24,55
160,2018-01-28,67,29
