,date,U2,Alphabet
0,2015-01-04,15,51
1,2015-01-11,18,61
2,2015-01-18,19,63
3,2015-01-25,30,53
4,2015-02-01,26,46
5,2015-02-08,34,63
6,2015-02-15,0,37
7,2015-02-22,0,54
8,2015-03-01,12,55
9,2015-03-08,13,70
10,2015-03-15,0,52
11,2015-03-22,58,42
12,2015-03-29,15,33
13,2015-04-05,0,40
14,2015-04-12,9,66
15,2015-04-19,0,24
16,2015-04-26,19,51
17,2015-05-03,22,41
18,2015-05-10,40,28
19,2015-05-17,39,57
20,2015-05-24,28,49
21,2015-05-31,12,54
22,2015-06-07,38,48
23,2015-06-14,30,45
24,2015-06-21,24,34
25,2015-06-28,28,28
26,2015-07-05,33,46
27,2015-07-12,85,48
28,2015-07-19,0,28
29,2015-07-26,0,51
30,2015-08-02,11,33
31,2015-08-09,10,54
32,2015-08-16,16,67
33,2015-08-23,12,70
34,2015-08-30,0,78
35,2015-09-06,12,44
36,2015-09-13,18,43
37,2015-09-20,0,62
38,2015-09-27,0,66
39,2015-10-04,16,45
40,2015-10-11,22,72
41,2015-10-18,27,64
42,2015-10-25,25,49
43,2015-11-01,15,43
44,2015-11-08,17,56
45,2015-11-15,23,58
46,2015-11-22,43,62
47,2015-11-29,22,61
48,2015-12-06,33,75
49,2015-12-13,31,52
50,2015-12-20,21,51
51,2015-12-27,0,51
52,2016-01-03,0,41
53,2016-01-10,16,30
54,2016-01-17,21,50
55,2016-01-24,0,62
56,2016-01-31,36,75
57,2016-02-07,11,48
58,2016-02-14,11,41
59,2016-02-21,0,60
60,2016-02-28,0,58
61,2016-03-06,20,17
62,2016-03-13,16,62
63,2016-03-20,0,49
64,2016-03-27,18,47
65,2016-04-03,0,55
66,2016-04-10,0,45
67,2016-04-17,16,36
68,2016-04-24,16,35
69,2016-05-01,10,37
70,2016-05-08,7,53
71,2016-05-15,11,37
72,2016-05-22,0,48
73,2016-05-29,12,66
74,2016-06-05,14,53
75,2016-06-12,10,31
76,2016-06-19,10,51
77,2016-06-26,0,50
78,2016-07-03,16,30
79,2016-07-10,9,36
80,2016-07-17,0,30
81,2016-07-24,16,48
82,2016-07-31,0,45
83,2016-08-07,0,35
84,2016-08-14,10,47
85,2016-08-21,14,50
86,2016-08-28,10,25
87,2016-09-04,16,70
88,2016-09-11,18,54
89,2016-09-18,0,50
90,2016-09-25,14,47
91,2016-10-02,6,47
92,2016-10-09,19,49
93,2016-10-16,11,44
94,2016-10-23,0,42
95,2016-10-30,21,62
