,date,Bruno Mars,Alphabet
0,2015-01-04,23,24
1,2015-01-11,34,23
2,2015-01-18,24,27
3,2015-01-25,25,28
4,2015-02-01,28,23
5,2015-02-08,24,25
6,2015-02-15,20,23
7,2015-02-22,24,26
8,2015-03-01,20,26
9,2015-03-08,18,26
10,2015-03-15,15,22
11,2015-03-22,20,23
12,2015-03-29,16,27
13,2015-04-05,11,21
14,2015-04-12,10,22
15,2015-04-19,11,22
16,2015-04-26,10,22
17,2015-05-03,11,24
18,2015-05-10,11,22
19,2015-05-17,12,22
20,2015-05-24,16,23
21,2015-05-31,12,23
22,2015-06-07,10,20
23,2015-06-14,11,15
24,2015-06-21,9,13
25,2015-06-28,11,10
26,2015-07-05,9,19
27,2015-07-12,8,13
28,2015-07-19,11,17
29,2015-07-26,8,16
30,2015-08-02,9,13
31,2015-08-09,8,42
32,2015-08-16,8,19
33,2015-08-23,8,22
34,2015-08-30,9,23
35,2015-09-06,9,29
36,2015-09-13,7,32
37,2015-09-20,8,28
38,2015-09-27,7,27
39,2015-10-04,9,30
40,2015-10-11,9,28
41,2015-10-18,7,29
42,2015-10-25,6,25
43,2015-11-01,6,27
44,2015-11-08,8,25
45,2015-11-15,7,27
46,2015-11-22,9,24
47,2015-11-29,6,30
48,2015-12-06,6,25
49,2015-12-13,6,22
50,2015-12-20,7,17
51,2015-12-27,11,16
52,2016-01-03,7,22
53,2016-01-10,9,20
54,2016-01-17,6,19
55,2016-01-24,6,22
56,2016-01-31,11,27
57,2016-02-07,64,24
58,2016-02-14,19,24
59,2016-02-21,10,24
60,2016-02-28,7,23
61,2016-03-06,7,20
62,2016-03-13,8,22
63,2016-03-20,7,22
64,2016-03-27,7,19
65,2016-04-03,6,23
66,2016-04-10,7,26
67,2016-04-17,5,23
68,2016-04-24,6,20
69,2016-05-01,7,19
70,2016-05-08,8,20
71,2016-05-15,8,23
72,2016-05-22,8,17
73,2016-05-29,7,19
74,2016-06-05,7,21
75,2016-06-12,4,20
76,2016-06-19,5,19
77,2016-06-26,5,18
78,2016-07-03,8,16
79,2016-07-10,6,17
80,2016-07-17,7,16
81,2016-07-24,6,18
82,2016-07-31,3,23
83,2016-08-07,5,16
84,2016-08-14,5,16
85,2016-08-21,6,20
86,2016-08-28,4,22
87,2016-09-04,5,27
88,2016-09-11,7,31
89,2016-09-18,5,25
90,2016-09-25,3,24
91,2016-10-02,14,25
92,2016-10-09,12,28
93,2016-10-16,24,24
94,2016-10-23,15,22
95,2016-10-30,14,26
96,2016-11-06,11,19
97,2016-11-13,25,21
98,2016-11-20,54,22
99,2016-11-27,18,23
100,2016-12-04,20,22
101,2016-12-11,44,23
102,2016-12-18,26,23
103,2016-12-25,23,17
104,2017-01-01,22,19
105,2017-01-08,21,27
106,2017-01-15,17,21
107,2017-01-22,17,24
108,2017-01-29,18,25
109,2017-02-05,23,24
110,2017-02-12,100,20
111,2017-02-19,33,22
112,2017-02-26,34,24
113,2017-03-05,31,20
114,2017-03-12,31,22
115,2017-03-19,28,22
116,2017-03-26,25,24
117,2017-04-02,29,19
118,2017-04-09,23,22
119,2017-04-16,22,23
120,2017-04-23,29,19
121,2017-04-30,25,22
122,2017-05-07,30,21
123,2017-05-14,32,22
124,2017-05-21,41,19
125,2017-05-28,30,22
126,2017-06-04,24,20
127,2017-06-11,26,19
128,2017-06-18,21,14
129,2017-06-25,49,17
130,2017-07-02,35,17
131,2017-07-09,27,17
132,2017-07-16,26,16
133,2017-07-23,22,16
134,2017-07-30,25,18
135,2017-08-06,53,19
136,2017-08-13,57,16
137,2017-08-20,23,21
138,2017-08-27,18,24
139,2017-09-03,13,24
140,2017-09-10,15,28
141,2017-09-17,13,28
142,2017-09-24,13,24
143,2017-10-01,12,24
144,2017-10-08,14,26
145,2017-10-15,11,24
146,2017-10-22,11,27
147,2017-10-29,10,25
148,2017-11-05,11,28
149,2017-11-12,11,26
150,2017-11-19,10,20
151,2017-11-26,23,24
152,2017-12-03,15,22
153,2017-12-10,11,22
154,2017-12-17,12,25
155,2017-12-24,14,15
156,2017-12-31,27,19
157,2018-01-07,18,26
158,2018-01-14,14,26
159,2018-01-21,28,28
160,2018-01-28,71,27
161,2018-02-04,43,26
162,2018-02-11,56,24
163,2018-02-18,27,27
164,2018-02-25,19,23
165,2018-03-04,18,24
166,2018-03-11,23,23
167,2018-03-18,23,27
168,2018-03-25,18,18
169,2018-04-01,13,18
170,2018-04-08,15,25
171,2018-04-15,14,23
172,2018-04-22,11,21
173,2018-04-29,11,20
174,2018-05-06,13,20
175,2018-05-13,12,20
176,2018-05-20,13,18
177,2018-05-27,12,25
178,2018-06-03,11,20
179,2018-06-10,10,17
180,2018-06-17,11,18
181,2018-06-24,12,20
182,2018-07-01,11,17
183,2018-07-08,12,17
184,2018-07-15,10,19
185,2018-07-22,14,18
186,2018-07-29,14,19
187,2018-08-05,13,17
188,2018-08-12,19,17
189,2018-08-19,15,17
190,2018-08-26,13,24
191,2018-09-02,12,23
192,2018-09-09,38,24
193,2018-09-16,42,28
194,2018-09-23,12,30
195,2018-09-30,7,26
196,2018-10-07,12,29
197,2018-10-14,8,23
198,2018-10-21,11,29
199,2018-10-28,9,26
200,2018-11-04,8,23
201,2018-11-11,9,26
202,2018-11-18,9,21
203,2018-11-25,9,26
204,2018-12-02,7,25
205,2018-12-09,8,24
206,2018-12-16,8,22
207,2018-12-23,9,17
208,2018-12-30,10,18
209,2019-01-06,6,23
210,2019-01-13,8,21
211,2019-01-20,9,22
212,2019-01-27,7,20
213,2019-02-03,11,23
214,2019-02-10,15,23
215,2019-02-17,13,23
216,2019-02-24,12,22
217,2019-03-03,16,23
218,2019-03-10,11,23
219,2019-03-17,10,22
220,2019-03-24,11,23
221,2019-03-31,9,18
222,2019-04-07,8,21
223,2019-04-14,8,24
224,2019-04-21,7,21
225,2019-04-28,8,22
226,2019-05-05,8,16
227,2019-05-12,7,21
228,2019-05-19,7,23
229,2019-05-26,8,20
230,2019-06-02,8,24
231,2019-06-09,6,16
232,2019-06-16,6,21
233,2019-06-23,6,18
234,2019-06-30,7,17
235,2019-07-07,8,16
236,2019-07-14,7,18
237,2019-07-21,8,18
238,2019-07-28,7,17
239,2019-08-04,6,20
240,2019-08-11,9,17
241,2019-08-18,6,19
242,2019-08-25,7,22
243,2019-09-01,5,25
244,2019-09-08,6,30
245,2019-09-15,8,27
