,date,Coldplay,Alphabet
0,2015-01-04,6,20
1,2015-01-11,5,20
2,2015-01-18,6,23
3,2015-01-25,5,24
4,2015-02-01,4,20
5,2015-02-08,9,21
6,2015-02-15,4,19
7,2015-02-22,5,22
8,2015-03-01,4,22
9,2015-03-08,6,22
10,2015-03-15,6,19
11,2015-03-22,3,19
12,2015-03-29,4,23
13,2015-04-05,4,18
14,2015-04-12,4,19
15,2015-04-19,4,19
16,2015-04-26,6,19
17,2015-05-03,6,21
18,2015-05-10,4,19
19,2015-05-17,6,19
20,2015-05-24,3,20
21,2015-05-31,5,20
22,2015-06-07,5,17
23,2015-06-14,4,13
24,2015-06-21,5,11
25,2015-06-28,3,9
26,2015-07-05,2,16
27,2015-07-12,3,11
28,2015-07-19,2,15
29,2015-07-26,5,14
30,2015-08-02,5,11
31,2015-08-09,5,36
32,2015-08-16,5,16
33,2015-08-23,2,19
34,2015-08-30,4,19
35,2015-09-06,4,25
36,2015-09-13,5,27
37,2015-09-20,6,24
38,2015-09-27,6,23
39,2015-10-04,4,25
40,2015-10-11,4,24
41,2015-10-18,3,25
42,2015-10-25,3,21
43,2015-11-01,6,23
44,2015-11-08,8,22
45,2015-11-15,6,23
46,2015-11-22,12,20
47,2015-11-29,22,25
48,2015-12-06,14,21
49,2015-12-13,14,19
50,2015-12-20,9,14
51,2015-12-27,6,14
52,2016-01-03,7,19
53,2016-01-10,7,17
54,2016-01-17,6,16
55,2016-01-24,14,19
56,2016-01-31,24,23
57,2016-02-07,100,20
58,2016-02-14,12,21
59,2016-02-21,8,20
60,2016-02-28,5,20
61,2016-03-06,7,17
62,2016-03-13,10,19
63,2016-03-20,6,18
64,2016-03-27,6,16
65,2016-04-03,7,19
66,2016-04-10,12,22
67,2016-04-17,10,19
68,2016-04-24,8,17
69,2016-05-01,7,17
70,2016-05-08,6,17
71,2016-05-15,8,20
72,2016-05-22,7,15
73,2016-05-29,6,16
74,2016-06-05,5,18
75,2016-06-12,6,17
76,2016-06-19,6,16
77,2016-06-26,8,15
78,2016-07-03,8,13
79,2016-07-10,10,14
80,2016-07-17,13,14
81,2016-07-24,21,15
82,2016-07-31,37,20
83,2016-08-07,8,14
84,2016-08-14,7,14
85,2016-08-21,6,17
86,2016-08-28,6,19
87,2016-09-04,6,23
88,2016-09-11,5,26
89,2016-09-18,6,21
90,2016-09-25,6,21
91,2016-10-02,6,21
92,2016-10-09,6,24
93,2016-10-16,5,21
94,2016-10-23,5,19
95,2016-10-30,5,22
96,2016-11-06,4,16
97,2016-11-13,5,18
98,2016-11-20,6,19
99,2016-11-27,4,19
100,2016-12-04,5,19
101,2016-12-11,6,20
102,2016-12-18,4,19
103,2016-12-25,4,14
104,2017-01-01,3,16
105,2017-01-08,4,23
106,2017-01-15,4,18
107,2017-01-22,4,21
108,2017-01-29,4,21
109,2017-02-05,8,20
110,2017-02-12,4,17
111,2017-02-19,7,19
112,2017-02-26,5,21
113,2017-03-05,7,17
114,2017-03-12,7,19
115,2017-03-19,5,18
116,2017-03-26,6,20
117,2017-04-02,6,16
118,2017-04-09,5,19
119,2017-04-16,6,20
120,2017-04-23,8,16
121,2017-04-30,6,19
122,2017-05-07,6,18
123,2017-05-14,5,19
124,2017-05-21,5,16
125,2017-05-28,6,19
126,2017-06-04,8,17
127,2017-06-11,7,16
128,2017-06-18,6,12
129,2017-06-25,6,14
130,2017-07-02,5,14
131,2017-07-09,7,14
132,2017-07-16,6,14
