,date,Ed Sheeran,Alphabet
0,2015-01-04,44,26
1,2015-01-11,49,26
2,2015-01-18,38,30
3,2015-01-25,48,31
4,2015-02-01,43,26
5,2015-02-08,98,28
6,2015-02-15,53,26
7,2015-02-22,48,29
8,2015-03-01,40,27
9,2015-03-08,33,30
10,2015-03-15,30,24
11,2015-03-22,35,26
12,2015-03-29,28,29
13,2015-04-05,26,24
14,2015-04-12,19,25
15,2015-04-19,21,25
16,2015-04-26,17,26
17,2015-05-03,23,28
18,2015-05-10,28,25
19,2015-05-17,32,25
20,2015-05-24,24,27
21,2015-05-31,32,26
22,2015-06-07,25,23
23,2015-06-14,32,17
24,2015-06-21,26,14
25,2015-06-28,30,12
26,2015-07-05,27,21
27,2015-07-12,24,14
28,2015-07-19,22,19
29,2015-07-26,23,18
30,2015-08-02,26,15
31,2015-08-09,30,47
32,2015-08-16,34,21
33,2015-08-23,28,25
34,2015-08-30,22,25
35,2015-09-06,22,33
36,2015-09-13,35,36
37,2015-09-20,20,32
38,2015-09-27,24,30
39,2015-10-04,21,35
40,2015-10-11,20,32
41,2015-10-18,20,33
42,2015-10-25,16,27
43,2015-11-01,16,30
44,2015-11-08,18,28
45,2015-11-15,15,30
46,2015-11-22,15,26
47,2015-11-29,13,33
48,2015-12-06,14,27
49,2015-12-13,16,25
50,2015-12-20,11,19
51,2015-12-27,13,18
52,2016-01-03,12,25
53,2016-01-10,10,23
54,2016-01-17,12,22
55,2016-01-24,10,25
56,2016-01-31,10,30
57,2016-02-07,10,27
58,2016-02-14,20,26
59,2016-02-21,11,28
60,2016-02-28,11,26
61,2016-03-06,7,22
62,2016-03-13,10,24
63,2016-03-20,9,24
64,2016-03-27,9,22
65,2016-04-03,8,24
66,2016-04-10,6,28
67,2016-04-17,7,25
68,2016-04-24,10,22
69,2016-05-01,8,22
70,2016-05-08,6,23
71,2016-05-15,10,26
72,2016-05-22,7,19
73,2016-05-29,8,22
74,2016-06-05,12,24
75,2016-06-12,11,22
76,2016-06-19,7,21
77,2016-06-26,7,21
78,2016-07-03,6,18
79,2016-07-10,8,19
80,2016-07-17,5,18
81,2016-07-24,6,20
82,2016-07-31,6,25
83,2016-08-07,7,18
84,2016-08-14,5,18
85,2016-08-21,4,23
86,2016-08-28,7,25
87,2016-09-04,6,30
88,2016-09-11,8,35
89,2016-09-18,6,28
90,2016-09-25,6,28
91,2016-10-02,7,28
92,2016-10-09,4,31
93,2016-10-16,7,25
94,2016-10-23,5,26
95,2016-10-30,5,29
96,2016-11-06,4,21
97,2016-11-13,7,24
98,2016-11-20,8,24
99,2016-11-27,8,25
100,2016-12-04,5,25
101,2016-12-11,6,26
102,2016-12-18,6,25
103,2016-12-25,8,19
104,2017-01-01,32,21
105,2017-01-08,30,29
106,2017-01-15,25,23
107,2017-01-22,23,27
108,2017-01-29,26,27
109,2017-02-05,21,27
110,2017-02-12,58,22
111,2017-02-19,36,24
112,2017-02-26,52,28
113,2017-03-05,96,22
114,2017-03-12,100,23
115,2017-03-19,57,24
116,2017-03-26,40,27
117,2017-04-02,35,21
118,2017-04-09,33,25
119,2017-04-16,29,26
120,2017-04-23,27,21
121,2017-04-30,27,25
122,2017-05-07,25,23
123,2017-05-14,23,24
124,2017-05-21,28,22
125,2017-05-28,23,25
126,2017-06-04,30,22
127,2017-06-11,25,21
128,2017-06-18,23,16
129,2017-06-25,23,19
130,2017-07-02,28,18
131,2017-07-09,31,19
132,2017-07-16,79,19
133,2017-07-23,27,18
134,2017-07-30,23,20
135,2017-08-06,25,21
136,2017-08-13,23,18
137,2017-08-20,19,24
138,2017-08-27,28,26
139,2017-09-03,26,27
140,2017-09-10,27,32
141,2017-09-17,29,33
142,2017-09-24,62,27
143,2017-10-01,32,27
144,2017-10-08,25,29
145,2017-10-15,39,28
146,2017-10-22,27,30
147,2017-10-29,25,28
148,2017-11-05,31,31
149,2017-11-12,30,29
150,2017-11-19,15,23
151,2017-11-26,27,28
152,2017-12-03,40,26
153,2017-12-10,46,25
154,2017-12-17,50,28
155,2017-12-24,45,17
156,2017-12-31,39,22
157,2018-01-07,45,29
158,2018-01-14,44,28
159,2018-01-21,53,30
160,2018-01-28,46,30
161,2018-02-04,48,29
162,2018-02-11,71,27
163,2018-02-18,41,30
164,2018-02-25,35,25
165,2018-03-04,35,26
166,2018-03-11,29,25
167,2018-03-18,25,29
168,2018-03-25,24,21
169,2018-04-01,24,20
170,2018-04-08,22,27
171,2018-04-15,21,25
172,2018-04-22,22,24
173,2018-04-29,20,22
174,2018-05-06,22,23
175,2018-05-13,24,23
176,2018-05-20,25,20
177,2018-05-27,19,26
178,2018-06-03,17,23
179,2018-06-10,16,19
180,2018-06-17,16,21
181,2018-06-24,26,20
182,2018-07-01,23,19
183,2018-07-08,18,19
184,2018-07-15,23,21
185,2018-07-22,20,20
186,2018-07-29,18,21
187,2018-08-05,17,19
188,2018-08-12,20,19
189,2018-08-19,19,17
190,2018-08-26,31,27
191,2018-09-02,75,27
192,2018-09-09,52,27
193,2018-09-16,17,33
194,2018-09-23,19,31
195,2018-09-30,16,27
196,2018-10-07,14,31
197,2018-10-14,18,26
198,2018-10-21,15,32
199,2018-10-28,15,30
200,2018-11-04,10,25
201,2018-11-11,10,28
202,2018-11-18,12,24
203,2018-11-25,11,28
204,2018-12-02,13,28
205,2018-12-09,12,26
206,2018-12-16,10,26
207,2018-12-23,12,18
208,2018-12-30,13,20
209,2019-01-06,9,26
210,2019-01-13,12,24
211,2019-01-20,12,24
212,2019-01-27,11,22
213,2019-02-03,10,25
214,2019-02-10,12,26
215,2019-02-17,15,26
216,2019-02-24,12,24
217,2019-03-03,10,26
218,2019-03-10,10,26
219,2019-03-17,9,24
220,2019-03-24,10,25
221,2019-03-31,10,20
222,2019-04-07,11,23
223,2019-04-14,10,27
224,2019-04-21,10,23
225,2019-04-28,8,25
226,2019-05-05,16,18
227,2019-05-12,18,24
228,2019-05-19,20,26
229,2019-05-26,15,22
230,2019-06-02,13,27
231,2019-06-09,16,18
232,2019-06-16,15,23
233,2019-06-23,16,20
234,2019-06-30,20,19
235,2019-07-07,39,17
236,2019-07-14,30,20
237,2019-07-21,20,21
238,2019-07-28,21,19
239,2019-08-04,15,22
240,2019-08-11,16,19
241,2019-08-18,15,21
242,2019-08-25,15,24
243,2019-09-01,15,28
244,2019-09-08,10,33
245,2019-09-15,13,31
246,2019-09-22,12,27
247,2019-09-29,14,28
248,2019-10-06,16,29
249,2019-10-13,11,29
250,2019-10-20,11,29
251,2019-10-27,12,35
252,2019-11-03,11,34
253,2019-11-10,11,28
254,2019-11-17,10,33
255,2019-11-24,12,23
256,2019-12-01,11,31
257,2019-12-08,9,32
258,2019-12-15,8,27
259,2019-12-22,14,19
260,2019-12-29,14,20
