,date,Metallica,Alphabet
0,2015-01-04,5,25
1,2015-01-11,8,24
2,2015-01-18,8,28
3,2015-01-25,8,29
4,2015-02-01,6,24
5,2015-02-08,7,25
6,2015-02-15,7,24
7,2015-02-22,7,27
8,2015-03-01,7,27
9,2015-03-08,11,27
10,2015-03-15,8,23
11,2015-03-22,10,23
12,2015-03-29,7,28
13,2015-04-05,8,22
14,2015-04-12,10,23
15,2015-04-19,9,23
16,2015-04-26,8,23
17,2015-05-03,9,25
18,2015-05-10,10,23
19,2015-05-17,5,23
20,2015-05-24,10,24
21,2015-05-31,9,24
22,2015-06-07,8,21
23,2015-06-14,13,16
24,2015-06-21,8,13
25,2015-06-28,9,11
26,2015-07-05,8,19
27,2015-07-12,7,13
28,2015-07-19,9,18
29,2015-07-26,11,17
30,2015-08-02,9,14
31,2015-08-09,8,43
32,2015-08-16,8,20
33,2015-08-23,12,23
34,2015-08-30,8,23
35,2015-09-06,10,30
36,2015-09-13,11,33
37,2015-09-20,7,29
38,2015-09-27,8,28
39,2015-10-04,8,31
40,2015-10-11,7,29
41,2015-10-18,7,30
42,2015-10-25,5,25
43,2015-11-01,9,28
44,2015-11-08,7,26
45,2015-11-15,8,28
46,2015-11-22,7,25
47,2015-11-29,8,31
48,2015-12-06,9,26
49,2015-12-13,8,23
50,2015-12-20,12,17
51,2015-12-27,8,17
52,2016-01-03,8,23
53,2016-01-10,7,20
54,2016-01-17,10,20
55,2016-01-24,8,23
56,2016-01-31,9,28
57,2016-02-07,13,25
58,2016-02-14,10,25
59,2016-02-21,8,25
60,2016-02-28,9,24
61,2016-03-06,8,21
62,2016-03-13,9,23
63,2016-03-20,9,22
64,2016-03-27,9,20
65,2016-04-03,10,24
66,2016-04-10,8,27
67,2016-04-17,8,24
68,2016-04-24,9,21
69,2016-05-01,10,20
70,2016-05-08,9,21
71,2016-05-15,10,24
72,2016-05-22,8,18
73,2016-05-29,10,20
74,2016-06-05,12,22
75,2016-06-12,6,20
76,2016-06-19,10,20
77,2016-06-26,10,19
78,2016-07-03,7,16
79,2016-07-10,7,17
80,2016-07-17,7,16
81,2016-07-24,7,19
82,2016-07-31,9,24
83,2016-08-07,9,17
84,2016-08-14,16,17
85,2016-08-21,19,20
86,2016-08-28,14,23
87,2016-09-04,9,28
88,2016-09-11,10,32
89,2016-09-18,9,26
90,2016-09-25,14,25
91,2016-10-02,11,26
92,2016-10-09,11,29
93,2016-10-16,9,25
94,2016-10-23,9,23
95,2016-10-30,13,27
96,2016-11-06,13,20
97,2016-11-13,28,22
98,2016-11-20,23,23
99,2016-11-27,15,23
100,2016-12-04,10,23
101,2016-12-11,13,24
102,2016-12-18,17,23
103,2016-12-25,9,17
104,2017-01-01,9,20
105,2017-01-08,10,28
106,2017-01-15,10,22
107,2017-01-22,12,25
108,2017-01-29,10,26
109,2017-02-05,11,25
110,2017-02-12,99,20
111,2017-02-19,27,23
112,2017-02-26,19,25
113,2017-03-05,14,21
114,2017-03-12,16,23
115,2017-03-19,9,22
116,2017-03-26,14,25
117,2017-04-02,12,19
118,2017-04-09,12,23
119,2017-04-16,11,24
120,2017-04-23,14,19
121,2017-04-30,12,23
122,2017-05-07,14,22
123,2017-05-14,18,23
124,2017-05-21,15,20
125,2017-05-28,13,23
126,2017-06-04,12,21
127,2017-06-11,16,19
128,2017-06-18,17,14
129,2017-06-25,18,17
130,2017-07-02,21,17
131,2017-07-09,100,17
132,2017-07-16,19,16
133,2017-07-23,12,17
134,2017-07-30,12,19
135,2017-08-06,11,19
136,2017-08-13,10,17
137,2017-08-20,11,21
138,2017-08-27,9,24
139,2017-09-03,8,25
140,2017-09-10,8,29
141,2017-09-17,8,29
142,2017-09-24,8,25
143,2017-10-01,8,25
144,2017-10-08,9,27
145,2017-10-15,9,25
146,2017-10-22,9,28
147,2017-10-29,7,25
148,2017-11-05,8,29
149,2017-11-12,5,27
150,2017-11-19,8,21
151,2017-11-26,9,25
152,2017-12-03,8,22
153,2017-12-10,8,23
154,2017-12-17,7,26
155,2017-12-24,8,16
156,2017-12-31,7,20
157,2018-01-07,8,27
158,2018-01-14,7,27
159,2018-01-21,7,29
160,2018-01-28,9,28
161,2018-02-04,9,27
162,2018-02-11,8,25
163,2018-02-18,7,28
164,2018-02-25,41,24
165,2018-03-04,14,25
166,2018-03-11,10,24
167,2018-03-18,11,28
168,2018-03-25,11,19
169,2018-04-01,9,19
170,2018-04-08,9,26
171,2018-04-15,8,24
172,2018-04-22,8,22
173,2018-04-29,9,21
174,2018-05-06,9,21
175,2018-05-13,8,21
176,2018-05-20,9,19
177,2018-05-27,7,25
178,2018-06-03,9,21
179,2018-06-10,9,17
180,2018-06-17,7,19
181,2018-06-24,9,20
182,2018-07-01,11,17
183,2018-07-08,7,18
184,2018-07-15,8,19
185,2018-07-22,9,19
186,2018-07-29,9,19
187,2018-08-05,11,18
188,2018-08-12,9,17
189,2018-08-19,11,18
190,2018-08-26,10,25
191,2018-09-02,14,24
192,2018-09-09,9,25
193,2018-09-16,8,29
194,2018-09-23,8,31
195,2018-09-30,6,27
196,2018-10-07,8,30
197,2018-10-14,10,24
198,2018-10-21,10,30
199,2018-10-28,9,27
200,2018-11-04,9,24
201,2018-11-11,10,27
202,2018-11-18,8,22
203,2018-11-25,9,27
204,2018-12-02,10,26
205,2018-12-09,10,25
206,2018-12-16,7,23
207,2018-12-23,10,17
208,2018-12-30,12,19
209,2019-01-06,13,24
210,2019-01-13,9,22
211,2019-01-20,13,22
212,2019-01-27,11,20
213,2019-02-03,12,23
214,2019-02-10,10,24
215,2019-02-17,9,24
216,2019-02-24,10,22
217,2019-03-03,13,24
218,2019-03-10,27,24
219,2019-03-17,12,23
220,2019-03-24,9,24
221,2019-03-31,9,19
222,2019-04-07,8,21
223,2019-04-14,9,25
224,2019-04-21,7,21
225,2019-04-28,8,23
226,2019-05-05,9,16
227,2019-05-12,9,22
228,2019-05-19,9,24
229,2019-05-26,9,21
230,2019-06-02,9,25
231,2019-06-09,7,17
232,2019-06-16,9,21
233,2019-06-23,8,19
234,2019-06-30,9,18
235,2019-07-07,9,16
236,2019-07-14,7,19
237,2019-07-21,8,19
238,2019-07-28,10,18
239,2019-08-04,9,21
240,2019-08-11,9,18
241,2019-08-18,10,19
242,2019-08-25,8,23
243,2019-09-01,8,26
244,2019-09-08,8,31
245,2019-09-15,8,29
246,2019-09-22,12,25
247,2019-09-29,10,26
248,2019-10-06,9,27
249,2019-10-13,7,27
250,2019-10-20,8,27
251,2019-10-27,6,32
252,2019-11-03,8,32
253,2019-11-10,6,26
254,2019-11-17,8,31
255,2019-11-24,8,21
256,2019-12-01,10,29
257,2019-12-08,8,30
258,2019-12-15,7,25
259,2019-12-22,7,18
260,2019-12-29,9,18
