,date,Guns N' Roses,Alphabet
0,2015-01-04,3,14
1,2015-01-11,3,18
2,2015-01-18,1,17
3,2015-01-25,3,16
4,2015-02-01,2,14
5,2015-02-08,2,17
6,2015-02-15,2,16
7,2015-02-22,2,16
8,2015-03-01,3,14
9,2015-03-08,4,11
10,2015-03-15,3,17
11,2015-03-22,3,16
12,2015-03-29,2,12
13,2015-04-05,2,15
14,2015-04-12,1,14
15,2015-04-19,3,17
16,2015-04-26,2,17
17,2015-05-03,3,14
18,2015-05-10,4,14
19,2015-05-17,3,15
20,2015-05-24,3,11
21,2015-05-31,1,11
22,2015-06-07,3,10
23,2015-06-14,2,14
24,2015-06-21,2,12
25,2015-06-28,2,9
26,2015-07-05,2,12
27,2015-07-12,2,12
28,2015-07-19,1,13
29,2015-07-26,3,10
30,2015-08-02,3,9
31,2015-08-09,1,25
32,2015-08-16,1,14
33,2015-08-23,3,15
34,2015-08-30,3,18
35,2015-09-06,0,20
36,2015-09-13,3,24
37,2015-09-20,4,17
38,2015-09-27,2,22
39,2015-10-04,3,18
40,2015-10-11,4,15
41,2015-10-18,2,21
42,2015-10-25,5,15
43,2015-11-01,1,21
44,2015-11-08,6,18
45,2015-11-15,8,17
46,2015-11-22,3,15
47,2015-11-29,4,17
48,2015-12-06,2,18
49,2015-12-13,1,16
50,2015-12-20,3,13
51,2015-12-27,11,9
52,2016-01-03,14,14
53,2016-01-10,8,13
54,2016-01-17,9,17
55,2016-01-24,7,15
56,2016-01-31,4,20
57,2016-02-07,5,16
58,2016-02-14,4,15
59,2016-02-21,5,17
60,2016-02-28,3,15
61,2016-03-06,4,15
62,2016-03-13,6,15
63,2016-03-20,7,13
64,2016-03-27,14,13
65,2016-04-03,18,14
66,2016-04-10,14,17
67,2016-04-17,10,13
68,2016-04-24,5,13
69,2016-05-01,7,12
70,2016-05-08,4,14
71,2016-05-15,3,15
72,2016-05-22,2,13
73,2016-05-29,5,13
74,2016-06-05,5,13
75,2016-06-12,5,12
76,2016-06-19,7,9
77,2016-06-26,9,10
78,2016-07-03,7,11
79,2016-07-10,6,12
80,2016-07-17,6,10
81,2016-07-24,6,11
82,2016-07-31,4,14
83,2016-08-07,4,11
84,2016-08-14,5,12
85,2016-08-21,4,12
86,2016-08-28,3,14
87,2016-09-04,3,15
88,2016-09-11,4,24
89,2016-09-18,3,17
90,2016-09-25,2,20
91,2016-10-02,2,14
92,2016-10-09,1,18
93,2016-10-16,3,13
94,2016-10-23,3,17
95,2016-10-30,4,15
96,2016-11-06,3,17
97,2016-11-13,3,15
98,2016-11-20,3,12
99,2016-11-27,13,18
100,2016-12-04,48,15
101,2016-12-11,14,14
102,2016-12-18,7,14
103,2016-12-25,8,11
104,2017-01-01,5,17
105,2017-01-08,4,14
106,2017-01-15,7,14
107,2017-01-22,6,16
108,2017-01-29,5,15
109,2017-02-05,4,15
110,2017-02-12,5,16
111,2017-02-19,4,13
112,2017-02-26,5,12
113,2017-03-05,6,16
114,2017-03-12,4,16
115,2017-03-19,4,15
116,2017-03-26,5,15
117,2017-04-02,5,15
118,2017-04-09,5,13
119,2017-04-16,4,14
120,2017-04-23,5,17
121,2017-04-30,5,14
122,2017-05-07,5,16
123,2017-05-14,4,13
124,2017-05-21,8,17
125,2017-05-28,8,12
126,2017-06-04,8,12
127,2017-06-11,7,14
128,2017-06-18,7,12
129,2017-06-25,9,11
130,2017-07-02,7,12
131,2017-07-09,11,12
132,2017-07-16,16,11
133,2017-07-23,49,10
134,2017-07-30,100,10
135,2017-08-06,7,12
136,2017-08-13,6,10
137,2017-08-20,4,12
138,2017-08-27,5,12
139,2017-09-03,5,17
140,2017-09-10,4,21
141,2017-09-17,4,19
142,2017-09-24,3,16
143,2017-10-01,2,16
144,2017-10-08,2,16
145,2017-10-15,3,15
146,2017-10-22,3,17
147,2017-10-29,3,15
148,2017-11-05,4,16
149,2017-11-12,4,18
150,2017-11-19,2,14
151,2017-11-26,3,17
152,2017-12-03,3,13
153,2017-12-10,2,15
154,2017-12-17,2,14
155,2017-12-24,1,13
156,2017-12-31,3,14
157,2018-01-07,3,15
158,2018-01-14,3,13
159,2018-01-21,2,15
160,2018-01-28,2,18
161,2018-02-04,4,17
162,2018-02-11,4,18
163,2018-02-18,3,16
164,2018-02-25,4,15
165,2018-03-04,2,17
166,2018-03-11,3,14
167,2018-03-18,3,15
168,2018-03-25,3,14
169,2018-04-01,2,15
170,2018-04-08,4,16
171,2018-04-15,1,17
172,2018-04-22,3,13
173,2018-04-29,5,15
174,2018-05-06,4,14
175,2018-05-13,3,15
176,2018-05-20,4,13
177,2018-05-27,4,14
178,2018-06-03,2,11
179,2018-06-10,4,10
180,2018-06-17,2,12
181,2018-06-24,3,11
182,2018-07-01,3,10
183,2018-07-08,3,11
184,2018-07-15,5,10
185,2018-07-22,5,9
186,2018-07-29,3,16
187,2018-08-05,2,9
188,2018-08-12,3,11
189,2018-08-19,3,9
190,2018-08-26,3,15
191,2018-09-02,3,20
192,2018-09-09,1,18
193,2018-09-16,2,14
194,2018-09-23,2,15
195,2018-09-30,2,19
196,2018-10-07,3,18
197,2018-10-14,3,13
198,2018-10-21,3,15
199,2018-10-28,3,17
200,2018-11-04,3,15
201,2018-11-11,4,17
202,2018-11-18,2,13
203,2018-11-25,3,16
204,2018-12-02,2,15
205,2018-12-09,2,16
206,2018-12-16,3,17
207,2018-12-23,3,11
208,2018-12-30,2,15
209,2019-01-06,3,15
210,2019-01-13,3,14
211,2019-01-20,2,15
212,2019-01-27,3,15
213,2019-02-03,1,15
214,2019-02-10,2,19
215,2019-02-17,4,16
216,2019-02-24,2,18
217,2019-03-03,3,16
218,2019-03-10,2,17
219,2019-03-17,3,12
220,2019-03-24,3,13
221,2019-03-31,2,13
222,2019-04-07,2,15
223,2019-04-14,2,17
224,2019-04-21,3,19
