,date,Pink,Alphabet
0,2015-01-04,6,28
1,2015-01-11,3,36
2,2015-01-18,7,35
3,2015-01-25,6,33
4,2015-02-01,8,29
5,2015-02-08,6,34
6,2015-02-15,7,34
7,2015-02-22,5,33
8,2015-03-01,4,30
9,2015-03-08,4,23
10,2015-03-15,4,36
11,2015-03-22,9,34
12,2015-03-29,3,24
13,2015-04-05,4,31
14,2015-04-12,15,29
15,2015-04-19,5,35
16,2015-04-26,6,36
17,2015-05-03,7,28
18,2015-05-10,9,30
19,2015-05-17,7,31
20,2015-05-24,7,23
21,2015-05-31,4,23
22,2015-06-07,5,20
23,2015-06-14,5,29
24,2015-06-21,3,25
25,2015-06-28,4,19
26,2015-07-05,3,24
27,2015-07-12,0,25
28,2015-07-19,5,27
29,2015-07-26,7,21
30,2015-08-02,6,18
31,2015-08-09,3,52
32,2015-08-16,6,28
33,2015-08-23,8,32
34,2015-08-30,3,37
35,2015-09-06,8,41
36,2015-09-13,4,50
37,2015-09-20,0,36
38,2015-09-27,4,45
39,2015-10-04,2,36
40,2015-10-11,5,30
41,2015-10-18,7,44
42,2015-10-25,6,32
43,2015-11-01,2,44
44,2015-11-08,8,37
45,2015-11-15,7,36
46,2015-11-22,10,32
47,2015-11-29,8,35
48,2015-12-06,4,38
49,2015-12-13,4,33
50,2015-12-20,5,27
51,2015-12-27,6,18
52,2016-01-03,5,29
53,2016-01-10,6,26
54,2016-01-17,3,34
55,2016-01-24,4,31
56,2016-01-31,5,42
57,2016-02-07,8,32
58,2016-02-14,4,30
59,2016-02-21,4,35
60,2016-02-28,7,32
61,2016-03-06,8,31
62,2016-03-13,4,32
63,2016-03-20,4,27
64,2016-03-27,7,27
65,2016-04-03,7,30
66,2016-04-10,5,34
67,2016-04-17,8,27
68,2016-04-24,12,27
69,2016-05-01,16,26
70,2016-05-08,14,30
71,2016-05-15,13,30
72,2016-05-22,22,26
73,2016-05-29,17,27
74,2016-06-05,13,26
75,2016-06-12,11,25
76,2016-06-19,13,18
77,2016-06-26,9,21
78,2016-07-03,9,22
79,2016-07-10,8,26
80,2016-07-17,9,21
81,2016-07-24,14,23
82,2016-07-31,13,29
83,2016-08-07,8,23
84,2016-08-14,11,24
85,2016-08-21,11,25
86,2016-08-28,7,30
87,2016-09-04,6,31
88,2016-09-11,7,50
89,2016-09-18,9,35
90,2016-09-25,7,40
91,2016-10-02,6,30
92,2016-10-09,8,38
93,2016-10-16,6,26
94,2016-10-23,6,35
95,2016-10-30,5,30
96,2016-11-06,7,34
97,2016-11-13,14,31
98,2016-11-20,5,25
99,2016-11-27,9,36
100,2016-12-04,5,32
101,2016-12-11,4,29
102,2016-12-18,6,29
103,2016-12-25,9,23
104,2017-01-01,9,35
105,2017-01-08,4,29
106,2017-01-15,7,30
107,2017-01-22,5,33
108,2017-01-29,5,32
109,2017-02-05,8,31
110,2017-02-12,6,32
111,2017-02-19,5,26
112,2017-02-26,6,25
113,2017-03-05,5,33
114,2017-03-12,6,32
115,2017-03-19,7,31
116,2017-03-26,8,32
117,2017-04-02,5,30
118,2017-04-09,7,27
119,2017-04-16,4,29
120,2017-04-23,4,34
121,2017-04-30,3,29
122,2017-05-07,5,32
123,2017-05-14,3,27
124,2017-05-21,4,34
125,2017-05-28,7,26
126,2017-06-04,5,25
127,2017-06-11,5,28
128,2017-06-18,5,25
129,2017-06-25,5,23
130,2017-07-02,9,25
131,2017-07-09,10,25
132,2017-07-16,10,22
133,2017-07-23,8,20
134,2017-07-30,5,22
135,2017-08-06,12,24
136,2017-08-13,11,21
137,2017-08-20,9,25
138,2017-08-27,38,24
139,2017-09-03,15,34
140,2017-09-10,10,43
141,2017-09-17,9,39
142,2017-09-24,12,32
143,2017-10-01,36,34
144,2017-10-08,76,33
145,2017-10-15,44,32
146,2017-10-22,17,35
147,2017-10-29,16,32
148,2017-11-05,22,34
149,2017-11-12,16,36
150,2017-11-19,36,29
151,2017-11-26,14,35
152,2017-12-03,18,27
153,2017-12-10,16,31
154,2017-12-17,21,29
155,2017-12-24,24,26
156,2017-12-31,22,29
157,2018-01-07,21,30
158,2018-01-14,16,27
159,2018-01-21,21,30
160,2018-01-28,75,38
161,2018-02-04,100,34
162,2018-02-11,11,36
163,2018-02-18,20,33
164,2018-02-25,35,31
165,2018-03-04,38,34
166,2018-03-11,70,29
167,2018-03-18,17,32
168,2018-03-25,19,28
169,2018-04-01,14,30
170,2018-04-08,9,33
171,2018-04-15,15,34
172,2018-04-22,20,27
173,2018-04-29,28,30
174,2018-05-06,30,29
175,2018-05-13,24,32
176,2018-05-20,12,27
177,2018-05-27,16,29
178,2018-06-03,13,23
179,2018-06-10,11,21
180,2018-06-17,11,24
181,2018-06-24,11,22
182,2018-07-01,8,20
183,2018-07-08,9,23
184,2018-07-15,14,21
185,2018-07-22,14,18
186,2018-07-29,12,33
187,2018-08-05,16,19
188,2018-08-12,9,22
189,2018-08-19,12,18
190,2018-08-26,9,31
191,2018-09-02,10,40
192,2018-09-09,12,38
193,2018-09-16,6,30
194,2018-09-23,8,31
195,2018-09-30,10,39
196,2018-10-07,11,37
