,date,The Rolling Stones,Alphabet
0,2015-01-04,2,10
1,2015-01-11,2,13
2,2015-01-18,2,13
3,2015-01-25,2,12
4,2015-02-01,3,11
5,2015-02-08,3,13
6,2015-02-15,4,12
7,2015-02-22,2,12
8,2015-03-01,3,11
9,2015-03-08,6,9
10,2015-03-15,13,13
11,2015-03-22,8,12
12,2015-03-29,36,9
13,2015-04-05,38,11
14,2015-04-12,22,11
15,2015-04-19,8,13
16,2015-04-26,9,13
17,2015-05-03,7,10
18,2015-05-10,7,11
19,2015-05-17,12,11
20,2015-05-24,20,9
21,2015-05-31,100,8
22,2015-06-07,12,7
23,2015-06-14,8,11
24,2015-06-21,5,9
25,2015-06-28,6,7
26,2015-07-05,7,9
27,2015-07-12,4,9
28,2015-07-19,5,10
29,2015-07-26,4,8
30,2015-08-02,4,7
31,2015-08-09,3,19
32,2015-08-16,4,10
33,2015-08-23,4,12
34,2015-08-30,2,13
35,2015-09-06,3,15
36,2015-09-13,2,19
37,2015-09-20,2,13
38,2015-09-27,4,17
39,2015-10-04,3,13
40,2015-10-11,3,11
41,2015-10-18,3,16
42,2015-10-25,3,12
43,2015-11-01,4,16
44,2015-11-08,3,14
45,2015-11-15,4,13
46,2015-11-22,2,12
47,2015-11-29,6,13
48,2015-12-06,4,14
49,2015-12-13,2,12
50,2015-12-20,3,10
51,2015-12-27,5,7
52,2016-01-03,3,11
53,2016-01-10,2,10
54,2016-01-17,3,13
55,2016-01-24,4,12
56,2016-01-31,3,15
57,2016-02-07,3,12
58,2016-02-14,2,11
59,2016-02-21,5,13
60,2016-02-28,3,12
61,2016-03-06,3,11
62,2016-03-13,3,12
63,2016-03-20,6,10
64,2016-03-27,1,10
65,2016-04-03,4,11
66,2016-04-10,5,13
67,2016-04-17,2,10
68,2016-04-24,3,10
69,2016-05-01,3,9
70,2016-05-08,3,11
71,2016-05-15,3,11
72,2016-05-22,2,10
73,2016-05-29,4,10
74,2016-06-05,3,10
75,2016-06-12,2,9
76,2016-06-19,5,7
77,2016-06-26,4,8
78,2016-07-03,3,8
79,2016-07-10,3,9
80,2016-07-17,3,8
81,2016-07-24,3,9
82,2016-07-31,4,11
83,2016-08-07,2,9
84,2016-08-14,2,9
85,2016-08-21,1,9
86,2016-08-28,3,11
87,2016-09-04,3,11
88,2016-09-11,2,19
89,2016-09-18,2,13
90,2016-09-25,2,15
91,2016-10-02,5,11
92,2016-10-09,5,14
93,2016-10-16,3,10
94,2016-10-23,2,13
95,2016-10-30,3,11
96,2016-11-06,4,13
97,2016-11-13,3,12
98,2016-11-20,3,9
99,2016-11-27,5,13
100,2016-12-04,7,12
101,2016-12-11,5,11
102,2016-12-18,4,11
103,2016-12-25,3,8
104,2017-01-01,3,13
105,2017-01-08,2,11
106,2017-01-15,3,11
107,2017-01-22,3,12
108,2017-01-29,2,12
109,2017-02-05,2,11
110,2017-02-12,3,12
111,2017-02-19,3,10
112,2017-02-26,3,9
113,2017-03-05,2,12
114,2017-03-12,4,12
115,2017-03-19,3,11
116,2017-03-26,3,12
117,2017-04-02,3,11
118,2017-04-09,2,10
119,2017-04-16,3,11
120,2017-04-23,2,13
121,2017-04-30,4,11
122,2017-05-07,5,12
123,2017-05-14,4,10
124,2017-05-21,3,13
125,2017-05-28,3,9
126,2017-06-04,4,9
127,2017-06-11,3,10
128,2017-06-18,2,9
129,2017-06-25,3,9
130,2017-07-02,3,9
131,2017-07-09,3,9
132,2017-07-16,4,8
133,2017-07-23,4,7
134,2017-07-30,3,8
135,2017-08-06,3,9
136,2017-08-13,3,8
137,2017-08-20,3,9
138,2017-08-27,1,9
139,2017-09-03,2,13
140,2017-09-10,2,16
141,2017-09-17,1,14
142,2017-09-24,2,12
143,2017-10-01,4,12
144,2017-10-08,3,12
145,2017-10-15,3,12
146,2017-10-22,3,13
147,2017-10-29,3,12
148,2017-11-05,3,12
149,2017-11-12,2,13
150,2017-11-19,2,11
151,2017-11-26,2,13
152,2017-12-03,3,10
153,2017-12-10,2,11
154,2017-12-17,3,11
155,2017-12-24,3,10
156,2017-12-31,3,11
157,2018-01-07,3,11
158,2018-01-14,3,10
159,2018-01-21,3,11
160,2018-01-28,4,14
161,2018-02-04,3,13
162,2018-02-11,3,13
163,2018-02-18,3,12
164,2018-02-25,4,11
165,2018-03-04,2,13
166,2018-03-11,4,11
167,2018-03-18,2,12
168,2018-03-25,4,10
169,2018-04-01,4,11
170,2018-04-08,4,12
171,2018-04-15,3,13
172,2018-04-22,3,10
173,2018-04-29,3,11
174,2018-05-06,3,11
175,2018-05-13,4,12
176,2018-05-20,3,10
177,2018-05-27,4,11
178,2018-06-03,4,9
179,2018-06-10,3,8
180,2018-06-17,4,9
181,2018-06-24,5,8
182,2018-07-01,3,7
183,2018-07-08,4,9
184,2018-07-15,3,8
185,2018-07-22,3,7
186,2018-07-29,4,12
187,2018-08-05,3,7
188,2018-08-12,2,8
189,2018-08-19,3,6
190,2018-08-26,2,11
191,2018-09-02,4,15
192,2018-09-09,3,14
193,2018-09-16,3,11
194,2018-09-23,4,11
195,2018-09-30,3,14
196,2018-10-07,3,14
197,2018-10-14,2,10
198,2018-10-21,2,12
199,2018-10-28,2,13
200,2018-11-04,4,11
