,date,U2,Alphabet
0,2015-01-04,4,13
1,2015-01-11,3,17
2,2015-01-18,5,17
3,2015-01-25,3,16
4,2015-02-01,6,14
5,2015-02-08,6,16
6,2015-02-15,5,16
7,2015-02-22,4,16
8,2015-03-01,3,14
9,2015-03-08,5,11
10,2015-03-15,3,17
11,2015-03-22,4,16
12,2015-03-29,4,11
13,2015-04-05,4,15
14,2015-04-12,2,14
15,2015-04-19,5,17
16,2015-04-26,3,17
17,2015-05-03,3,14
18,2015-05-10,8,14
19,2015-05-17,7,15
20,2015-05-24,11,11
21,2015-05-31,7,11
22,2015-06-07,5,9
23,2015-06-14,6,14
24,2015-06-21,7,12
25,2015-06-28,6,9
26,2015-07-05,5,11
27,2015-07-12,5,12
28,2015-07-19,5,13
29,2015-07-26,5,10
30,2015-08-02,5,9
31,2015-08-09,3,25
32,2015-08-16,3,14
33,2015-08-23,1,15
34,2015-08-30,2,17
35,2015-09-06,4,19
36,2015-09-13,3,24
37,2015-09-20,3,17
38,2015-09-27,6,21
39,2015-10-04,2,17
40,2015-10-11,5,14
41,2015-10-18,4,21
42,2015-10-25,3,15
43,2015-11-01,1,21
44,2015-11-08,4,18
45,2015-11-15,4,17
46,2015-11-22,5,15
47,2015-11-29,4,17
48,2015-12-06,6,18
49,2015-12-13,6,16
50,2015-12-20,3,13
51,2015-12-27,4,9
52,2016-01-03,2,14
53,2016-01-10,2,12
54,2016-01-17,3,16
55,2016-01-24,2,15
56,2016-01-31,3,20
57,2016-02-07,5,15
58,2016-02-14,3,15
59,2016-02-21,4,17
60,2016-02-28,4,15
61,2016-03-06,3,15
62,2016-03-13,4,15
63,2016-03-20,4,13
64,2016-03-27,3,13
65,2016-04-03,2,14
66,2016-04-10,2,16
67,2016-04-17,3,13
68,2016-04-24,2,13
69,2016-05-01,2,12
70,2016-05-08,3,14
71,2016-05-15,3,15
72,2016-05-22,4,13
73,2016-05-29,2,13
74,2016-06-05,3,12
75,2016-06-12,3,12
76,2016-06-19,4,8
77,2016-06-26,3,10
78,2016-07-03,3,10
79,2016-07-10,1,12
80,2016-07-17,3,10
81,2016-07-24,4,11
82,2016-07-31,1,14
83,2016-08-07,2,11
84,2016-08-14,4,12
85,2016-08-21,1,12
86,2016-08-28,4,14
87,2016-09-04,3,15
88,2016-09-11,2,24
89,2016-09-18,5,17
90,2016-09-25,3,19
91,2016-10-02,4,14
92,2016-10-09,3,18
93,2016-10-16,3,13
94,2016-10-23,4,17
95,2016-10-30,3,15
96,2016-11-06,3,16
97,2016-11-13,4,15
98,2016-11-20,1,12
99,2016-11-27,1,17
100,2016-12-04,2,15
101,2016-12-11,4,14
102,2016-12-18,2,14
103,2016-12-25,2,11
104,2017-01-01,3,17
105,2017-01-08,18,14
106,2017-01-15,11,14
107,2017-01-22,2,16
108,2017-01-29,3,15
109,2017-02-05,5,15
110,2017-02-12,4,15
111,2017-02-19,4,12
112,2017-02-26,4,12
113,2017-03-05,4,16
114,2017-03-12,4,15
115,2017-03-19,4,15
116,2017-03-26,3,15
117,2017-04-02,3,15
118,2017-04-09,5,13
119,2017-04-16,3,14
120,2017-04-23,5,16
121,2017-04-30,3,14
122,2017-05-07,5,15
123,2017-05-14,9,13
124,2017-05-21,11,16
125,2017-05-28,9,12
126,2017-06-04,44,12
127,2017-06-11,30,13
128,2017-06-18,10,12
129,2017-06-25,8,11
130,2017-07-02,9,12
131,2017-07-09,6,12
132,2017-07-16,7,11
133,2017-07-23,7,10
134,2017-07-30,8,10
135,2017-08-06,8,11
136,2017-08-13,9,10
137,2017-08-20,8,12
138,2017-08-27,16,12
139,2017-09-03,100,16
140,2017-09-10,20,20
141,2017-09-17,7,19
142,2017-09-24,3,16
143,2017-10-01,3,16
144,2017-10-08,3,16
145,2017-10-15,3,15
146,2017-10-22,2,17
147,2017-10-29,3,15
148,2017-11-05,4,16
149,2017-11-12,3,17
150,2017-11-19,4,14
151,2017-11-26,5,17
152,2017-12-03,10,13
153,2017-12-10,5,15
154,2017-12-17,5,14
155,2017-12-24,2,13
156,2017-12-31,5,14
157,2018-01-07,3,15
158,2018-01-14,4,13
159,2018-01-21,3,14
160,2018-01-28,10,18
161,2018-02-04,2,16
162,2018-02-11,1,17
163,2018-02-18,3,16
164,2018-02-25,1,15
165,2018-03-04,2,16
166,2018-03-11,3,14
167,2018-03-18,3,15
168,2018-03-25,2,14
169,2018-04-01,4,14
170,2018-04-08,3,16
171,2018-04-15,4,16
172,2018-04-22,2,13
173,2018-04-29,5,14
174,2018-05-06,4,14
175,2018-05-13,5,15
176,2018-05-20,5,13
177,2018-05-27,5,14
178,2018-06-03,2,11
179,2018-06-10,4,10
180,2018-06-17,4,12
181,2018-06-24,3,10
182,2018-07-01,2,10
183,2018-07-08,5,11
184,2018-07-15,3,10
185,2018-07-22,4,9
186,2018-07-29,4,16
187,2018-08-05,2,9
188,2018-08-12,2,10
189,2018-08-19,4,8
190,2018-08-26,2,15
191,2018-09-02,3,19
192,2018-09-09,3,18
193,2018-09-16,3,14
194,2018-09-23,3,15
195,2018-09-30,2,19
196,2018-10-07,2,18
197,2018-10-14,2,12
198,2018-10-21,3,15
199,2018-10-28,2,17
200,2018-11-04,2,15
201,2018-11-11,3,17
202,2018-11-18,2,12
203,2018-11-25,3,16
204,2018-12-02,3,14
205,2018-12-09,2,16
206,2018-12-16,2,17
207,2018-12-23,2,10
208,2018-12-30,1,15
209,2019-01-06,2,15
210,2019-01-13,3,14
211,2019-01-20,3,15
212,2019-01-27,1,15
213,2019-02-03,2,14
214,2019-02-10,3,18
215,2019-02-17,3,16
216,2019-02-24,3,18
217,2019-03-03,2,16
218,2019-03-10,3,17
219,2019-03-17,2,11
220,2019-03-24,2,13
221,2019-03-31,3,12
222,2019-04-07,2,14
223,2019-04-14,2,17
224,2019-04-21,1,18
225,2019-04-28,2,15
226,2019-05-05,3,14
227,2019-05-12,2,13
228,2019-05-19,3,16
229,2019-05-26,2,16
230,2019-06-02,2,15
231,2019-06-09,2,12
232,2019-06-16,3,11
233,2019-06-23,2,13
234,2019-06-30,2,12
235,2019-07-07,2,12
236,2019-07-14,3,11
237,2019-07-21,3,11
238,2019-07-28,2,12
239,2019-08-04,2,11
240,2019-08-11,1,12
241,2019-08-18,2,13
242,2019-08-25,2,13
243,2019-09-01,1,16
244,2019-09-08,2,20
245,2019-09-15,2,15
246,2019-09-22,3,18
247,2019-09-29,2,19
248,2019-10-06,2,18
249,2019-10-13,2,15
250,2019-10-20,2,18
251,2019-10-27,1,19
252,2019-11-03,3,16
253,2019-11-10,2,18
254,2019-11-17,2,17
255,2019-11-24,2,12
256,2019-12-01,2,16
257,2019-12-08,3,15
258,2019-12-15,3,14
259,2019-12-22,3,11
260,2019-12-29,5,14
