,date,Bruno Mars,Alphabet
0,2015-01-04,19,23
1,2015-01-11,35,23
2,2015-01-18,30,25
3,2015-01-25,29,23
4,2015-02-01,32,27
5,2015-02-08,25,25
6,2015-02-15,24,21
7,2015-02-22,20,23
8,2015-03-01,15,23
9,2015-03-08,18,23
10,2015-03-15,16,23
11,2015-03-22,13,23
12,2015-03-29,15,20
13,2015-04-05,14,21
14,2015-04-12,11,26
15,2015-04-19,12,22
16,2015-04-26,10,13
17,2015-05-03,9,25
18,2015-05-10,9,20
19,2015-05-17,9,24
20,2015-05-24,8,20
21,2015-05-31,12,19
22,2015-06-07,10,15
23,2015-06-14,9,17
24,2015-06-21,11,18
25,2015-06-28,10,18
26,2015-07-05,10,15
27,2015-07-12,9,20
28,2015-07-19,7,20
29,2015-07-26,6,16
30,2015-08-02,7,19
31,2015-08-09,7,41
32,2015-08-16,8,38
33,2015-08-23,5,32
34,2015-08-30,7,32
35,2015-09-06,8,33
36,2015-09-13,8,31
37,2015-09-20,5,26
38,2015-09-27,9,29
39,2015-10-04,8,29
40,2015-10-11,10,20
41,2015-10-18,6,30
42,2015-10-25,11,28
43,2015-11-01,7,27
44,2015-11-08,7,22
45,2015-11-15,5,24
46,2015-11-22,5,20
47,2015-11-29,8,22
48,2015-12-06,5,27
49,2015-12-13,5,24
50,2015-12-20,5,23
51,2015-12-27,7,13
52,2016-01-03,4,20
53,2016-01-10,4,21
54,2016-01-17,7,23
55,2016-01-24,4,26
56,2016-01-31,11,27
57,2016-02-07,56,18
58,2016-02-14,22,26
59,2016-02-21,10,23
60,2016-02-28,7,20
61,2016-03-06,7,24
62,2016-03-13,9,23
63,2016-03-20,7,21
64,2016-03-27,6,22
65,2016-04-03,6,22
66,2016-04-10,5,21
67,2016-04-17,8,23
68,2016-04-24,5,22
69,2016-05-01,5,20
70,2016-05-08,4,21
71,2016-05-15,6,18
72,2016-05-22,7,20
73,2016-05-29,4,17
74,2016-06-05,5,13
75,2016-06-12,5,19
76,2016-06-19,5,17
77,2016-06-26,5,16
78,2016-07-03,6,20
79,2016-07-10,7,16
80,2016-07-17,5,16
81,2016-07-24,6,19
82,2016-07-31,6,22
83,2016-08-07,5,19
84,2016-08-14,5,25
85,2016-08-21,5,32
86,2016-08-28,4,30
87,2016-09-04,5,26
88,2016-09-11,5,27
89,2016-09-18,5,23
90,2016-09-25,3,26
91,2016-10-02,15,28
92,2016-10-09,12,23
93,2016-10-16,28,25
94,2016-10-23,10,24
95,2016-10-30,14,29
96,2016-11-06,9,20
97,2016-11-13,28,25
98,2016-11-20,50,19
99,2016-11-27,20,25
100,2016-12-04,22,25
101,2016-12-11,50,21
102,2016-12-18,32,20
103,2016-12-25,23,16
104,2017-01-01,19,20
105,2017-01-08,24,23
106,2017-01-15,17,23
107,2017-01-22,19,23
108,2017-01-29,14,27
109,2017-02-05,23,24
110,2017-02-12,100,22
111,2017-02-19,33,22
112,2017-02-26,33,19
113,2017-03-05,35,18
114,2017-03-12,31,17
115,2017-03-19,28,17
116,2017-03-26,33,23
117,2017-04-02,22,18
118,2017-04-09,25,22
119,2017-04-16,26,22
120,2017-04-23,29,22
121,2017-04-30,28,20
122,2017-05-07,26,21
123,2017-05-14,30,23
124,2017-05-21,39,21
125,2017-05-28,28,20
126,2017-06-04,26,20
127,2017-06-11,28,20
128,2017-06-18,24,15
129,2017-06-25,43,16
130,2017-07-02,27,18
131,2017-07-09,23,17
132,2017-07-16,26,17
133,2017-07-23,22,21
134,2017-07-30,25,15
135,2017-08-06,64,17
136,2017-08-13,28,22
137,2017-08-20,20,30
138,2017-08-27,14,29
139,2017-09-03,13,27
140,2017-09-10,16,27
141,2017-09-17,14,28
142,2017-09-24,14,32
143,2017-10-01,10,26
144,2017-10-08,11,26
145,2017-10-15,12,26
146,2017-10-22,16,29
147,2017-10-29,10,28
148,2017-11-05,10,26
149,2017-11-12,8,27
150,2017-11-19,11,23
151,2017-11-26,25,26
152,2017-12-03,15,25
153,2017-12-10,10,26
154,2017-12-17,11,22
155,2017-12-24,12,17
156,2017-12-31,24,21
157,2018-01-07,20,26
158,2018-01-14,18,20
159,2018-01-21,26,26
160,2018-01-28,70,26
161,2018-02-04,34,24
162,2018-02-11,25,23
163,2018-02-18,17,20
164,2018-02-25,17,20
165,2018-03-04,20,24
166,2018-03-11,21,25
167,2018-03-18,15,27
168,2018-03-25,17,24
169,2018-04-01,15,23
170,2018-04-08,14,24
171,2018-04-15,16,25
172,2018-04-22,13,28
173,2018-04-29,14,23
174,2018-05-06,11,19
175,2018-05-13,10,19
176,2018-05-20,11,17
177,2018-05-27,12,19
178,2018-06-03,11,17
179,2018-06-10,10,18
180,2018-06-17,10,20
181,2018-06-24,11,19
182,2018-07-01,10,16
183,2018-07-08,10,20
184,2018-07-15,9,16
185,2018-07-22,11,19
186,2018-07-29,12,17
187,2018-08-05,7,17
188,2018-08-12,11,22
189,2018-08-19,9,34
190,2018-08-26,8,31
191,2018-09-02,12,33
192,2018-09-09,11,26
193,2018-09-16,13,27
194,2018-09-23,10,25
195,2018-09-30,11,25
196,2018-10-07,15,23
197,2018-10-14,7,24
198,2018-10-21,11,32
199,2018-10-28,7,29
200,2018-11-04,10,19
201,2018-11-11,9,26
202,2018-11-18,9,17
203,2018-11-25,6,21
204,2018-12-02,7,29
205,2018-12-09,6,21
206,2018-12-16,8,21
207,2018-12-23,10,19
208,2018-12-30,7,23
209,2019-01-06,7,23
210,2019-01-13,7,24
211,2019-01-20,6,25
212,2019-01-27,8,24
213,2019-02-03,10,24
214,2019-02-10,12,19
215,2019-02-17,13,22
216,2019-02-24,12,26
217,2019-03-03,16,20
218,2019-03-10,9,23
219,2019-03-17,12,22
220,2019-03-24,10,24
221,2019-03-31,7,23
222,2019-04-07,12,20
223,2019-04-14,8,21
224,2019-04-21,7,20
225,2019-04-28,9,27
226,2019-05-05,6,22
227,2019-05-12,5,22
228,2019-05-19,6,18
229,2019-05-26,7,17
230,2019-06-02,6,17
231,2019-06-09,7,19
232,2019-06-16,7,22
233,2019-06-23,4,17
234,2019-06-30,6,13
235,2019-07-07,8,17
236,2019-07-14,5,18
237,2019-07-21,6,18
238,2019-07-28,7,18
239,2019-08-04,7,18
240,2019-08-11,4,24
241,2019-08-18,6,29
242,2019-08-25,6,32
243,2019-09-01,6,24
244,2019-09-08,8,29
245,2019-09-15,7,28
246,2019-09-22,4,27
247,2019-09-29,3,24
248,2019-10-06,8,18
249,2019-10-13,5,25
250,2019-10-20,5,30
251,2019-10-27,6,29
252,2019-11-03,6,27
253,2019-11-10,4,23
254,2019-11-17,5,28
255,2019-11-24,7,20
256,2019-12-01,7,25
257,2019-12-08,6,25
258,2019-12-15,6,22
259,2019-12-22,6,16
260,2019-12-29,5,22
