,date,Guns N' Roses,Alphabet
0,2015-01-04,2,17
1,2015-01-11,3,18
2,2015-01-18,3,19
3,2015-01-25,3,17
4,2015-02-01,1,20
5,2015-02-08,2,19
6,2015-02-15,3,15
7,2015-02-22,3,17
8,2015-03-01,2,17
9,2015-03-08,2,18
10,2015-03-15,3,17
11,2015-03-22,2,18
12,2015-03-29,4,15
13,2015-04-05,2,16
14,2015-04-12,4,20
15,2015-04-19,2,17
16,2015-04-26,2,10
17,2015-05-03,2,19
18,2015-05-10,4,15
19,2015-05-17,2,18
20,2015-05-24,0,15
21,2015-05-31,3,14
22,2015-06-07,3,11
23,2015-06-14,1,13
24,2015-06-21,0,13
25,2015-06-28,4,14
26,2015-07-05,3,11
27,2015-07-12,1,15
28,2015-07-19,2,15
29,2015-07-26,2,12
30,2015-08-02,2,14
31,2015-08-09,3,31
32,2015-08-16,1,29
33,2015-08-23,1,24
34,2015-08-30,4,24
35,2015-09-06,2,25
36,2015-09-13,1,23
37,2015-09-20,4,19
38,2015-09-27,3,22
39,2015-10-04,2,22
40,2015-10-11,3,15
41,2015-10-18,1,23
42,2015-10-25,2,21
43,2015-11-01,2,20
44,2015-11-08,8,17
45,2015-11-15,5,18
46,2015-11-22,3,15
47,2015-11-29,4,16
48,2015-12-06,2,20
49,2015-12-13,3,18
50,2015-12-20,5,17
51,2015-12-27,8,10
52,2016-01-03,13,15
53,2016-01-10,6,16
54,2016-01-17,7,17
55,2016-01-24,5,20
56,2016-01-31,4,20
57,2016-02-07,5,13
58,2016-02-14,3,20
59,2016-02-21,4,17
60,2016-02-28,5,15
61,2016-03-06,4,18
62,2016-03-13,3,17
63,2016-03-20,10,16
64,2016-03-27,35,17
65,2016-04-03,38,16
66,2016-04-10,21,16
67,2016-04-17,15,17
68,2016-04-24,9,16
69,2016-05-01,6,15
70,2016-05-08,5,16
71,2016-05-15,7,13
72,2016-05-22,7,15
73,2016-05-29,9,12
74,2016-06-05,8,9
75,2016-06-12,6,14
76,2016-06-19,19,13
77,2016-06-26,62,12
78,2016-07-03,14,15
79,2016-07-10,10,12
80,2016-07-17,8,12
81,2016-07-24,6,15
82,2016-07-31,5,17
83,2016-08-07,3,14
84,2016-08-14,4,19
85,2016-08-21,7,24
86,2016-08-28,3,23
87,2016-09-04,3,20
88,2016-09-11,4,21
89,2016-09-18,3,17
90,2016-09-25,3,19
91,2016-10-02,5,21
92,2016-10-09,4,17
93,2016-10-16,5,19
94,2016-10-23,2,18
95,2016-10-30,4,22
96,2016-11-06,3,15
97,2016-11-13,4,18
98,2016-11-20,7,15
99,2016-11-27,8,19
100,2016-12-04,30,19
101,2016-12-11,9,16
102,2016-12-18,6,15
103,2016-12-25,8,12
104,2017-01-01,5,15
105,2017-01-08,4,17
106,2017-01-15,5,17
107,2017-01-22,5,17
108,2017-01-29,5,20
109,2017-02-05,6,18
110,2017-02-12,5,17
111,2017-02-19,3,17
112,2017-02-26,5,14
113,2017-03-05,3,14
114,2017-03-12,5,13
115,2017-03-19,3,13
116,2017-03-26,4,17
117,2017-04-02,4,13
118,2017-04-09,4,16
119,2017-04-16,4,16
120,2017-04-23,5,16
121,2017-04-30,5,15
122,2017-05-07,4,16
123,2017-05-14,4,17
124,2017-05-21,10,16
125,2017-05-28,7,15
126,2017-06-04,7,15
127,2017-06-11,7,15
128,2017-06-18,7,11
129,2017-06-25,7,12
130,2017-07-02,11,14
131,2017-07-09,12,13
132,2017-07-16,18,13
133,2017-07-23,100,16
134,2017-07-30,12,11
135,2017-08-06,7,13
136,2017-08-13,5,16
137,2017-08-20,5,23
138,2017-08-27,4,22
139,2017-09-03,4,20
140,2017-09-10,2,20
141,2017-09-17,5,21
142,2017-09-24,5,24
143,2017-10-01,5,19
144,2017-10-08,3,20
145,2017-10-15,4,19
146,2017-10-22,3,22
147,2017-10-29,5,21
148,2017-11-05,4,20
149,2017-11-12,7,20
150,2017-11-19,3,17
151,2017-11-26,3,20
152,2017-12-03,3,19
153,2017-12-10,3,19
154,2017-12-17,4,16
155,2017-12-24,4,13
156,2017-12-31,3,16
157,2018-01-07,4,19
158,2018-01-14,4,15
159,2018-01-21,4,20
160,2018-01-28,2,19
161,2018-02-04,5,18
162,2018-02-11,3,17
163,2018-02-18,1,15
164,2018-02-25,4,15
165,2018-03-04,4,18
166,2018-03-11,3,19
167,2018-03-18,4,20
168,2018-03-25,5,18
169,2018-04-01,2,17
170,2018-04-08,2,18
171,2018-04-15,3,19
172,2018-04-22,4,21
173,2018-04-29,6,18
174,2018-05-06,3,15
175,2018-05-13,4,14
176,2018-05-20,5,13
177,2018-05-27,4,14
178,2018-06-03,5,13
179,2018-06-10,4,13
180,2018-06-17,3,15
181,2018-06-24,4,14
182,2018-07-01,4,12
183,2018-07-08,4,15
184,2018-07-15,3,12
185,2018-07-22,3,14
186,2018-07-29,3,13
187,2018-08-05,5,13
188,2018-08-12,4,17
189,2018-08-19,3,25
190,2018-08-26,4,23
191,2018-09-02,1,25
192,2018-09-09,2,20
193,2018-09-16,3,21
194,2018-09-23,2,19
195,2018-09-30,4,19
196,2018-10-07,3,17
197,2018-10-14,2,18
198,2018-10-21,3,24
199,2018-10-28,4,22
200,2018-11-04,2,15
201,2018-11-11,3,19
202,2018-11-18,2,13
203,2018-11-25,2,16
204,2018-12-02,1,22
205,2018-12-09,4,16
206,2018-12-16,3,16
207,2018-12-23,3,15
208,2018-12-30,3,18
209,2019-01-06,2,17
210,2019-01-13,2,18
211,2019-01-20,4,18
212,2019-01-27,3,18
213,2019-02-03,3,18
214,2019-02-10,3,14
215,2019-02-17,3,16
216,2019-02-24,3,19
217,2019-03-03,3,15
218,2019-03-10,2,17
219,2019-03-17,2,16
220,2019-03-24,3,18
221,2019-03-31,4,17
222,2019-04-07,4,15
223,2019-04-14,3,16
224,2019-04-21,4,15
225,2019-04-28,2,20
226,2019-05-05,4,17
227,2019-05-12,3,16
228,2019-05-19,2,14
229,2019-05-26,3,13
230,2019-06-02,2,13
231,2019-06-09,3,14
232,2019-06-16,7,17
233,2019-06-23,5,12
234,2019-06-30,3,10
235,2019-07-07,5,13
236,2019-07-14,6,14
237,2019-07-21,3,14
238,2019-07-28,4,14
239,2019-08-04,5,14
240,2019-08-11,3,18
241,2019-08-18,4,22
242,2019-08-25,4,24
243,2019-09-01,4,18
244,2019-09-08,3,22
245,2019-09-15,3,21
246,2019-09-22,3,20
247,2019-09-29,5,18
248,2019-10-06,5,13
249,2019-10-13,3,19
250,2019-10-20,4,22
251,2019-10-27,3,22
252,2019-11-03,3,20
253,2019-11-10,2,18
254,2019-11-17,4,21
255,2019-11-24,3,15
256,2019-12-01,2,19
257,2019-12-08,2,19
258,2019-12-15,3,16
259,2019-12-22,3,12
260,2019-12-29,3,16
