,date,Metallica,Alphabet
0,2015-01-04,9,23
1,2015-01-11,10,23
2,2015-01-18,7,24
3,2015-01-25,5,23
4,2015-02-01,5,27
5,2015-02-08,6,25
6,2015-02-15,8,20
7,2015-02-22,4,23
8,2015-03-01,8,23
9,2015-03-08,7,23
10,2015-03-15,6,23
11,2015-03-22,5,23
12,2015-03-29,8,20
13,2015-04-05,10,20
14,2015-04-12,3,26
15,2015-04-19,7,22
16,2015-04-26,6,13
17,2015-05-03,6,24
18,2015-05-10,7,20
19,2015-05-17,6,24
20,2015-05-24,7,20
21,2015-05-31,8,19
22,2015-06-07,6,15
23,2015-06-14,10,17
24,2015-06-21,8,17
25,2015-06-28,6,18
26,2015-07-05,8,15
27,2015-07-12,5,20
28,2015-07-19,9,19
29,2015-07-26,8,15
30,2015-08-02,9,18
31,2015-08-09,7,40
32,2015-08-16,5,38
33,2015-08-23,4,32
34,2015-08-30,9,32
35,2015-09-06,11,32
36,2015-09-13,7,30
37,2015-09-20,7,25
38,2015-09-27,7,29
39,2015-10-04,6,29
40,2015-10-11,7,19
41,2015-10-18,6,29
42,2015-10-25,8,28
43,2015-11-01,6,26
44,2015-11-08,6,22
45,2015-11-15,6,24
46,2015-11-22,8,19
47,2015-11-29,6,21
48,2015-12-06,5,27
49,2015-12-13,6,23
50,2015-12-20,7,23
51,2015-12-27,6,13
52,2016-01-03,5,19
53,2016-01-10,9,20
54,2016-01-17,5,23
55,2016-01-24,8,26
56,2016-01-31,7,27
57,2016-02-07,12,18
58,2016-02-14,8,26
59,2016-02-21,8,23
60,2016-02-28,5,19
61,2016-03-06,9,24
62,2016-03-13,7,22
63,2016-03-20,9,20
64,2016-03-27,5,22
65,2016-04-03,7,21
66,2016-04-10,7,20
67,2016-04-17,10,23
68,2016-04-24,10,21
69,2016-05-01,7,20
70,2016-05-08,5,20
71,2016-05-15,6,18
72,2016-05-22,12,20
73,2016-05-29,7,16
74,2016-06-05,8,12
75,2016-06-12,7,19
76,2016-06-19,7,17
77,2016-06-26,9,16
78,2016-07-03,6,20
79,2016-07-10,9,16
80,2016-07-17,9,16
81,2016-07-24,5,19
82,2016-07-31,7,22
83,2016-08-07,7,19
84,2016-08-14,17,25
85,2016-08-21,12,31
86,2016-08-28,9,30
87,2016-09-04,8,26
88,2016-09-11,11,27
89,2016-09-18,8,23
90,2016-09-25,14,25
91,2016-10-02,10,27
92,2016-10-09,9,22
93,2016-10-16,10,25
94,2016-10-23,8,24
95,2016-10-30,10,29
96,2016-11-06,8,20
97,2016-11-13,28,24
98,2016-11-20,19,19
99,2016-11-27,11,24
100,2016-12-04,13,25
101,2016-12-11,10,21
102,2016-12-18,14,19
103,2016-12-25,12,16
104,2017-01-01,8,19
105,2017-01-08,11,23
106,2017-01-15,9,23
107,2017-01-22,12,23
108,2017-01-29,14,26
109,2017-02-05,12,24
110,2017-02-12,99,22
111,2017-02-19,26,22
112,2017-02-26,15,19
113,2017-03-05,13,18
114,2017-03-12,9,17
115,2017-03-19,12,17
116,2017-03-26,12,22
117,2017-04-02,11,17
118,2017-04-09,13,21
119,2017-04-16,14,22
120,2017-04-23,11,21
121,2017-04-30,10,19
122,2017-05-07,13,20
123,2017-05-14,21,23
124,2017-05-21,21,21
125,2017-05-28,39,19
126,2017-06-04,100,20
127,2017-06-11,15,20
128,2017-06-18,13,15
129,2017-06-25,11,16
130,2017-07-02,9,18
131,2017-07-09,9,16
132,2017-07-16,6,17
133,2017-07-23,8,20
134,2017-07-30,7,14
135,2017-08-06,8,17
136,2017-08-13,9,21
137,2017-08-20,5,30
138,2017-08-27,6,28
139,2017-09-03,6,26
140,2017-09-10,8,26
141,2017-09-17,9,27
142,2017-09-24,8,31
143,2017-10-01,6,25
144,2017-10-08,6,26
145,2017-10-15,7,25
146,2017-10-22,9,29
147,2017-10-29,7,28
148,2017-11-05,7,26
149,2017-11-12,7,27
150,2017-11-19,6,22
151,2017-11-26,7,26
152,2017-12-03,6,24
153,2017-12-10,8,25
154,2017-12-17,5,21
155,2017-12-24,6,17
156,2017-12-31,6,20
157,2018-01-07,6,25
158,2018-01-14,7,19
159,2018-01-21,8,26
160,2018-01-28,8,25
161,2018-02-04,5,24
162,2018-02-11,8,23
163,2018-02-18,6,20
164,2018-02-25,25,19
165,2018-03-04,11,23
166,2018-03-11,16,25
167,2018-03-18,9,26
168,2018-03-25,7,24
169,2018-04-01,8,23
170,2018-04-08,8,24
171,2018-04-15,9,24
172,2018-04-22,7,27
173,2018-04-29,8,23
174,2018-05-06,7,19
175,2018-05-13,8,18
176,2018-05-20,8,17
177,2018-05-27,9,19
178,2018-06-03,9,17
179,2018-06-10,7,18
180,2018-06-17,5,20
181,2018-06-24,6,19
182,2018-07-01,11,16
183,2018-07-08,8,19
184,2018-07-15,8,15
185,2018-07-22,8,18
186,2018-07-29,8,17
187,2018-08-05,10,17
188,2018-08-12,7,22
189,2018-08-19,7,33
190,2018-08-26,9,31
191,2018-09-02,10,32
192,2018-09-09,9,26
193,2018-09-16,10,27
194,2018-09-23,6,24
195,2018-09-30,7,25
196,2018-10-07,7,22
197,2018-10-14,11,24
198,2018-10-21,10,32
199,2018-10-28,9,29
200,2018-11-04,5,19
201,2018-11-11,6,25
202,2018-11-18,10,16
203,2018-11-25,10,21
204,2018-12-02,9,29
205,2018-12-09,9,21
206,2018-12-16,12,21
207,2018-12-23,8,19
208,2018-12-30,10,23
209,2019-01-06,8,22
210,2019-01-13,12,24
211,2019-01-20,12,24
212,2019-01-27,9,24
213,2019-02-03,8,24
214,2019-02-10,10,19
215,2019-02-17,10,21
216,2019-02-24,16,25
217,2019-03-03,42,20
218,2019-03-10,10,22
219,2019-03-17,10,21
220,2019-03-24,7,24
221,2019-03-31,9,22
222,2019-04-07,7,20
223,2019-04-14,9,21
224,2019-04-21,7,20
225,2019-04-28,7,26
226,2019-05-05,8,22
227,2019-05-12,7,21
228,2019-05-19,7,18
229,2019-05-26,7,17
230,2019-06-02,5,17
231,2019-06-09,7,18
232,2019-06-16,7,22
233,2019-06-23,6,16
234,2019-06-30,7,13
235,2019-07-07,7,16
236,2019-07-14,8,18
237,2019-07-21,8,18
238,2019-07-28,7,18
239,2019-08-04,9,18
240,2019-08-11,7,23
241,2019-08-18,8,29
242,2019-08-25,8,31
243,2019-09-01,7,24
244,2019-09-08,7,29
245,2019-09-15,6,28
246,2019-09-22,8,27
247,2019-09-29,10,23
248,2019-10-06,7,18
249,2019-10-13,8,25
250,2019-10-20,9,29
251,2019-10-27,6,28
252,2019-11-03,7,27
253,2019-11-10,5,23
254,2019-11-17,6,28
255,2019-11-24,10,20
256,2019-12-01,6,25
257,2019-12-08,6,25
258,2019-12-15,8,21
259,2019-12-22,5,16
260,2019-12-29,6,21
