,date,The Rolling Stones,Alphabet
0,2015-01-04,5,40
1,2015-01-11,3,40
2,2015-01-18,9,43
3,2015-01-25,12,40
4,2015-02-01,13,47
5,2015-02-08,8,43
6,2015-02-15,11,36
7,2015-02-22,10,40
8,2015-03-01,8,40
9,2015-03-08,5,40
10,2015-03-15,17,40
11,2015-03-22,15,40
12,2015-03-29,56,34
13,2015-04-05,45,36
14,2015-04-12,40,45
15,2015-04-19,19,38
16,2015-04-26,23,22
17,2015-05-03,18,43
18,2015-05-10,16,35
19,2015-05-17,21,41
20,2015-05-24,28,35
21,2015-05-31,30,33
22,2015-06-07,29,26
23,2015-06-14,46,30
24,2015-06-21,100,31
25,2015-06-28,96,32
26,2015-07-05,18,26
27,2015-07-12,6,34
28,2015-07-19,9,34
29,2015-07-26,13,27
30,2015-08-02,10,32
31,2015-08-09,14,70
32,2015-08-16,9,66
33,2015-08-23,10,56
34,2015-08-30,9,55
35,2015-09-06,9,57
36,2015-09-13,7,53
37,2015-09-20,7,44
38,2015-09-27,13,50
39,2015-10-04,6,51
40,2015-10-11,7,34
41,2015-10-18,11,52
42,2015-10-25,10,48
43,2015-11-01,10,46
44,2015-11-08,10,38
45,2015-11-15,9,42
46,2015-11-22,10,34
47,2015-11-29,6,38
48,2015-12-06,10,47
49,2015-12-13,7,41
50,2015-12-20,11,40
51,2015-12-27,9,23
52,2016-01-03,14,34
53,2016-01-10,13,36
54,2016-01-17,11,40
55,2016-01-24,10,45
56,2016-01-31,5,47
57,2016-02-07,10,31
58,2016-02-14,10,45
59,2016-02-21,7,40
60,2016-02-28,10,34
61,2016-03-06,10,41
62,2016-03-13,14,39
63,2016-03-20,10,36
64,2016-03-27,11,38
65,2016-04-03,11,38
66,2016-04-10,12,36
67,2016-04-17,10,40
68,2016-04-24,11,37
69,2016-05-01,13,35
70,2016-05-08,10,36
71,2016-05-15,6,31
72,2016-05-22,11,35
73,2016-05-29,8,29
74,2016-06-05,8,22
75,2016-06-12,11,33
76,2016-06-19,9,29
77,2016-06-26,13,28
78,2016-07-03,6,34
79,2016-07-10,12,28
80,2016-07-17,4,28
81,2016-07-24,12,33
82,2016-07-31,8,39
83,2016-08-07,11,33
84,2016-08-14,2,43
85,2016-08-21,9,55
86,2016-08-28,6,52
87,2016-09-04,10,45
88,2016-09-11,10,48
89,2016-09-18,9,40
90,2016-09-25,16,45
91,2016-10-02,13,48
92,2016-10-09,15,39
93,2016-10-16,13,44
94,2016-10-23,6,42
95,2016-10-30,9,50
96,2016-11-06,9,35
97,2016-11-13,8,42
98,2016-11-20,11,34
99,2016-11-27,12,43
100,2016-12-04,12,44
101,2016-12-11,12,36
102,2016-12-18,11,34
103,2016-12-25,11,28
104,2017-01-01,7,34
105,2017-01-08,6,40
106,2017-01-15,15,40
107,2017-01-22,12,40
108,2017-01-29,9,46
109,2017-02-05,9,42
110,2017-02-12,7,39
111,2017-02-19,11,39
112,2017-02-26,12,33
113,2017-03-05,7,31
114,2017-03-12,9,29
115,2017-03-19,9,29
116,2017-03-26,14,39
117,2017-04-02,11,31
118,2017-04-09,10,38
119,2017-04-16,11,38
120,2017-04-23,10,37
121,2017-04-30,10,34
122,2017-05-07,7,36
123,2017-05-14,13,40
124,2017-05-21,8,36
125,2017-05-28,11,34
126,2017-06-04,11,35
127,2017-06-11,10,35
128,2017-06-18,8,26
129,2017-06-25,9,28
