,date,Coldplay,Alphabet
0,2015-01-04,6,32
1,2015-01-11,0,36
2,2015-01-18,4,41
3,2015-01-25,4,12
4,2015-02-01,4,27
5,2015-02-08,6,29
6,2015-02-15,4,34
7,2015-02-22,4,28
8,2015-03-01,8,28
9,2015-03-08,9,29
10,2015-03-15,0,28
11,2015-03-22,15,30
12,2015-03-29,7,23
13,2015-04-05,8,30
14,2015-04-12,0,32
15,2015-04-19,0,29
16,2015-04-26,0,27
17,2015-05-03,13,43
18,2015-05-10,8,38
19,2015-05-17,8,29
20,2015-05-24,15,36
21,2015-05-31,15,12
22,2015-06-07,12,24
23,2015-06-14,0,14
24,2015-06-21,0,19
25,2015-06-28,6,14
26,2015-07-05,0,16
27,2015-07-12,0,14
28,2015-07-19,9,20
29,2015-07-26,0,27
30,2015-08-02,5,5
31,2015-08-09,8,45
32,2015-08-16,0,37
33,2015-08-23,10,41
34,2015-08-30,8,35
35,2015-09-06,6,29
36,2015-09-13,3,36
37,2015-09-20,0,34
38,2015-09-27,6,39
39,2015-10-04,0,32
40,2015-10-11,4,41
41,2015-10-18,4,25
42,2015-10-25,3,31
43,2015-11-01,5,43
44,2015-11-08,18,42
45,2015-11-15,5,38
46,2015-11-22,13,25
47,2015-11-29,14,35
48,2015-12-06,6,26
49,2015-12-13,13,31
50,2015-12-20,11,7
51,2015-12-27,5,8
52,2016-01-03,7,26
53,2016-01-10,0,25
54,2016-01-17,0,27
55,2016-01-24,0,26
56,2016-01-31,18,25
57,2016-02-07,100,21
58,2016-02-14,10,28
59,2016-02-21,13,26
60,2016-02-28,6,28
61,2016-03-06,2,24
62,2016-03-13,10,22
63,2016-03-20,9,27
64,2016-03-27,7,32
65,2016-04-03,7,22
66,2016-04-10,0,26
67,2016-04-17,0,22
68,2016-04-24,10,20
69,2016-05-01,6,23
70,2016-05-08,5,20
71,2016-05-15,5,14
72,2016-05-22,5,22
73,2016-05-29,7,20
74,2016-06-05,4,19
75,2016-06-12,0,18
76,2016-06-19,5,15
77,2016-06-26,12,4
78,2016-07-03,6,14
79,2016-07-10,6,12
80,2016-07-17,5,23
81,2016-07-24,4,18
82,2016-07-31,8,38
83,2016-08-07,3,42
84,2016-08-14,6,38
85,2016-08-21,6,34
86,2016-08-28,9,38
87,2016-09-04,3,34
88,2016-09-11,3,41
89,2016-09-18,7,24
90,2016-09-25,4,22
91,2016-10-02,7,17
92,2016-10-09,3,22
93,2016-10-16,0,35
94,2016-10-23,6,28
95,2016-10-30,6,25
96,2016-11-06,4,23
97,2016-11-13,4,23
98,2016-11-20,5,19
99,2016-11-27,8,27
100,2016-12-04,5,23
101,2016-12-11,5,24
102,2016-12-18,3,26
103,2016-12-25,0,13
104,2017-01-01,0,27
105,2017-01-08,0,23
106,2017-01-15,2,20
107,2017-01-22,3,31
108,2017-01-29,5,22
109,2017-02-05,5,19
110,2017-02-12,5,32
111,2017-02-19,7,25
112,2017-02-26,5,23
113,2017-03-05,5,21
114,2017-03-12,8,18
115,2017-03-19,5,26
116,2017-03-26,5,14
117,2017-04-02,7,22
118,2017-04-09,4,15
119,2017-04-16,4,17
120,2017-04-23,0,28
121,2017-04-30,6,23
122,2017-05-07,6,28
123,2017-05-14,4,21
124,2017-05-21,3,26
125,2017-05-28,4,22
126,2017-06-04,11,21
127,2017-06-11,3,21
128,2017-06-18,6,19
129,2017-06-25,6,22
130,2017-07-02,7,10
131,2017-07-09,3,20
132,2017-07-16,0,17
133,2017-07-23,5,14
134,2017-07-30,7,21
135,2017-08-06,0,47
136,2017-08-13,9,33
137,2017-08-20,7,33
138,2017-08-27,5,30
139,2017-09-03,5,30
140,2017-09-10,0,35
141,2017-09-17,2,30
142,2017-09-24,7,28
143,2017-10-01,0,31
144,2017-10-08,3,30
145,2017-10-15,0,33
146,2017-10-22,0,32
147,2017-10-29,0,29
148,2017-11-05,0,31
149,2017-11-12,4,33
150,2017-11-19,0,20
151,2017-11-26,5,32
152,2017-12-03,4,18
153,2017-12-10,2,18
154,2017-12-17,5,15
155,2017-12-24,6,11
156,2017-12-31,5,15
157,2018-01-07,0,25
158,2018-01-14,0,22
159,2018-01-21,4,28
160,2018-01-28,7,18
161,2018-02-04,3,27
162,2018-02-11,5,25
163,2018-02-18,3,27
164,2018-02-25,4,29
165,2018-03-04,2,20
166,2018-03-11,3,16
167,2018-03-18,3,24
168,2018-03-25,5,18
169,2018-04-01,2,34
170,2018-04-08,0,25
171,2018-04-15,3,28
172,2018-04-22,0,23
173,2018-04-29,0,28
174,2018-05-06,2,23
175,2018-05-13,4,19
176,2018-05-20,6,12
177,2018-05-27,0,19
178,2018-06-03,0,13
179,2018-06-10,0,23
180,2018-06-17,10,18
181,2018-06-24,4,17
182,2018-07-01,3,12
183,2018-07-08,2,18
184,2018-07-15,3,20
185,2018-07-22,0,22
186,2018-07-29,0,17
187,2018-08-05,2,31
188,2018-08-12,2,45
189,2018-08-19,0,39
190,2018-08-26,0,29
191,2018-09-02,5,26
192,2018-09-09,0,26
193,2018-09-16,2,28
194,2018-09-23,4,25
195,2018-09-30,4,25
196,2018-10-07,0,20
197,2018-10-14,0,21
198,2018-10-21,0,25
199,2018-10-28,0,24
200,2018-11-04,6,31
201,2018-11-11,2,27
202,2018-11-18,4,15
203,2018-11-25,2,22
204,2018-12-02,2,25
205,2018-12-09,0,23
206,2018-12-16,3,18
207,2018-12-23,3,20
208,2018-12-30,2,24
209,2019-01-06,0,23
210,2019-01-13,0,25
211,2019-01-20,4,19
212,2019-01-27,0,21
213,2019-02-03,2,14
214,2019-02-10,0,29
215,2019-02-17,4,36
216,2019-02-24,5,29
217,2019-03-03,5,29
218,2019-03-10,0,16
219,2019-03-17,4,25
220,2019-03-24,5,28
221,2019-03-31,0,34
222,2019-04-07,4,30
223,2019-04-14,4,21
224,2019-04-21,0,14
225,2019-04-28,0,21
226,2019-05-05,2,27
227,2019-05-12,5,18
228,2019-05-19,0,25
229,2019-05-26,4,22
230,2019-06-02,5,29
231,2019-06-09,3,18
232,2019-06-16,2,16
233,2019-06-23,7,15
234,2019-06-30,0,19
235,2019-07-07,0,21
236,2019-07-14,7,23
237,2019-07-21,2,17
238,2019-07-28,2,23
239,2019-08-04,3,29
240,2019-08-11,0,36
241,2019-08-18,0,37
242,2019-08-25,0,38
243,2019-09-01,0,35
244,2019-09-08,3,36
245,2019-09-15,8,27
246,2019-09-22,3,27
247,2019-09-29,4,28
248,2019-10-06,7,30
249,2019-10-13,3,29
250,2019-10-20,2,23
251,2019-10-27,5,33
252,2019-11-03,6,32
253,2019-11-10,3,32
254,2019-11-17,6,22
255,2019-11-24,5,20
256,2019-12-01,5,35
257,2019-12-08,2,35
258,2019-12-15,2,25
259,2019-12-22,3,18
260,2019-12-29,6,22
