,date,The Rolling Stones,Alphabet
0,2015-01-04,0,50
1,2015-01-11,8,56
2,2015-01-18,8,63
3,2015-01-25,8,19
4,2015-02-01,7,41
5,2015-02-08,15,45
6,2015-02-15,8,52
7,2015-02-22,0,43
8,2015-03-01,11,44
9,2015-03-08,9,45
10,2015-03-15,7,43
11,2015-03-22,8,47
12,2015-03-29,34,36
13,2015-04-05,34,46
14,2015-04-12,25,49
15,2015-04-19,0,46
16,2015-04-26,0,43
17,2015-05-03,20,67
18,2015-05-10,7,58
19,2015-05-17,21,45
20,2015-05-24,13,56
21,2015-05-31,38,19
22,2015-06-07,40,37
23,2015-06-14,42,21
24,2015-06-21,0,29
25,2015-06-28,0,22
26,2015-07-05,12,25
27,2015-07-12,0,22
28,2015-07-19,20,31
29,2015-07-26,9,41
30,2015-08-02,14,8
31,2015-08-09,0,70
32,2015-08-16,0,57
33,2015-08-23,15,64
34,2015-08-30,0,55
35,2015-09-06,0,45
36,2015-09-13,16,56
37,2015-09-20,16,52
38,2015-09-27,0,61
39,2015-10-04,6,49
40,2015-10-11,0,63
41,2015-10-18,13,38
42,2015-10-25,0,47
43,2015-11-01,6,66
44,2015-11-08,0,65
45,2015-11-15,6,59
46,2015-11-22,13,38
47,2015-11-29,10,54
48,2015-12-06,11,41
49,2015-12-13,9,48
50,2015-12-20,25,11
51,2015-12-27,0,13
52,2016-01-03,5,41
53,2016-01-10,5,39
54,2016-01-17,15,41
55,2016-01-24,0,40
56,2016-01-31,6,39
57,2016-02-07,9,33
58,2016-02-14,7,43
59,2016-02-21,0,41
60,2016-02-28,12,44
61,2016-03-06,0,37
62,2016-03-13,14,34
63,2016-03-20,9,42
64,2016-03-27,10,49
65,2016-04-03,4,34
66,2016-04-10,9,40
67,2016-04-17,10,35
68,2016-04-24,15,31
69,2016-05-01,19,36
70,2016-05-08,26,32
71,2016-05-15,0,22
72,2016-05-22,0,34
73,2016-05-29,15,31
74,2016-06-05,0,30
75,2016-06-12,7,28
76,2016-06-19,4,24
77,2016-06-26,0,6
78,2016-07-03,18,22
79,2016-07-10,9,18
