,date,Bruno Mars,Alphabet
0,2015-01-04,54,60
1,2015-01-11,74,42
2,2015-01-18,60,48
3,2015-01-25,46,19
4,2015-02-01,57,51
5,2015-02-08,0,56
6,2015-02-15,38,0
7,2015-02-22,32,41
8,2015-03-01,22,44
9,2015-03-08,26,73
10,2015-03-15,46,56
11,2015-03-22,37,24
12,2015-03-29,22,42
13,2015-04-05,35,37
14,2015-04-12,29,29
15,2015-04-19,33,13
16,2015-04-26,31,69
17,2015-05-03,16,56
18,2015-05-10,17,0
19,2015-05-17,0,66
20,2015-05-24,25,43
21,2015-05-31,15,29
22,2015-06-07,20,31
23,2015-06-14,0,20
24,2015-06-21,23,29
25,2015-06-28,16,35
26,2015-07-05,11,24
27,2015-07-12,28,55
28,2015-07-19,15,55
29,2015-07-26,0,29
30,2015-08-02,24,58
31,2015-08-09,0,51
32,2015-08-16,17,0
33,2015-08-23,17,27
34,2015-08-30,20,49
35,2015-09-06,23,29
36,2015-09-13,23,69
37,2015-09-20,19,43
38,2015-09-27,0,61
39,2015-10-04,0,44
40,2015-10-11,32,15
41,2015-10-18,0,43
42,2015-10-25,17,58
43,2015-11-01,30,51
44,2015-11-08,14,20
45,2015-11-15,17,51
46,2015-11-22,19,31
47,2015-11-29,0,55
48,2015-12-06,30,65
49,2015-12-13,18,47
50,2015-12-20,0,14
51,2015-12-27,13,34
52,2016-01-03,0,19
53,2016-01-10,9,62
54,2016-01-17,0,43
55,2016-01-24,11,16
56,2016-01-31,0,42
57,2016-02-07,100,46
58,2016-02-14,25,32
59,2016-02-21,19,38
60,2016-02-28,15,37
61,2016-03-06,19,53
62,2016-03-13,9,49
63,2016-03-20,13,53
64,2016-03-27,0,32
65,2016-04-03,18,26
66,2016-04-10,8,41
67,2016-04-17,0,31
68,2016-04-24,9,50
69,2016-05-01,0,76
70,2016-05-08,42,41
71,2016-05-15,30,38
72,2016-05-22,14,42
73,2016-05-29,15,51
74,2016-06-05,0,53
75,2016-06-12,0,30
76,2016-06-19,0,31
77,2016-06-26,0,37
78,2016-07-03,0,33
79,2016-07-10,0,41
80,2016-07-17,0,17
81,2016-07-24,14,28
82,2016-07-31,0,46
83,2016-08-07,22,14
84,2016-08-14,0,26
85,2016-08-21,20,0
86,2016-08-28,0,58
87,2016-09-04,10,55
88,2016-09-11,0,69
89,2016-09-18,0,71
90,2016-09-25,0,45
91,2016-10-02,0,45
92,2016-10-09,35,44
93,2016-10-16,26,20
94,2016-10-23,23,56
95,2016-10-30,19,34
96,2016-11-06,12,47
97,2016-11-13,50,50
98,2016-11-20,79,53
99,2016-11-27,20,49
100,2016-12-04,30,65
101,2016-12-11,83,55
102,2016-12-18,0,26
103,2016-12-25,32,38
104,2017-01-01,18,45
105,2017-01-08,8,31
106,2017-01-15,22,47
107,2017-01-22,24,61
108,2017-01-29,12,28
109,2017-02-05,36,40
110,2017-02-12,98,42
111,2017-02-19,20,43
112,2017-02-26,22,42
113,2017-03-05,37,41
114,2017-03-12,34,58
115,2017-03-19,31,54
116,2017-03-26,30,42
117,2017-04-02,35,63
118,2017-04-09,19,36
119,2017-04-16,10,20
120,2017-04-23,28,66
121,2017-04-30,18,52
122,2017-05-07,33,57
123,2017-05-14,25,66
124,2017-05-21,23,20
125,2017-05-28,21,0
126,2017-06-04,0,60
127,2017-06-11,0,24
128,2017-06-18,17,35
129,2017-06-25,36,26
130,2017-07-02,35,25
131,2017-07-09,37,22
132,2017-07-16,57,40
133,2017-07-23,53,18
134,2017-07-30,44,27
135,2017-08-06,19,34
136,2017-08-13,27,56
137,2017-08-20,11,21
138,2017-08-27,17,47
139,2017-09-03,26,65
140,2017-09-10,0,25
141,2017-09-17,20,59
142,2017-09-24,0,48
143,2017-10-01,23,39
144,2017-10-08,0,37
145,2017-10-15,23,32
146,2017-10-22,0,87
147,2017-10-29,21,39
148,2017-11-05,25,22
149,2017-11-12,0,56
150,2017-11-19,9,49
151,2017-11-26,28,33
152,2017-12-03,30,68
153,2017-12-10,0,46
154,2017-12-17,27,71
155,2017-12-24,8,48
156,2017-12-31,51,39
157,2018-01-07,23,32
158,2018-01-14,26,41
159,2018-01-21,54,48
160,2018-01-28,60,39
161,2018-02-04,32,66
162,2018-02-11,34,44
163,2018-02-18,27,39
164,2018-02-25,49,41
165,2018-03-04,16,50
166,2018-03-11,28,22
167,2018-03-18,10,27
168,2018-03-25,12,33
169,2018-04-01,10,62
170,2018-04-08,14,23
171,2018-04-15,31,51
172,2018-04-22,16,26
173,2018-04-29,17,35
174,2018-05-06,12,35
175,2018-05-13,22,43
176,2018-05-20,8,93
177,2018-05-27,15,26
178,2018-06-03,0,54
179,2018-06-10,26,44
180,2018-06-17,12,38
181,2018-06-24,16,29
182,2018-07-01,16,22
183,2018-07-08,0,23
184,2018-07-15,0,37
185,2018-07-22,24,34
186,2018-07-29,27,29
187,2018-08-05,7,35
188,2018-08-12,17,28
189,2018-08-19,8,31
190,2018-08-26,14,66
191,2018-09-02,28,48
192,2018-09-09,8,46
193,2018-09-16,16,52
194,2018-09-23,10,46
195,2018-09-30,17,31
196,2018-10-07,24,41
197,2018-10-14,8,35
198,2018-10-21,33,65
199,2018-10-28,15,46
200,2018-11-04,15,33
201,2018-11-11,25,44
202,2018-11-18,25,53
203,2018-11-25,8,44
204,2018-12-02,9,33
205,2018-12-09,11,54
206,2018-12-16,0,51
207,2018-12-23,0,49
208,2018-12-30,0,37
209,2019-01-06,19,35
210,2019-01-13,9,31
211,2019-01-20,22,55
212,2019-01-27,22,50
213,2019-02-03,13,52
214,2019-02-10,17,55
215,2019-02-17,13,73
216,2019-02-24,13,34
217,2019-03-03,23,22
218,2019-03-10,20,56
219,2019-03-17,0,38
220,2019-03-24,16,41
221,2019-03-31,17,49
222,2019-04-07,8,36
