,date,Coldplay,Alphabet
0,2015-01-04,0,29
1,2015-01-11,8,20
2,2015-01-18,10,23
3,2015-01-25,0,9
4,2015-02-01,0,25
5,2015-02-08,6,27
6,2015-02-15,7,0
7,2015-02-22,0,20
8,2015-03-01,15,21
9,2015-03-08,0,36
10,2015-03-15,0,27
11,2015-03-22,16,12
12,2015-03-29,9,21
13,2015-04-05,0,18
14,2015-04-12,0,14
15,2015-04-19,0,6
16,2015-04-26,0,34
17,2015-05-03,7,27
18,2015-05-10,0,0
19,2015-05-17,0,32
20,2015-05-24,0,21
21,2015-05-31,0,14
22,2015-06-07,12,15
23,2015-06-14,6,10
24,2015-06-21,0,14
25,2015-06-28,0,17
26,2015-07-05,5,12
27,2015-07-12,0,27
28,2015-07-19,9,27
29,2015-07-26,0,14
30,2015-08-02,0,28
31,2015-08-09,0,25
32,2015-08-16,0,0
33,2015-08-23,0,13
34,2015-08-30,5,24
35,2015-09-06,9,14
36,2015-09-13,0,34
37,2015-09-20,0,21
38,2015-09-27,7,30
39,2015-10-04,6,21
40,2015-10-11,14,7
41,2015-10-18,9,21
42,2015-10-25,12,29
43,2015-11-01,13,25
44,2015-11-08,5,10
45,2015-11-15,18,25
46,2015-11-22,18,15
47,2015-11-29,8,27
48,2015-12-06,17,32
49,2015-12-13,8,23
50,2015-12-20,30,7
51,2015-12-27,12,17
52,2016-01-03,11,9
53,2016-01-10,6,31
54,2016-01-17,0,21
55,2016-01-24,18,8
56,2016-01-31,22,20
57,2016-02-07,100,23
58,2016-02-14,14,16
59,2016-02-21,6,18
60,2016-02-28,18,18
61,2016-03-06,0,26
62,2016-03-13,8,24
63,2016-03-20,9,26
64,2016-03-27,10,16
65,2016-04-03,5,13
66,2016-04-10,13,20
67,2016-04-17,0,15
68,2016-04-24,13,25
69,2016-05-01,0,37
70,2016-05-08,9,20
71,2016-05-15,0,19
72,2016-05-22,0,20
73,2016-05-29,0,25
74,2016-06-05,9,26
75,2016-06-12,9,15
76,2016-06-19,0,15
77,2016-06-26,0,18
78,2016-07-03,14,16
79,2016-07-10,0,20
80,2016-07-17,0,8
81,2016-07-24,7,14
82,2016-07-31,5,23
83,2016-08-07,9,7
84,2016-08-14,0,13
85,2016-08-21,0,0
86,2016-08-28,7,28
87,2016-09-04,0,27
88,2016-09-11,12,34
89,2016-09-18,14,35
90,2016-09-25,11,22
91,2016-10-02,0,22
92,2016-10-09,0,22
93,2016-10-16,0,10
94,2016-10-23,5,28
95,2016-10-30,8,16
96,2016-11-06,0,23
97,2016-11-13,6,24
98,2016-11-20,0,26
99,2016-11-27,6,24
100,2016-12-04,0,32
101,2016-12-11,0,27
102,2016-12-18,7,13
103,2016-12-25,10,19
104,2017-01-01,0,22
105,2017-01-08,0,15
106,2017-01-15,0,23
107,2017-01-22,19,30
108,2017-01-29,7,14
109,2017-02-05,0,20
110,2017-02-12,0,21
111,2017-02-19,0,21
112,2017-02-26,6,20
113,2017-03-05,5,20
114,2017-03-12,10,28
115,2017-03-19,5,27
116,2017-03-26,6,20
117,2017-04-02,5,31
118,2017-04-09,0,18
119,2017-04-16,0,10
120,2017-04-23,0,32
121,2017-04-30,6,25
122,2017-05-07,6,28
123,2017-05-14,0,32
124,2017-05-21,8,10
125,2017-05-28,18,0
126,2017-06-04,7,29
127,2017-06-11,0,12
128,2017-06-18,13,17
129,2017-06-25,7,13
130,2017-07-02,17,12
131,2017-07-09,10,11
132,2017-07-16,0,20
133,2017-07-23,4,9
134,2017-07-30,9,13
135,2017-08-06,5,16
136,2017-08-13,0,28
137,2017-08-20,10,10
138,2017-08-27,5,23
139,2017-09-03,5,32
140,2017-09-10,4,12
141,2017-09-17,7,29
142,2017-09-24,20,24
143,2017-10-01,17,19
144,2017-10-08,0,18
145,2017-10-15,0,15
146,2017-10-22,0,42
147,2017-10-29,7,19
148,2017-11-05,8,11
149,2017-11-12,0,27
150,2017-11-19,0,24
151,2017-11-26,0,16
152,2017-12-03,8,33
153,2017-12-10,11,22
154,2017-12-17,10,35
155,2017-12-24,0,23
156,2017-12-31,0,19
157,2018-01-07,9,16
158,2018-01-14,5,20
159,2018-01-21,9,23
160,2018-01-28,7,19
161,2018-02-04,0,32
162,2018-02-11,6,21
163,2018-02-18,0,19
164,2018-02-25,8,20
165,2018-03-04,0,25
166,2018-03-11,0,11
167,2018-03-18,4,13
168,2018-03-25,4,16
169,2018-04-01,0,30
170,2018-04-08,0,11
171,2018-04-15,7,25
172,2018-04-22,0,12
173,2018-04-29,8,17
174,2018-05-06,0,17
175,2018-05-13,0,21
176,2018-05-20,5,45
177,2018-05-27,0,13
178,2018-06-03,0,27
179,2018-06-10,0,22
180,2018-06-17,7,19
181,2018-06-24,0,14
182,2018-07-01,5,11
183,2018-07-08,0,11
184,2018-07-15,0,18
185,2018-07-22,4,16
186,2018-07-29,9,14
187,2018-08-05,0,17
188,2018-08-12,0,14
189,2018-08-19,0,15
190,2018-08-26,0,32
191,2018-09-02,13,24
192,2018-09-09,0,22
193,2018-09-16,0,25
194,2018-09-23,0,23
195,2018-09-30,4,15
196,2018-10-07,0,20
197,2018-10-14,5,17
198,2018-10-21,0,32
199,2018-10-28,9,22
200,2018-11-04,3,16
201,2018-11-11,5,21
202,2018-11-18,11,26
203,2018-11-25,7,21
204,2018-12-02,5,16
205,2018-12-09,22,26
206,2018-12-16,0,25
207,2018-12-23,6,24
208,2018-12-30,0,18
209,2019-01-06,0,17
210,2019-01-13,0,15
211,2019-01-20,8,29
212,2019-01-27,8,24
213,2019-02-03,5,26
214,2019-02-10,10,27
215,2019-02-17,4,35
216,2019-02-24,4,16
217,2019-03-03,15,11
218,2019-03-10,0,27
219,2019-03-17,9,19
220,2019-03-24,8,20
221,2019-03-31,4,24
222,2019-04-07,7,17
223,2019-04-14,0,17
224,2019-04-21,4,32
225,2019-04-28,4,15
226,2019-05-05,8,16
227,2019-05-12,0,14
228,2019-05-19,9,24
229,2019-05-26,0,11
230,2019-06-02,0,24
231,2019-06-09,4,17
232,2019-06-16,9,17
233,2019-06-23,0,16
234,2019-06-30,0,21
235,2019-07-07,0,13
236,2019-07-14,5,23
237,2019-07-21,0,17
238,2019-07-28,0,7
239,2019-08-04,0,13
240,2019-08-11,4,9
241,2019-08-18,15,12
242,2019-08-25,0,17
243,2019-09-01,0,24
244,2019-09-08,8,20
245,2019-09-15,0,14
246,2019-09-22,0,17
247,2019-09-29,0,11
248,2019-10-06,0,21
249,2019-10-13,0,26
250,2019-10-20,5,18
251,2019-10-27,0,21
252,2019-11-03,6,31
253,2019-11-10,8,31
254,2019-11-17,6,17
255,2019-11-24,7,19
256,2019-12-01,8,22
257,2019-12-08,0,14
258,2019-12-15,6,24
259,2019-12-22,0,12
260,2019-12-29,9,20
