,date,Metallica,Alphabet
0,2015-01-04,14,37
1,2015-01-11,11,26
2,2015-01-18,13,30
3,2015-01-25,8,12
4,2015-02-01,0,32
5,2015-02-08,0,34
6,2015-02-15,18,0
7,2015-02-22,19,26
8,2015-03-01,8,27
9,2015-03-08,8,45
10,2015-03-15,15,35
11,2015-03-22,15,15
12,2015-03-29,11,26
13,2015-04-05,8,23
14,2015-04-12,11,18
15,2015-04-19,16,8
16,2015-04-26,0,43
17,2015-05-03,13,35
18,2015-05-10,0,0
19,2015-05-17,9,41
20,2015-05-24,23,27
21,2015-05-31,0,18
22,2015-06-07,23,19
23,2015-06-14,0,13
24,2015-06-21,9,18
25,2015-06-28,11,22
26,2015-07-05,14,15
27,2015-07-12,29,34
28,2015-07-19,0,34
29,2015-07-26,0,18
30,2015-08-02,9,36
31,2015-08-09,7,32
32,2015-08-16,12,0
33,2015-08-23,0,17
34,2015-08-30,0,30
35,2015-09-06,0,18
36,2015-09-13,14,43
37,2015-09-20,16,27
38,2015-09-27,11,38
39,2015-10-04,12,27
40,2015-10-11,22,9
41,2015-10-18,11,27
42,2015-10-25,7,36
43,2015-11-01,19,32
44,2015-11-08,0,12
45,2015-11-15,0,31
46,2015-11-22,11,19
47,2015-11-29,10,34
48,2015-12-06,14,40
49,2015-12-13,8,29
50,2015-12-20,24,8
51,2015-12-27,0,21
52,2016-01-03,40,12
53,2016-01-10,0,39
54,2016-01-17,0,26
55,2016-01-24,7,10
56,2016-01-31,15,26
57,2016-02-07,26,29
58,2016-02-14,23,20
59,2016-02-21,11,23
60,2016-02-28,0,23
61,2016-03-06,0,33
62,2016-03-13,5,30
63,2016-03-20,10,33
64,2016-03-27,24,20
65,2016-04-03,10,16
66,2016-04-10,0,26
67,2016-04-17,21,19
68,2016-04-24,0,31
69,2016-05-01,0,47
70,2016-05-08,22,25
71,2016-05-15,10,24
72,2016-05-22,13,26
73,2016-05-29,16,32
74,2016-06-05,6,33
75,2016-06-12,18,19
76,2016-06-19,13,19
77,2016-06-26,10,23
78,2016-07-03,16,20
79,2016-07-10,10,25
80,2016-07-17,0,10
81,2016-07-24,6,17
82,2016-07-31,21,29
83,2016-08-07,35,8
84,2016-08-14,39,16
85,2016-08-21,23,0
86,2016-08-28,40,36
87,2016-09-04,34,34
88,2016-09-11,17,42
89,2016-09-18,25,44
90,2016-09-25,10,28
91,2016-10-02,10,28
92,2016-10-09,7,27
93,2016-10-16,11,13
94,2016-10-23,12,35
95,2016-10-30,27,21
96,2016-11-06,20,29
97,2016-11-13,35,31
98,2016-11-20,35,33
99,2016-11-27,29,30
100,2016-12-04,15,40
101,2016-12-11,19,34
102,2016-12-18,16,16
103,2016-12-25,15,23
104,2017-01-01,12,28
105,2017-01-08,12,19
106,2017-01-15,0,29
107,2017-01-22,15,38
108,2017-01-29,8,17
109,2017-02-05,12,25
110,2017-02-12,100,26
111,2017-02-19,36,27
112,2017-02-26,40,26
113,2017-03-05,16,26
114,2017-03-12,29,36
115,2017-03-19,17,34
116,2017-03-26,10,26
117,2017-04-02,25,39
118,2017-04-09,0,22
119,2017-04-16,12,12
120,2017-04-23,19,41
121,2017-04-30,18,32
122,2017-05-07,27,35
123,2017-05-14,17,41
124,2017-05-21,16,12
125,2017-05-28,26,0
126,2017-06-04,27,37
127,2017-06-11,25,15
128,2017-06-18,30,22
129,2017-06-25,17,16
130,2017-07-02,12,15
131,2017-07-09,18,14
132,2017-07-16,0,25
133,2017-07-23,8,11
134,2017-07-30,16,17
135,2017-08-06,18,21
136,2017-08-13,15,35
137,2017-08-20,0,13
138,2017-08-27,0,29
139,2017-09-03,0,40
140,2017-09-10,0,15
141,2017-09-17,0,37
142,2017-09-24,10,30
143,2017-10-01,17,24
144,2017-10-08,13,23
145,2017-10-15,15,20
146,2017-10-22,13,53
147,2017-10-29,0,24
148,2017-11-05,8,14
149,2017-11-12,16,34
150,2017-11-19,15,30
151,2017-11-26,17,21
152,2017-12-03,18,42
153,2017-12-10,10,28
154,2017-12-17,5,44
155,2017-12-24,5,29
156,2017-12-31,0,24
157,2018-01-07,14,20
158,2018-01-14,6,26
159,2018-01-21,15,29
160,2018-01-28,15,24
161,2018-02-04,7,41
162,2018-02-11,7,27
163,2018-02-18,8,24
164,2018-02-25,63,25
165,2018-03-04,30,31
166,2018-03-11,25,13
167,2018-03-18,14,17
168,2018-03-25,33,20
169,2018-04-01,19,38
170,2018-04-08,9,14
171,2018-04-15,14,32
172,2018-04-22,10,16
173,2018-04-29,15,22
174,2018-05-06,13,21
175,2018-05-13,13,27
176,2018-05-20,11,57
177,2018-05-27,0,16
178,2018-06-03,23,34
179,2018-06-10,11,27
180,2018-06-17,4,23
181,2018-06-24,14,18
182,2018-07-01,14,13
183,2018-07-08,17,14
184,2018-07-15,10,23
185,2018-07-22,8,21
186,2018-07-29,10,18
187,2018-08-05,18,22
