,date,Bruno Mars,Alphabet
0,2015-01-04,20,30
1,2015-01-11,27,29
2,2015-01-18,26,30
3,2015-01-25,27,39
4,2015-02-01,29,32
5,2015-02-08,23,28
6,2015-02-15,24,26
7,2015-02-22,19,24
8,2015-03-01,20,29
9,2015-03-08,15,29
10,2015-03-15,16,25
11,2015-03-22,16,25
12,2015-03-29,17,24
13,2015-04-05,13,20
14,2015-04-12,15,29
15,2015-04-19,14,30
16,2015-04-26,12,23
17,2015-05-03,11,24
18,2015-05-10,11,27
19,2015-05-17,15,22
20,2015-05-24,13,20
21,2015-05-31,14,24
22,2015-06-07,12,24
23,2015-06-14,13,20
24,2015-06-21,11,19
25,2015-06-28,11,21
26,2015-07-05,10,21
27,2015-07-12,7,22
28,2015-07-19,11,16
29,2015-07-26,7,21
30,2015-08-02,9,21
31,2015-08-09,4,42
32,2015-08-16,8,30
33,2015-08-23,8,36
34,2015-08-30,10,37
35,2015-09-06,9,31
36,2015-09-13,7,30
37,2015-09-20,9,30
38,2015-09-27,9,33
39,2015-10-04,9,33
40,2015-10-11,7,29
41,2015-10-18,7,37
42,2015-10-25,7,31
43,2015-11-01,8,32
44,2015-11-08,9,27
45,2015-11-15,8,28
46,2015-11-22,9,20
47,2015-11-29,5,32
48,2015-12-06,6,31
49,2015-12-13,6,25
50,2015-12-20,6,20
51,2015-12-27,8,16
52,2016-01-03,8,20
53,2016-01-10,7,25
54,2016-01-17,7,24
55,2016-01-24,8,29
56,2016-01-31,11,28
57,2016-02-07,69,27
58,2016-02-14,15,26
59,2016-02-21,12,26
60,2016-02-28,7,26
61,2016-03-06,8,24
62,2016-03-13,10,23
63,2016-03-20,7,25
64,2016-03-27,8,20
65,2016-04-03,7,27
66,2016-04-10,8,26
67,2016-04-17,7,24
68,2016-04-24,6,22
69,2016-05-01,6,19
70,2016-05-08,9,24
71,2016-05-15,9,23
72,2016-05-22,10,24
73,2016-05-29,7,23
74,2016-06-05,8,20
75,2016-06-12,8,22
76,2016-06-19,6,21
77,2016-06-26,6,18
78,2016-07-03,8,16
79,2016-07-10,6,16
80,2016-07-17,6,18
81,2016-07-24,9,21
82,2016-07-31,4,26
83,2016-08-07,6,19
84,2016-08-14,5,25
85,2016-08-21,5,29
86,2016-08-28,5,32
87,2016-09-04,5,30
88,2016-09-11,5,34
89,2016-09-18,5,31
90,2016-09-25,4,31
91,2016-10-02,15,25
92,2016-10-09,16,25
93,2016-10-16,22,28
94,2016-10-23,14,26
95,2016-10-30,16,24
96,2016-11-06,13,20
97,2016-11-13,28,26
98,2016-11-20,55,24
99,2016-11-27,23,28
100,2016-12-04,25,27
101,2016-12-11,45,27
102,2016-12-18,29,21
103,2016-12-25,22,18
104,2017-01-01,24,24
105,2017-01-08,17,20
106,2017-01-15,17,23
107,2017-01-22,17,26
108,2017-01-29,18,27
109,2017-02-05,25,31
110,2017-02-12,100,29
111,2017-02-19,34,27
112,2017-02-26,31,23
113,2017-03-05,38,25
114,2017-03-12,33,24
115,2017-03-19,33,23
116,2017-03-26,26,24
117,2017-04-02,28,22
118,2017-04-09,30,22
119,2017-04-16,33,22
120,2017-04-23,32,25
121,2017-04-30,36,22
122,2017-05-07,34,22
123,2017-05-14,36,24
124,2017-05-21,45,25
125,2017-05-28,38,25
126,2017-06-04,34,22
127,2017-06-11,33,20
128,2017-06-18,29,20
129,2017-06-25,68,20
130,2017-07-02,36,17
131,2017-07-09,32,21
132,2017-07-16,28,20
133,2017-07-23,24,19
134,2017-07-30,26,16
135,2017-08-06,27,19
136,2017-08-13,33,21
137,2017-08-20,26,24
138,2017-08-27,21,30
139,2017-09-03,24,25
140,2017-09-10,46,31
141,2017-09-17,17,33
142,2017-09-24,20,31
143,2017-10-01,19,28
144,2017-10-08,55,32
145,2017-10-15,23,28
146,2017-10-22,15,28
147,2017-10-29,13,26
148,2017-11-05,14,28
149,2017-11-12,10,30
150,2017-11-19,11,20
151,2017-11-26,23,29
152,2017-12-03,15,23
153,2017-12-10,15,27
154,2017-12-17,10,22
155,2017-12-24,14,21
156,2017-12-31,36,22
157,2018-01-07,24,24
158,2018-01-14,20,20
159,2018-01-21,36,28
160,2018-01-28,82,31
161,2018-02-04,28,29
162,2018-02-11,24,29
163,2018-02-18,20,29
164,2018-02-25,15,27
165,2018-03-04,20,24
166,2018-03-11,24,28
167,2018-03-18,17,25
168,2018-03-25,22,25
169,2018-04-01,17,19
170,2018-04-08,15,27
171,2018-04-15,11,23
172,2018-04-22,15,27
173,2018-04-29,15,22
174,2018-05-06,11,23
175,2018-05-13,12,24
176,2018-05-20,13,24
177,2018-05-27,9,21
178,2018-06-03,10,21
179,2018-06-10,12,18
180,2018-06-17,8,20
181,2018-06-24,12,21
182,2018-07-01,16,18
183,2018-07-08,11,17
184,2018-07-15,11,18
185,2018-07-22,11,22
186,2018-07-29,11,21
187,2018-08-05,10,21
188,2018-08-12,12,23
189,2018-08-19,9,23
190,2018-08-26,11,35
191,2018-09-02,11,32
192,2018-09-09,7,24
193,2018-09-16,10,25
194,2018-09-23,10,29
195,2018-09-30,9,29
196,2018-10-07,14,28
197,2018-10-14,9,24
198,2018-10-21,10,31
199,2018-10-28,8,27
200,2018-11-04,9,28
201,2018-11-11,11,24
202,2018-11-18,11,21
203,2018-11-25,8,24
204,2018-12-02,9,24
205,2018-12-09,8,20
206,2018-12-16,10,23
207,2018-12-23,10,21
208,2018-12-30,12,22
209,2019-01-06,11,27
210,2019-01-13,8,25
211,2019-01-20,9,26
212,2019-01-27,10,27
213,2019-02-03,11,29
214,2019-02-10,17,27
215,2019-02-17,12,27
216,2019-02-24,16,24
217,2019-03-03,17,26
