,date,Coldplay,Alphabet
0,2015-01-04,6,26
1,2015-01-11,4,25
2,2015-01-18,7,25
3,2015-01-25,6,33
4,2015-02-01,5,27
5,2015-02-08,4,24
6,2015-02-15,6,22
7,2015-02-22,2,20
8,2015-03-01,4,25
9,2015-03-08,6,25
10,2015-03-15,3,21
11,2015-03-22,4,21
12,2015-03-29,5,20
13,2015-04-05,5,17
14,2015-04-12,3,25
15,2015-04-19,5,25
16,2015-04-26,5,20
17,2015-05-03,7,20
18,2015-05-10,6,23
19,2015-05-17,7,19
20,2015-05-24,6,17
21,2015-05-31,4,20
22,2015-06-07,7,21
23,2015-06-14,6,17
24,2015-06-21,4,16
25,2015-06-28,5,18
26,2015-07-05,6,18
27,2015-07-12,4,19
28,2015-07-19,6,14
29,2015-07-26,3,18
30,2015-08-02,6,17
31,2015-08-09,5,36
32,2015-08-16,4,26
33,2015-08-23,5,31
34,2015-08-30,3,31
35,2015-09-06,4,27
36,2015-09-13,4,25
37,2015-09-20,5,26
38,2015-09-27,5,28
39,2015-10-04,5,28
40,2015-10-11,4,25
41,2015-10-18,3,31
42,2015-10-25,4,27
43,2015-11-01,6,27
44,2015-11-08,6,23
45,2015-11-15,7,24
46,2015-11-22,11,17
47,2015-11-29,20,27
48,2015-12-06,15,26
49,2015-12-13,15,21
50,2015-12-20,10,17
51,2015-12-27,7,14
52,2016-01-03,8,17
53,2016-01-10,7,21
54,2016-01-17,9,20
55,2016-01-24,16,25
56,2016-01-31,26,23
57,2016-02-07,100,23
58,2016-02-14,11,22
59,2016-02-21,9,22
60,2016-02-28,8,22
61,2016-03-06,6,21
62,2016-03-13,10,20
63,2016-03-20,6,21
64,2016-03-27,8,17
65,2016-04-03,7,23
66,2016-04-10,5,22
67,2016-04-17,7,20
68,2016-04-24,8,18
69,2016-05-01,6,16
70,2016-05-08,7,20
71,2016-05-15,8,20
72,2016-05-22,6,20
73,2016-05-29,6,19
74,2016-06-05,6,17
75,2016-06-12,4,19
76,2016-06-19,6,18
77,2016-06-26,6,16
78,2016-07-03,5,14
79,2016-07-10,6,14
80,2016-07-17,8,15
81,2016-07-24,10,18
82,2016-07-31,8,22
83,2016-08-07,5,16
84,2016-08-14,5,21
85,2016-08-21,7,24
86,2016-08-28,7,27
87,2016-09-04,6,25
88,2016-09-11,6,29
89,2016-09-18,4,26
90,2016-09-25,6,26
91,2016-10-02,6,21
92,2016-10-09,6,22
93,2016-10-16,5,23
94,2016-10-23,5,22
95,2016-10-30,5,20
96,2016-11-06,4,17
97,2016-11-13,6,22
98,2016-11-20,5,20
99,2016-11-27,5,24
100,2016-12-04,5,23
101,2016-12-11,3,22
102,2016-12-18,3,18
103,2016-12-25,4,15
104,2017-01-01,4,20
105,2017-01-08,4,17
106,2017-01-15,3,19
107,2017-01-22,4,22
108,2017-01-29,3,22
109,2017-02-05,5,26
